HBNAME,Site,Date,Date.Analysed,SW.Sample.Number,N1.Description,N1.Reported.Value,N1.Sample.1,N1.Sample.2,N1.Sample.3,Calculated.Mean,Standard.Deviation,Flow..l.day.,Ammonia..mg.l.,pH.Value,Modelled.Flow..l.day.,Million.Gene.Copies.Per.Person.per.Day,Analysis.Lab,X.Row.Count.,logMillion
Highland,Allanfearn,2020-06-01,(Empty),13953443,Negative,0,NA,NA,NA,NA,NA,19353600,NA,NA,NA,0,SEPA,1,-5
Highland,Allanfearn,2020-06-02,(Empty),13953444,Negative,0,NA,NA,NA,NA,NA,17020800,NA,NA,NA,0,SEPA,1,-5
Highland,Allanfearn,2020-06-04,(Empty),13953445,Negative,0,NA,NA,NA,NA,NA,22204800,NA,NA,NA,0,SEPA,1,-5
Highland,Allanfearn,2020-06-08,(Empty),13953446,Negative,0,NA,NA,NA,NA,NA,25228800,NA,NA,NA,0,SEPA,1,-5
Highland,Allanfearn,2020-06-09,(Empty),13953447,Negative,0,NA,NA,NA,NA,NA,24537600,NA,NA,NA,0,SEPA,1,-5
Highland,Allanfearn,2020-06-10,(Empty),13953448,Negative,0,945,NA,NA,945,NA,27820800,NA,NA,NA,0,SEPA,1,-5
Highland,Allanfearn,2020-06-15,(Empty),13953450,Negative,0,NA,NA,NA,NA,NA,28339200,NA,NA,NA,0,SEPA,1,-5
Highland,Allanfearn,2020-06-19,(Empty),13953453,Negative,0,NA,NA,NA,NA,NA,21772800,NA,NA,NA,0,SEPA,1,-5
Highland,Allanfearn,2020-06-30,(Empty),NA,Negative,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SEPA,1,-5
Highland,Allanfearn,2020-08-07,(Empty),14101192,Weak Positive,435,415.5113,460.3208,431.5919,435.808,22.70032,24537600,23.38,7.3,24192852.7,0.1723175,SEPA,1,-1.7584162962
Highland,Allanfearn,2020-08-10,(Empty),14101193,Negative,0,NA,NA,NA,NA,NA,21945600,24.49,7.3,23358943.8,0,SEPA,1,-5
Highland,Allanfearn,2020-08-14,(Empty),14101196,Weak Positive,868,539.2532,570.7977,1495.479,868.51,543.2001,20217600,26.6,7.2,21943689.1,0.282948,SEPA,1,-1.2624921371
Highland,Allanfearn,2020-08-17,(Empty),14101197,Weak Positive,898,NA,620.2521,1175.831,898.0416,392.8536,20390400,27.01,7.3,21691320.3,0.2950696,SEPA,1,-1.220544172
Highland,Allanfearn,2020-08-18,(Empty),14101198,Weak Positive,820,1194.133,617.1841,649.3027,820.2066,324.2277,20822400,26.77,7.3,21838224.7,0.275205,SEPA,1,-1.2902391205
Highland,Allanfearn,2020-08-19,(Empty),14101199,Negative,0,NA,NA,260.0656,260.0656,NA,29289600,24.06,7.5,23673968.6,0,SEPA,1,-5
Highland,Allanfearn,2020-08-21,(Empty),14101200,Weak Positive,1074,1524.732,NA,624.0391,1074.386,636.8861,23241600,21.33,7.2,25931399.2,0.4023726,SEPA,1,-0.9103767384
Highland,Allanfearn,2020-08-24,(Empty),14101201,Weak Positive,1414,NA,2078.846,749.5485,1414.197,939.9553,23673600,21.6,7.2,25685894.8,0.5394815,SEPA,1,-0.6171468728
Highland,Allanfearn,2020-08-25,(Empty),14101202,Negative,0,NA,NA,NA,NA,NA,20995200,22.01,7.3,25323226.2,0,SEPA,1,-5
Highland,Allanfearn,2020-08-26,(Empty),14101203,Negative,0,NA,NA,NA,NA,NA,23241600,25.16,7.3,22886990.2,0,SEPA,1,-5
Highland,Allanfearn,2020-08-28,(Empty),14101204,Negative,0,NA,NA,2263.793,2263.793,NA,21168000,25.26,7.1,22818437.6,0,SEPA,1,-5
Highland,Allanfearn,2020-08-31,(Empty),14101205,Weak Positive,1124,533.5688,502.9529,1098.705,711.7422,335.469,19267200,24.47,7.2,23373380.4,0.2209752,SEPA,1,-1.5097047283
Highland,Allanfearn,2020-09-01,(Empty),14101206,Positive (DNQ),2353,3492.086,1669.706,1897.285,2353.026,992.9964,20131200,27.81,7.1,21217763.4,0.7633058,SEPA,1,-0.2700965635
Highland,Allanfearn,2020-09-02,(Empty),14101207,Weak Positive,2912,2101.292,1271.667,5364.819,2912.593,2163.823,20908800,25.51,7.2,22649122.9,0.981321,SEPA,1,-0.0188556734
Highland,Allanfearn,2020-09-04,(Empty),14101208,Positive (DNQ),7868,5364.819,8090.423,10149.9,7868.381,2400.256,23155200,24.64,7.2,23251325.6,2.935865,SEPA,1,1.0770022267
Highland,Allanfearn,2020-09-07,(Empty),14101209,Positive (DNQ),2825,4286.309,2071.09,2117.861,2825.087,1265.672,23760000,24.83,7.1,23116649.8,1.081634,SEPA,1,0.0784731055
Highland,Allanfearn,2020-09-08,(Empty),14101210,Positive (DNQ),7171,8785.928,6468.17,6257.574,7170.557,1402.909,20217600,24.83,7.1,23116649.8,2.336064,SEPA,1,0.8484674634
Highland,Allanfearn,2020-09-09,(Empty),14101211,Weak Positive,379,355.8407,396.3597,385.6662,379.2889,20.99881,31622400,15.95,7.2,32306214.8,0.1932712,SEPA,1,-1.6436608844
Highland,Allanfearn,2020-09-11,(Empty),14101212,Weak Positive,1006,1819.623,625.595,573.238,1006.152,704.9728,19872000,28.93,7.2,20593589,0.3221865,SEPA,1,-1.1326245722
Highland,Allanfearn,2020-09-14,(Empty),14101213,Weak Positive,1302,NA,2042.13,561.6535,1301.892,1046.855,33955200,12.54,7.2,38751198.9,0.7123335,SEPA,1,-0.3392090239
Highland,Allanfearn,2020-09-15,(Empty),14101214,Positive (DNQ),1686.306,1643.481,1575.963,1839.472,1686.305,136.8747,22636800,21.15,7.1,26098123.1,0.615111,SEPA,1,-0.4859525886
Highland,Allanfearn,2020-09-16,(Empty),14101215,Weak Positive,325,321.4876,322.6038,331.6575,325.2496,5.577369,24710400,22.67,7.3,24763690.9,0.1295087,SEPA,1,-2.0440075129
Highland,Allanfearn,2020-09-18,(Empty),14101216,Weak Positive,1142,1080.801,1208.601,1139.496,1142.966,63.97062,21513600,25.64,7.2,22562225.9,0.3962312,SEPA,1,-0.9257575002
Highland,Allanfearn,2020-09-21,(Empty),14101217,Negative,0,NA,NA,1951.948,1951.948,NA,22118400,23.76,7.3,23899672.6,0,SEPA,1,-5
Highland,Allanfearn,2020-09-22,(Empty),14101218,Positive (DNQ),5866.5,5604.018,5658.687,6337.71,5866.805,408.7307,22464000,24.74,7.2,23180217.2,2.123689,SEPA,1,0.7531547889
Highland,Allanfearn,2020-09-23,(Empty),14101219,Positive (DNQ),5874.561,5486.879,6262.244,2617.136,4788.753,1920.218,24105600,22.82,7.2,24640494.4,1.860127,SEPA,1,0.6206447905
Highland,Allanfearn,2020-09-25,(Empty),14101220,Positive (DNQ),5033,4642.689,5108.217,5348.105,5033.004,358.6725,20304000,25.88,7.3,22403816.8,1.646687,SEPA,1,0.4987654322
Highland,Allanfearn,2020-09-28,(Empty),14101221,Positive (DNQ),1544.849,1913.062,1181.031,1540,1544.698,366.0381,19785600,28.78,7.3,20674706.8,0.4924872,SEPA,1,-0.708286825
Highland,Allanfearn,2020-09-29,(Empty),14101222,Positive (DNQ),2678.08,2866.965,2688,2479.517,2678.161,193.9113,20476800,27.15,7.3,21606680.2,0.883692,SEPA,1,-0.1236466532
Highland,Allanfearn,2020-09-30,(Empty),14101223,Positive (DNQ),1365.812,2341.86,881.9209,873.0918,1365.624,845.4565,21772800,NA,NA,NA,0.4791238,SEPA,1,-0.7357963094
Highland,Allanfearn,2020-10-02,(Empty),14101224,Positive (DNQ),1982.109,1976.202,802.2729,1988.233,1588.903,681.268,39398400,11.9,7,40317166.9,1.008737,SEPA,1,0.008699444
Highland,Allanfearn,2020-10-05,(Empty),14101225,Positive (DNQ),5518.094,7523.097,6074.878,2956.589,5518.188,2333.598,44496000,9.22,7,48898256.5,3.956578,SEPA,1,1.37537941
Highland,Allanfearn,2020-10-06,(Empty),14101226,Positive (DNQ),3495.934,3418.671,3524.048,3544.884,3495.868,67.66096,41817600,12.81,7.1,38131925.2,2.35568,SEPA,1,0.8568294296
Highland,Allanfearn,2020-10-07,(Empty),14101227,Positive (DNQ),3004.048,2971.784,1219.365,6321.142,3504.097,2592.21,37843200,15.11,7.3,33655405.5,2.136811,SEPA,1,0.7593146798
Highland,Allanfearn,2020-10-12,(Empty),14101229,Positive (DNQ),2650,3653.996,1991.874,2304.257,2650.042,883.3675,25401600,23.62,7.2,24006722.4,1.084716,SEPA,1,0.0813183369
Highland,Allanfearn,2020-10-13,(Empty),14101230,Positive (DNQ),2630.059,2733.511,2745.348,2411.494,2630.117,189.4262,40694400,13.17,7.1,37341018.2,1.724694,SEPA,1,0.5450494951
Highland,Allanfearn,2020-10-14,(Empty),14101231,Positive (DNQ),4750.236,3368.383,6302.973,4580.063,4750.473,1474.698,42940800,10.72,7.1,43630186.9,3.287072,SEPA,1,1.1899971342
Highland,Allanfearn,2020-10-16,(Empty),14101232,Positive (DNQ),8390.008,8776.321,8315.79,8077.935,8390.016,355.0601,27388800,22.2,7.2,25159154.8,3.702866,SEPA,1,1.309107116
Highland,Allanfearn,2020-10-19,(Empty),14101233,Positive (DNQ),1625.691,1230.069,1796.745,1850.26,1625.691,343.6625,29894400,20.49,7.1,26731386.2,0.7831233,SEPA,1,-0.2444650867
Highland,Allanfearn,2020-10-20,(Empty),14101234,Positive (DNQ),9649,9145.215,9961.539,9841.422,9649.392,440.7411,46656000,9.53,6.9,47690545.6,7.254537,SEPA,1,1.9816270185
Highland,Allanfearn,2020-10-21,(Empty),14101235,Positive (DNQ),3849,4839.031,4226.794,2480.058,3848.628,1224.11,45964800,8.66,7,51271133.3,2.850582,SEPA,1,1.047523097
Highland,Allanfearn,2020-10-23,(Empty),14101236,Positive,28103,21324.77,31166.17,31816.63,28102.53,5878.71,46742400,9.75,7.2,46874502.3,21.16696,SEPA,1,3.0524416825
Highland,Allanfearn,2020-10-26,(Empty),14101237,Positive (DNQ),9108.684,8063.33,9494.343,9768.378,9108.684,915.6128,38620800,16.11,7.1,32063276,5.668643,SEPA,1,1.7349497868
Highland,Allanfearn,2020-10-27,(Empty),14101238,Positive (DNQ),4156.707,6830.736,2523.708,3115.677,4156.707,2334.616,32745600,17.48,7.2,30144101.6,2.193333,SEPA,1,0.7854224045
Highland,Allanfearn,2020-10-28,(Empty),14101239,Negative,0,NA,NA,NA,NA,NA,33350400,15.1,7,33672259.5,0,SEPA,1,-5
Highland,Allanfearn,2020-10-30,(Empty),14101240,Positive,107813,104242.2,117750.7,101446.1,107813,8719.109,40608000,15.9,7.1,32383013.1,70.54804,SEPA,1,4.2562939476
Highland,Allanfearn,2020-11-02,(Empty),14101241,Positive (DNQ),6748.779,5358.551,4843.615,10043.51,6748.559,2865.104,44409600,13.66,7.1,36323566.8,4.829366,SEPA,1,1.5747151993
Highland,Allanfearn,2020-11-03,(Empty),14101242,Positive,16654,16850.39,14707.35,18403,16653.58,1855.667,36201600,16.87,7.2,30964804.6,9.714882,SEPA,1,2.2736589748
Highland,Allanfearn,2020-11-04,(Empty),14101243,Positive (DNQ),4219.768,3731.589,4093.379,4833.638,4219.535,561.7513,30844800,19.4,7.2,27859592.4,2.097243,SEPA,1,0.7406237966
Highland,Allanfearn,2020-11-06,(Empty),14101244,Positive (DNQ),6348.799,7543.345,5358.984,6143.466,6348.598,1106.535,27388800,21.21,7.2,26042272.4,2.801903,SEPA,1,1.0302987916
Highland,Allanfearn,2020-11-09,(Empty),14101245,Positive (DNQ),2539.957,1494.102,4063.517,2062.123,2539.914,1349.699,27388800,22.3,7.1,25073788.2,1.120971,SEPA,1,0.1141950943
Highland,Allanfearn,2020-11-11,(Empty),14101247,Positive (DNQ),3038.135,2045.233,3865.651,3203.925,3038.27,921.4453,25574400,23.68,7.1,23960707.9,1.252085,SEPA,1,0.224810543
Highland,Allanfearn,2020-11-13,(Empty),14101248,Positive (DNQ),5997.938,6230.849,6022.2,5740.58,5997.876,246.0379,28252800,23.44,7.2,24146006.4,2.73062,SEPA,1,1.0045286221
Highland,Allanfearn,2020-11-16,(Empty),14101249,Positive (DNQ),4448.89,3769.304,4374.928,4932.106,4358.779,581.5693,33350400,18.45,7.1,28937753.5,2.342438,SEPA,1,0.8511924187
Highland,Allanfearn,2020-11-17,(Empty),14101250,Positive,11680,12681.82,12372.53,9986.581,11680.31,1474.943,33609600,18.54,7.1,28831458.2,6.325866,SEPA,1,1.8446469077
Highland,Allanfearn,2020-11-18,(Empty),14101251,Positive (DNQ),7367.915,6938.894,7654.054,7510.544,7367.831,378.3373,26524800,16.06,7.2,32138737.7,3.149155,SEPA,1,1.1471340387
Highland,Allanfearn,2020-11-23,(Empty),14101253,Negative,0,334.6337,NA,NA,334.6337,NA,NA,21.03,7.2,26210663.5,0,SEPA,1,-5
Highland,Allanfearn,2020-11-24,(Empty),14101254,Positive (DNQ),3886.892,4369.121,3404.449,3886.785,3886.785,482.336,NA,16.7,7,31202884.5,1.954283,SEPA,1,0.6700234145
Highland,Allanfearn,2020-11-25,(Empty),14101255,Positive,28105,26816.14,28301.33,29199.29,28105.58,1203.572,NA,14.37,7.2,34958005.7,15.83221,SEPA,1,2.7620463406
Highland,Allanfearn,2020-11-30,(Empty),14101257,Positive (DNQ),5324,5006.096,7359.527,3607.425,5324.349,1896.189,NA,NA,NA,NA,2.516483,SEPA,1,0.9228622566
Highland,Allanfearn,2020-12-01,(Empty),14101258,Positive (DNQ),3060.845,1513.621,4873.928,2794.523,3060.691,1695.892,30585600,21.23,7.2,26023717.1,1.508477,SEPA,1,0.4111004909
Highland,Allanfearn,2020-12-02,(Empty),14101259,Positive (DNQ),2214.835,2454.766,1494.98,2694.266,2214.671,634.6704,28598400,21.59,7.1,25694891.3,1.020594,SEPA,1,0.0203850167
Highland,Allanfearn,2020-12-04,(Empty),14101260,Positive (DNQ),2715.087,4362.375,2549.044,1234.1,2715.173,1570.74,30499200,19.57,7.2,27676380.8,1.334407,SEPA,1,0.2884867035
Highland,Allanfearn,2020-12-07,(Empty),14101261,Weak Positive,447.8469,658.0893,NA,684.9918,671.5406,19.02297,46224000,11.69,7.2,40863690.3,0.5001981,SEPA,1,-0.6927511487
Highland,Allanfearn,2020-12-08,(Empty),14101262,Negative,0,399.5784,NA,NA,399.5784,NA,48038400,11.17,7,42294302.9,0,SEPA,1,-5
Highland,Allanfearn,2020-12-09,(Empty),14101263,Negative,0,NA,353.7784,NA,353.7784,NA,46483200,10.56,7.2,44129191.1,0,SEPA,1,-5
Highland,Allanfearn,2020-12-11,(Empty),14101264,Positive (DNQ),5982.129,4289.27,6993.727,6663.774,5982.257,1475.422,41904000,14.71,7.1,34345224.7,4.039455,SEPA,1,1.3961097908
Highland,Allanfearn,2020-12-14,(Empty),14101265,Positive (DNQ),3819.051,3087.016,4452.278,3918.01,3819.101,687.984,42422400,14.59,7.1,34558635.8,2.61071,SEPA,1,0.9596222536
Highland,Allanfearn,2020-12-16,(Empty),14101267,Positive (DNQ),4019.789,4725.834,4037.546,3295.351,4019.577,715.4106,38188800,15.96,7.1,32290905.9,2.473538,SEPA,1,0.9056495652
Highland,Allanfearn,2021-01-04,06/01/2021,14101271,Positive,70482,82229.4,64921.92,64295.22,70482.18,10178.21,31190400,21.01,7.1,26229530,35.4244,SEPA,1,3.5674008188
Highland,Allanfearn,2021-01-05,06/01/2021,14101272,Positive,55044,61131.52,50940.07,53062.98,55044.86,5377.011,26438400,22.7,7.2,24738937.3,23.45061,SEPA,1,3.1548965345
Highland,Allanfearn,2021-01-06,07/01/2021,14101273,Positive,82734,89503.15,81184.13,77516.55,82734.61,6141.876,26956800,24.7,7.2,23208599.9,35.93832,SEPA,1,3.5818041927
Highland,Allanfearn,2021-01-11,13/01/2021,14477281,Positive,102770,111173.9,94367.89,NA,102770.9,11883.62,28684800,21.88,NA,25436926.1,47.50334,SEPA,1,3.8607999513
Highland,Allanfearn,2021-01-12,14/01/2021,14477282,Positive,36182,39685.09,32680.7,NA,36182.89,4952.852,45619200,12.25,7.1,39442971.2,26.59826,SEPA,1,3.2808456956
Highland,Allanfearn,2021-01-13,14/01/2021,14477283,Positive,122424,122832.2,122017.6,NA,122424.9,576.0212,36547200,18.08,7.2,29384490,72.0985,SEPA,1,4.278033255
Highland,Allanfearn,2021-01-15,18/01/2021,14477284,Positive,47935,50213.21,45658.36,NA,47935.79,3220.764,50371200,8.68,7.1,51181769,38.90849,SEPA,1,3.6612125274
Highland,Allanfearn,2021-01-18,19/01/2021,14477285,Positive,67382,74688.65,60076.46,NA,67382.56,10332.38,46742400,13.11,7.2,37470185.3,50.75288,SEPA,1,3.9269684043
Highland,Allanfearn,2021-01-19,21/01/2021,14477286,Positive,33430,29248.14,37611.86,NA,33430,5914.047,40176000,15.51,7.2,32996930.1,21.64239,SEPA,1,3.0746541216
Highland,Allanfearn,2021-01-20,21/01/2021,14477287,Positive,15131,15501.59,12377.7,17515.31,15131.53,2588.72,37065600,17.69,7.2,29873092.6,9.037665,Roslin,1,2.2014008395
Highland,Allanfearn,2021-01-22,25/01/2021,14477288,Positive,29462,29650.32,29275.59,NA,29462.96,264.9739,49075200,11.27,7.1,42010191.9,23.29918,SEPA,1,3.1484182159
Highland,Allanfearn,2021-01-26,28/01/2021,14477289,Positive,33625,52046.91,26510.12,22318.04,33625.02,16090.93,32140800,20.14,7.2,27081956.1,17.41492,Roslin,1,2.8573273966
Highland,Allanfearn,2021-01-29,02/02/2021,NA,Positive,44044,51000.07,37089.01,NA,44044.54,9836.602,NA,NA,NA,NA,20.81707,SEPA,1,3.0357731361
Highland,Allanfearn,2021-02-02,03/02/2021,14477294,Positive,31607,31541.08,31673.56,NA,31607.32,93.67606,32054400,22.19,7.2,25167728.6,16.32591,SEPA,1,2.7927537106
Highland,Allanfearn,2021-02-03,04/02/2021,14477295,Positive,35619,35550.83,35688.54,NA,35619.68,97.3759,30758400,21.27,7.2,25986698.5,17.65453,SEPA,1,2.8709921246
Highland,Allanfearn,2021-02-05,10/02/2021,14477296,Positive,41432,41879.35,40985.71,NA,41432.53,631.8936,39312000,15.95,7.1,32306214.8,26.24634,SEPA,1,3.2675267257
Highland,Allanfearn,2021-02-08,10/02/2021,14477297,Positive,45465,45556.32,45374.71,NA,45465.51,128.4144,29289600,22.52,7.2,24888327.5,21.45842,SEPA,1,3.0661171896
Highland,Allanfearn,2021-02-10,15/02/2021,14477299,Positive,72455,70355.12,74555.32,NA,72455.22,2969.986,26524800,23.87,7.2,23816336.1,30.96877,SEPA,1,3.4329794225
Highland,Allanfearn,2021-02-15,17/02/2021,14477301,Positive,31065,33865.23,28266.59,NA,31065.91,3958.836,30758400,20.43,7,26790734.5,15.39749,SEPA,1,2.7342046209
Highland,Allanfearn,2021-02-16,18/02/2021,NA,Positive,58541,47401.55,69681.22,NA,58541.38,15754.1,NA,NA,NA,NA,27.66881,SEPA,1,3.3203056792
Highland,Allanfearn,2021-02-17,18/02/2021,14477303,Positive,13421,11852.35,14989.93,NA,13421.14,2218.606,31449600,19.77,7.1,27464384.2,6.801531,SEPA,1,1.9171476924
Highland,Allanfearn,2021-02-19,23/02/2021,14477304,Positive,59022,61513,56532,NA,59022.5,3522.099,34300800,19.05,7.2,28245817.4,32.62301,SEPA,1,3.485017973
Highland,Allanfearn,2021-02-22,24/02/2021,14477305,Positive,70399,72459.36,68339.98,NA,70399.67,2912.845,33264000,18.1,7.2,29359932.3,37.73526,SEPA,1,3.6305948941
Highland,Allanfearn,2021-02-23,25/02/2021,14477306,Positive,35213,33808.18,36619.15,NA,35213.66,1987.657,29030400,22.44,7.3,24955398.2,16.47276,SEPA,1,2.8017082297
Highland,Allanfearn,2021-02-24,25/02/2021,14477307,Positive,12242,13102.46,11382.06,NA,12242.26,1216.513,39744000,17.14,NA,30595215.9,7.840349,SEPA,1,2.0592833148
Highland,Allanfearn,2021-02-27,03/03/2021,14477308,Positive,12775,13030.06,12521.86,NA,12775.96,359.3505,26956800,23.23,NA,24310897.6,5.549631,SEPA,1,1.7137313742
Highland,Allanfearn,2021-03-05,08/03/2021,14477312,Positive,10975,15154.48,6796.137,NA,10975.31,5910.239,25056000,25.27,7.2,22811608.6,4.431295,SEPA,1,1.4886917857
Highland,Allanfearn,2021-03-08,10/03/2021,14783866,Positive,17465,21677.69,13253.22,NA,17465.46,5956.993,33091200,7.3,NA,58342100.9,9.313108,SEPA,1,2.2314228869
Highland,Allanfearn,2021-03-09,10/03/2021,14783867,Positive,42959,32805.57,53113.5,NA,42959.54,14359.88,28339200,19.54,NA,27708508.8,19.61776,SEPA,1,2.9764352413
Highland,Allanfearn,2021-03-10,11/03/2021,14783868,Positive,33509,33509.61,37148.34,NA,35328.97,2572.97,29980800,18.79,NA,28540891.2,17.06776,SEPA,1,2.8371911868
Highland,Allanfearn,2021-03-12,15/03/2021,14783869,Positive,55268,53641.57,56894.64,NA,55268.11,2300.271,39484800,15.85,NA,32460236.7,35.16469,SEPA,1,3.5600423842
Highland,Allanfearn,2021-03-15,16/03/2021,14783870,Positive,26433,25647.46,27219.06,NA,26433.26,1111.292,27216000,20.71,NA,26516362,11.5925,SEPA,1,2.4503586676
Highland,Allanfearn,2021-03-16,17/03/2021,14783871,Positive (DNQ),3090.175,3993.067,2187.283,NA,3090.175,1276.882,29030400,34.65,NA,17967063.9,1.445567,SEPA,1,0.3685017066
Highland,Allanfearn,2021-03-17,18/03/2021,14783872,Positive (DNQ),3873.572,3596.832,4150.311,NA,3873.572,391.3685,26524800,22.33,NA,25048309.2,1.65564,SEPA,1,0.5041876679
Highland,Allanfearn,2021-03-19,23/03/2021,14783873,Positive,32887,35721.57,30052.88,NA,32887.22,4008.371,23673600,24.51,NA,23344527.9,12.54567,SEPA,1,2.5293753386
Highland,Allanfearn,2021-03-22,24/03/2021,14783874,Positive,12615,14154.73,11075.94,NA,12615.34,2177.032,21686400,25.9,NA,22390732.4,4.408476,SEPA,1,1.4835290511
Highland,Allanfearn,2021-03-23,24/03/2021,14783875,Positive,45045,49567.68,40523.54,NA,45045.61,6395.176,22809600,24.79,NA,23144851.9,16.55665,SEPA,1,2.806787621
Highland,Allanfearn,2021-03-24,25/03/2021,14783876,Positive,35711,32193.75,39230.08,NA,35711.92,4975.435,22723200,25.28,NA,22804784.3,13.0763,SEPA,1,2.5708014143
Highland,Allanfearn,2021-03-26,29/03/2021,14783877,Positive,31291,27799.6,34784.05,NA,31291.82,4938.751,31536000,20.42,NA,26800655.6,15.90156,SEPA,1,2.7664171913
Highland,Allanfearn,2021-03-29,30/03/2021,14783878,Analysis Failed,NA,NA,NA,NA,NA,NA,33350400,16.93,NA,30881779.5,NA,SEPA,1,NA
Highland,Allanfearn,2021-03-29,31/03/2021,14783878,Analysis Failed,NA,NA,NA,NA,NA,NA,33350400,16.93,NA,30881779.5,NA,SEPA,1,NA
Highland,Allanfearn,2021-03-30,01/04/2021,14783879,Positive (DNQ),2764,2174.806,3354.137,NA,2764.471,833.9129,30672000,16.77,NA,31104338.3,1.366333,SEPA,1,0.3121301658
Highland,Allanfearn,2021-03-31,06/04/2021,14783880,Weak Positive,588,588.258,589.3163,NA,588.7871,0.7483215,35078400,16.34,NA,31721382.1,0.332813,SEPA,1,-1.1001744793
Highland,Allanfearn,2021-04-02,07/04/2021,14783881,Weak Positive,597,0,1194.216,NA,597.1079,844.4381,30931200,17.43,NA,30209472.2,0.2976129,SEPA,1,-1.2119614883
Highland,Allanfearn,2021-04-06,07/04/2021,14783883,Positive,15255,14119.73,16392.11,NA,15255.92,1606.814,25401600,22.8,NA,24656838.3,6.244559,SEPA,1,1.8317104989
Highland,Allanfearn,2021-04-07,08/04/2021,14783884,Positive (DNQ),4722,4464.678,4980.498,NA,4722.588,364.7395,24796800,21.93,NA,25393055.3,1.887026,SEPA,1,0.6350020943
Highland,Allanfearn,2021-04-09,13/04/2021,14783885,Positive (DNQ),7304,7212.153,7395.889,NA,7304.021,129.9209,32745600,18.62,NA,28737731.5,3.854048,SEPA,1,1.3491241362
Highland,Allanfearn,2021-04-12,14/04/2021,14783886,Positive (DNQ),2976,4493.291,1460.158,NA,2976.724,2144.749,23500800,25.25,NA,22825271.4,1.127258,SEPA,1,0.1197884833
Highland,Allanfearn,2021-04-13,14/04/2021,14783887,Positive (DNQ),2387,3416.844,1358.255,NA,2387.549,1455.642,23068800,23.98,NA,23733671.3,0.8875229,SEPA,1,-0.1193209377
Highland,Allanfearn,2021-04-23,26/04/2021,14783893,Positive (DNQ),8421,6878.611,9964.364,NA,8421.488,2181.957,21081600,24.79,NA,23144851.9,2.860847,SEPA,1,1.0511176835
Highland,Allanfearn,2021-04-27,28/04/2021,14783895,Positive (DNQ),4780,3458.119,6103.059,NA,4780.589,1870.255,27820800,24.83,NA,23116649.8,2.143153,SEPA,1,0.7622783008
Highland,Allanfearn,2021-04-28,29/04/2021,14783896,Weak Positive,1058,1047.512,1070.277,NA,1058.894,16.09754,32054400,19.14,NA,28145318.2,0.5469436,SEPA,1,-0.6034096651
Highland,Allanfearn,2021-05-03,05/05/2021,14783898,Weak Positive,796,0,1592.194,NA,796.0971,1125.851,23328000,25.46,NA,22682752.2,0.299258,SEPA,1,-1.2064491435
Highland,Allanfearn,2021-05-07,11/05/2021,NA,Positive,32418,32418.47,NA,NA,32418.47,NA,NA,NA,NA,NA,15.32216,SEPA,1,2.7293000027
Highland,Allanfearn,2021-05-10,12/05/2021,14783902,Positive (DNQ),1706,1281.106,2130.359,NA,1705.732,600.5128,28252800,20.17,NA,27051488.9,0.7765592,SEPA,1,-0.2528823684
Highland,Allanfearn,2021-05-12,13/05/2021,14783904,Positive (DNQ),4616,3465.368,5768.195,NA,4616.781,1628.344,28080000,21.63,NA,25658948.9,2.089001,SEPA,1,0.7366859135
Highland,Allanfearn,2021-05-13,14/05/2021,14783905,Positive,18140,19139.33,17142.62,NA,18140.97,1411.893,35510400,16.3,NA,31780233.1,10.3805,SEPA,1,2.3399293551
Highland,Allanfearn,2021-05-14,17/05/2021,14783906,Positive (DNQ),9469,6255.875,12682.19,NA,9469.034,4544.093,26352000,22.59,NA,24829982.9,4.020883,SEPA,1,1.39150165
Highland,Allanfearn,2021-05-17,18/05/2021,14783907,Weak Positive,1131,1251.533,1011.787,NA,1131.66,169.526,26784000,21.34,NA,25922209.2,0.4884201,SEPA,1,-0.7165793094
Highland,Allanfearn,2021-05-18,19/05/2021,14783908,Weak Positive,730,1460.475,0,NA,730.2375,1032.712,29635200,22.52,NA,24888327.5,0.3487179,SEPA,1,-1.0534920495
Highland,Allanfearn,2021-05-19,20/05/2021,14783909,Weak Positive,492,985.6476,0,NA,492.8238,696.9581,35856000,15.77,NA,32584688.4,0.2847448,SEPA,1,-1.2561620384
Highland,Allanfearn,2021-05-21,24/05/2021,14783910,Negative,0,NA,NA,NA,NA,NA,26784000,23.22,NA,24318814.8,0,SEPA,1,-5
Highland,Allanfearn,2021-05-25,26/05/2021,14783912,Weak Positive,511,1022.669,0,NA,511.3345,723.1362,45187200,8.31,NA,52895940.6,0.3723255,SEPA,1,-0.9879867908
Highland,Allanfearn,2021-05-26,28/05/2021,14783913,Negative,0,NA,NA,NA,NA,NA,45273600,8.69,NA,51137222.3,0,SEPA,1,-5
Highland,Allanfearn,2021-05-28,31/05/2021,15015957,Weak Positive,1293,1492.292,1094.252,NA,1293.272,281.4569,31017600,17.47,NA,30157149.4,0.6463986,SEPA,1,-0.4363389738
Highland,Allanfearn,2021-05-31,02/06/2021,15015958,Positive (DNQ),1387,1433.521,1342.127,NA,1387.824,64.62559,27820800,20.58,NA,26642933.9,0.6221659,SEPA,1,-0.4745485176
Highland,Allanfearn,2021-06-01,02/06/2021,15015959,Weak Positive,852,1704.91,0,NA,852.4548,1205.553,27388800,21.41,NA,25858090.4,0.3762241,SEPA,1,-0.977570365
