,Health_Board,Site,Longitude_dd,Latitude_dd,X1899.12.31,X2020.05.28,X2020.05.29,X2020.06.01,X2020.06.02,X2020.06.03,X2020.06.04,X2020.06.06,X2020.06.08,X2020.06.09,X2020.06.10,X2020.06.15,X2020.06.16,X2020.06.17,X2020.06.19,X2020.06.22,X2020.06.23,X2020.06.24,X2020.06.26,X2020.06.28,X2020.06.30,X2020.07.01,X2020.07.03,X2020.07.06,X2020.07.07,X2020.07.08,X2020.07.10,X2020.07.13,X2020.07.14,X2020.07.15,X2020.07.17,X2020.07.20,X2020.07.27,X2020.07.28,X2020.08.03,X2020.08.05,X2020.08.07,X2020.08.08,X2020.08.09,X2020.08.10,X2020.08.11,X2020.08.12,X2020.08.13,X2020.08.14,X2020.08.17,X2020.08.18,X2020.08.19,X2020.08.20,X2020.08.21,X2020.08.22,X2020.08.24,X2020.08.25,X2020.08.26,X2020.08.28,X2020.08.31,X2020.09.01,X2020.09.02,X2020.09.03,X2020.09.04,X2020.09.06,X2020.09.07,X2020.09.08,X2020.09.09,X2020.09.10,X2020.09.11,X2020.09.14,X2020.09.15,X2020.09.16,X2020.09.17,X2020.09.18,X2020.09.20,X2020.09.21,X2020.09.22,X2020.09.23,X2020.09.24,X2020.09.25,X2020.09.28,X2020.09.29,X2020.09.30,X2020.10.01,X2020.10.02,X2020.10.05,X2020.10.06,X2020.10.07,X2020.10.09,X2020.10.12,X2020.10.13,X2020.10.14,X2020.10.15,X2020.10.16,X2020.10.19,X2020.10.20,X2020.10.21,X2020.10.22,X2020.10.23,X2020.10.26,X2020.10.27,X2020.10.28,X2020.10.29,X2020.10.30,X2020.10.31,X2020.11.02,X2020.11.03,X2020.11.04,X2020.11.06,X2020.11.09,X2020.11.10,X2020.11.11,X2020.11.12,X2020.11.13,X2020.11.16,X2020.11.17,X2020.11.18,X2020.11.19,X2020.11.20,X2020.11.23,X2020.11.24,X2020.11.25,X2020.11.26,X2020.11.27,X2020.11.30,X2020.12.01,X2020.12.02,X2020.12.03,X2020.12.04,X2020.12.06,X2020.12.07,X2020.12.08,X2020.12.09,X2020.12.10,X2020.12.11,X2020.12.14,X2020.12.15,X2020.12.16,X2020.12.17,X2020.12.18,X2020.12.21,X2020.12.29,X2020.12.30,X2020.12.31,X2021.01.04,X2021.01.05,X2021.01.06,X2021.01.07,X2021.01.08,X2021.01.11,X2021.01.12,X2021.01.13,X2021.01.14,X2021.01.15,X2021.01.17,X2021.01.18,X2021.01.19,X2021.01.20,X2021.01.21,X2021.01.22,X2021.01.23,X2021.01.25,X2021.01.26,X2021.01.27,X2021.01.29,X2021.02.01,X2021.02.02,X2021.02.03,X2021.02.04,X2021.02.05,X2021.02.06,X2021.02.08,X2021.02.09,X2021.02.10,X2021.02.11,X2021.02.12,X2021.02.15,X2021.02.16,X2021.02.17,X2021.02.18,X2021.02.19,X2021.02.20,X2021.02.21,X2021.02.22,X2021.02.23,X2021.02.24,X2021.02.25,X2021.02.26,X2021.02.27,X2021.02.28,X2021.03.01,X2021.03.02,X2021.03.03,X2021.03.04,X2021.03.05,X2021.03.06,X2021.03.07,X2021.03.08,X2021.03.09,X2021.03.10,X2021.03.11,X2021.03.12,X2021.03.15,X2021.03.16,X2021.03.17,X2021.03.18,X2021.03.19,X2021.03.20,X2021.03.22,X2021.03.23,X2021.03.24,X2021.03.25,X2021.03.26,X2021.03.29,X2021.03.30,X2021.03.31,X2021.04.01,X2021.04.02,X2021.04.05,X2021.04.06,X2021.04.07,X2021.04.08,X2021.04.09,X2021.04.10,X2021.04.12,X2021.04.13,X2021.04.14,X2021.04.15,X2021.04.16,X2021.04.19,X2021.04.20,X2021.04.21,X2021.04.22,X2021.04.23,X2021.04.26,X2021.04.27,X2021.04.28,X2021.04.29,X2021.04.30,X2021.05.03,X2021.05.04,X2021.05.05,X2021.05.06,X2021.05.07,X2021.05.10,X2021.05.11,X2021.05.12,X2021.05.13,X2021.05.14,X2021.05.17,X2021.05.18,X2021.05.19,X2021.05.20,X2021.05.21,X2021.05.23,X2021.05.24,X2021.05.25,X2021.05.26,X2021.05.27,X2021.05.28,X2021.05.31,X2021.06.01,X2021.06.02,X2021.06.03,X2021.06.04,X2021.06.07,X2021.06.08,X2021.06.09,X2021.06.10,X2021.06.11,X2021.06.14,X2021.06.15,X2021.06.16,X2021.06.17,X2021.06.18,X2021.06.19,X2021.06.21,X2021.06.22,X2021.06.23,X2021.06.24,X2021.06.25,X2021.06.28,X2021.06.29,X2021.06.30,X2021.07.01,X2021.07.02,X2021.07.05,X2021.07.06,X2021.07.07,X2021.07.08,X2021.07.09,X2021.07.10,X2021.07.12,X2021.07.13,X2021.07.16,X2021.07.19,X2021.07.20,X2021.07.21,X2021.07.22,X2021.07.23,X2021.07.26,X2021.07.27,X2021.07.28,X2021.07.29,X2021.07.30,X2021.08.02,X2021.08.03,X2021.08.04,X2021.08.05,X2021.08.06,X2021.08.09,X2021.08.10,X2021.08.11,X2021.08.12,X2021.08.13,X2021.08.16,X2021.08.17,X2021.08.18,X2021.08.19,X2021.08.20,X2021.08.23,X2021.08.24,X2021.08.25,X2021.08.26,X2021.08.27,X2021.08.30,X2021.08.31,X2021.09.01,X2021.09.02,X2021.09.03,X2021.09.06,X2021.09.07,X2021.09.08,X2021.09.09,X2021.09.10,X2021.09.13,X2021.09.14,X2021.09.15,X2021.09.16,X2021.09.17,X2021.09.20,X2021.09.21,X2021.09.22,X2021.09.23,X2021.09.24,X2021.09.27,X2021.09.28,X2021.09.29,X2021.09.30,X2021.10.01,X2021.10.04,X2021.10.05,X2021.10.06,X2021.10.07,X2021.10.08,X2021.10.11,X2021.10.12,X2021.10.13,X2021.10.14,X2021.10.15,X2021.10.18,X2021.10.19,X2021.10.20,X2021.10.21,X2021.10.22,X2021.10.25,X2021.10.26,X2021.10.27,X2021.10.28,X2021.10.29,X2021.11.01,X2021.11.02,X2021.11.03,X2021.11.04,X2021.11.05,X2021.11.07,X2021.11.08,X2021.11.09,X2021.11.10,X2021.11.11,X2021.11.12,X2021.11.15,X2021.11.16,X2021.11.17,X2021.11.18,X2021.11.19,X2021.11.21,X2021.11.22,X2021.11.23,X2021.11.24,X2021.11.25,X2021.11.29,X2021.11.30,X2021.12.01,X2021.12.04,X2021.12.06,X2021.12.07,X2021.12.08,X2021.12.09,X2021.12.10,X2021.12.13,X2021.12.14,X2021.12.15,X2021.12.16,X2021.12.17,X2021.12.19,X2021.12.20,X2021.12.28,X2021.12.29,X2022.01.03,X2022.01.04,X2022.01.05,X2022.01.06,X2022.01.07,X2022.01.10,X2022.01.11,X2022.01.12,X2022.01.13,X2022.01.14,X2022.01.17,X2022.01.18,X2022.01.19,X2022.01.20,X2022.01.21,X2022.01.24,X2022.01.25,X2022.01.26,X2022.01.27,X2022.01.28,X2022.01.31,X2022.02.01,X2022.02.02,X2022.02.03,X2022.02.04,X2022.02.07,X2022.02.08,X2022.02.09
1,Highland,Allanfearn,4.54263166292659,52.1565504618318,NA,NA,NA,0,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435,NA,NA,0,NA,NA,NA,868,898,820,0,NA,1074,NA,1414,0,0,0,1124,2353,2912,NA,7868,NA,2825,7171,379,NA,1006,1302,1686,325,NA,1142,NA,0,5867,5875,NA,5033,1545,2678,1366,NA,1982,5518,3496,3004,NA,2650,2630,4750,NA,8390,1626,9649,3849,NA,28103,9109,4157,0,NA,107813,NA,6749,16654,4220,6349,2540,NA,3038,NA,5998,4449,11680,7368,NA,NA,0,3887,28105,NA,NA,5324,3061,2215,NA,2715,NA,448,0,0,NA,5982,3819,NA,4020,NA,NA,NA,NA,NA,NA,70482,55044,82734,NA,NA,102770,36182,122424,NA,47935,NA,67382,33430,15131,NA,29462,NA,NA,33625,NA,44044,NA,31607,35619,NA,41432,NA,45465,NA,72455,NA,NA,31065,58541,13421,NA,59022,NA,NA,70399,35213,12242,NA,NA,12775,NA,NA,NA,NA,NA,10975,NA,NA,17465,42959,33509,NA,55268,26433,3090,3874,NA,32887,NA,12615,45045,35711,NA,31291,NA,2764,588,NA,597,NA,15255,4722,NA,7304,NA,2976,2387,NA,NA,NA,NA,NA,NA,NA,8421,NA,4780,1058,NA,NA,796,NA,NA,NA,32418,1706,NA,4616,18140,9469,1131,730,492,NA,0,NA,NA,511,0,NA,1293,1387,852,0,NA,743,NA,NA,0,1287,5865,3985,15125,8613,NA,6776,NA,6350,41267,12483,NA,34094,97953,81673,NA,NA,98432,158210,148209,110442,NA,207912,NA,87590,80936,113598,NA,78213,86700,92510,94067,112407,175138,60354,NA,171697,56164,43934,41472,NA,32180,NA,24189,30467,NA,77208,27743,44701,60093,NA,175738,207305,180701,317356,NA,454669,NA,318495,645198,709834,NA,432453,1313311,286147,NA,176275,295005,312737,NA,NA,334405,107087,222711,243526,NA,182538,NA,65569,108140,NA,117328,NA,98563,55160,NA,62879,NA,52850,98044,66516,168984,77238,45174,43636,76101,NA,46463,156278,179109,NA,245371,90051,NA,45107,NA,1786,NA,56300,NA,52602,NA,67430,112717,NA,44245,NA,NA,NA,165322,166588,NA,NA,194730,NA,144194,NA,155588,166736,NA,12699,19960,22538,NA,124993,NA,NA,NA,191008,NA,NA,NA,106768,NA,102483,NA,90873,NA,NA,NA,147641,31996,NA,63465,NA,60867,NA,111312,NA,NA,NA,NA,47053,21153,57575,94059,52111,NA,226388
2,Lanarkshire,Allers,1.74967126972386,52.2343109500815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164611,NA,NA,160353,NA,NA,NA,NA,60401,NA,NA,NA,NA,70511,NA,NA,NA,NA,44506,NA,NA,NA,NA,12350,NA,NA,NA,NA,NA,60768,NA,NA,NA,NA,NA,46774,NA,NA,NA,NA,NA,NA,15091,NA,NA,NA,NA,NA,NA,NA,NA,NA,2164,NA,NA,NA,NA,NA,3334,NA,NA,NA,3694,NA,NA,NA,NA,NA,8910,NA,NA,NA,NA,3857,NA,NA,NA,NA,NA,15269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12276,NA,NA,NA,7443,NA,NA,NA,NA,10590,NA,NA,NA,NA,NA,2386,NA,NA,NA,4087,NA,NA,12959,NA,NA,NA,NA,NA,NA,NA,9470,NA,14018,NA,NA,NA,NA,NA,NA,NA,NA,NA,77538,NA,NA,NA,NA,317623,NA,NA,NA,NA,274111,NA,NA,NA,172052,NA,NA,NA,NA,108883,NA,NA,NA,NA,182675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,960625,NA,NA,NA,NA,NA,NA,NA,NA,1081826,NA,NA,NA,299940,NA,NA,NA,NA,138315,NA,NA,NA,NA,NA,77248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123163,NA,NA,NA,NA,NA,41069,NA,NA,NA,57559,NA,NA,NA,NA,NA,310774,NA,NA,NA,NA,237807,NA,NA,NA,NA,NA,374575,NA,NA,NA,NA,NA,NA,NA,243833,NA,NA,NA,NA,249906,NA,NA,NA,NA,NA,NA,NA,449283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204570,NA
3,Lanarkshire,Allers - St Leonards,1.74967126972386,52.2343109500815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,453,21179,2654,106163,NA,NA,1174,NA,251,NA,NA,NA,NA,NA,40169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Forth Valley,Alloa,2.29037249543354,52.4180227525689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34953,22351,NA,NA,3325,NA,NA,NA,NA,42938,211953,78204,NA,115040,145058,144388,NA,NA,NA,NA,NA,11836,4694,25821,NA,74131,NA,16499,NA,95838,NA,14987,NA,NA,NA,58258,NA,56118,NA,NA,NA,NA,7122,33139,15023,NA,NA,36623,45406,10697,NA,NA,NA,NA,20098,11696,20216,NA,NA,NA,NA,19447,36814,38277,NA,NA,9136,13061,65428,NA,NA,NA,16087,15195,NA,54861,NA,20001,NA,22576,25824,NA,53864,NA,NA,13855,NA,NA,20591,16162,NA,23457,NA,NA,NA,NA,NA,NA,12049,16852,NA,1729,NA,NA,13576,NA,27729,NA,NA,27906,NA,NA,31831,NA,9615,NA,NA,21303,NA,21387,NA,NA,NA,NA,15119,NA,67129,NA,NA,66794,NA,NA,40954,NA,21299,NA,NA,44593,NA,NA,NA,40302,NA,97920,NA,NA,NA,53810,NA,109200,NA,60842,NA,90835,NA,NA,208317,NA,NA,NA,NA,74817,86961,NA,NA,NA,NA,NA,NA,NA,88742,NA,NA,80689,85928,NA,48391,NA,NA,243591,NA,169252,NA,NA,431206,NA,249791,NA,NA,508699,NA,387159,NA,NA,784602,NA,437785,NA,NA,NA,234712,NA,155926,NA,74989,NA,NA,NA,NA,NA,NA,NA,281593,NA,131851,NA,NA,NA,NA,56643,NA,112167,NA,185875,36307,NA,NA,72552,NA,NA,159953,NA,217815,NA,NA,71992,NA,78999,NA,NA,NA,142715,NA,88743,NA,NA,43837,NA,134576,NA,NA,NA,86199,NA,139156,NA,206461,NA,NA,NA,NA,NA,94273,NA,NA,NA,NA,74396,NA,NA,NA,NA,NA,NA,186963,NA,244667,NA,NA,57062,NA,128932,NA,NA,58261,NA,57047,NA,NA,NA,NA,38998,NA,NA,132437,NA,88192,NA,NA,229783,NA
5,Highland,Alness,4.85055443809518,52.1061086937765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1406246,NA,157128,NA,NA,NA,235220,NA,NA,NA,NA,NA,NA,NA,75796,NA,NA,NA,NA,13270,NA,NA,16321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Forth Valley,Alva,2.35943959861213,52.403678539629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36372,106223,NA,NA,50990,81492,NA,NA,NA,NA,NA,21722,7824,NA,NA,NA,NA,NA,5429,41358,NA,NA,NA,5652,5966,NA,NA,NA,NA,8117,4698,NA,NA,NA,NA,4104,6564,NA,NA,NA,5236,NA,NA,3715,NA,3343,1653,NA,NA,NA,NA,NA,NA,NA,NA,NA,3670,NA,NA,1280,NA,1132,NA,622,NA,NA,3377,NA,NA,1744,NA,NA,7844,NA,1459,NA,NA,NA,2719,NA,7542,26755,NA,NA,169382,NA,78595,NA,NA,35759,NA,20713,NA,NA,62412,NA,NA,NA,58761,NA,30624,NA,NA,NA,37294,NA,114838,NA,108481,NA,36044,NA,NA,43734,NA,NA,159015,NA,23320,NA,NA,55457,NA,NA,20947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259762,NA,230940,NA,NA,NA,900924,NA,NA,176879,NA,221828,NA,200501,NA,73580,NA,NA,NA,NA,NA,NA,NA,195669,NA,270461,NA,NA,NA,NA,NA,NA,NA,NA,NA,212713,NA,NA,162652,NA,NA,267430,NA,238667,NA,NA,98282,NA,92368,NA,NA,NA,97970,NA,122571,NA,NA,98362,NA,428169,NA,NA,NA,211854,NA,300910,NA,NA,NA,NA,NA,42389,NA,NA,NA,NA,194958,NA,46914,NA,NA,NA,NA,NA,NA,NA,152478,NA,NA,NA,NA,NA,NA,NA,NA,109306,NA,197383,NA,NA,NA,NA,NA,NA,NA,752859,NA,NA,NA,NA,183432,NA
7,Dumfries and Galloway,Annan,0.444259669044091,52.7464477288964,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,580,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,1290,NA,NA,NA,NA,1007,NA,NA,NA,NA,1779,NA,NA,NA,NA,NA,2180,NA,NA,NA,4477,NA,NA,NA,NA,NA,NA,NA,14298,NA,NA,NA,375,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1193429,NA,NA,NA,332249,NA,NA,NA,NA,NA,NA,NA,17339,NA,NA,NA,NA,24242,NA,NA,NA,NA,5982,NA,NA,NA,26815,NA,NA,NA,NA,NA,NA,NA,NA,957,NA,6882,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,24598,NA,NA,NA,NA,5785,NA,NA,NA,NA,NA,NA,716,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1548,NA,NA,NA,NA,NA,NA,NA,NA,NA,1544,NA,NA,NA,NA,NA,NA,2981,NA,NA,569,NA,NA,NA,NA,2584,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,11180,NA,NA,NA,NA,NA,NA,NA,37858,NA,NA,NA,NA,NA,13711,NA,NA,NA,NA,NA,NA,61889,NA,305215,NA,NA,NA,NA,NA,NA,NA,NA,100038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43863,NA,NA,NA,NA,69592,NA,NA,NA,NA,104565,NA,NA,NA,NA,NA,NA,517191,NA,NA,NA,191323,NA,NA,NA,897852,NA,NA,NA,433865,NA,NA,NA,NA,NA,58010,NA,NA,NA,79165,NA,NA,NA,NA,NA,NA,53707,NA,NA,NA,25463,54792,NA,184988,NA,NA,7675,NA,NA,37554,NA,NA,NA,NA,15514,NA,NA,NA,NA,NA,62031,NA,NA,NA,NA,218826,NA,NA,NA,NA,NA,275562,NA,NA,NA,NA,156724,NA,NA,NA,NA,NA,NA,2925,NA,NA,NA,NA,42869,NA,43924,NA,NA,NA,32704,NA,NA,NA,NA,NA,NA,NA,104050,NA,NA,NA,NA,213833,NA,NA,NA,NA,NA,NA,NA,48858,NA,NA,NA,NA,52261
