,Site,Year,Month,Week,x
160,Stirling - University,2022,01,01,349.075
161,Stonehouse,2022,01,01,59.3
162,Strathaven,2022,01,01,102.66
163,Swinstie,2022,01,01,NA
164,Thurso,2022,01,01,20.8
165,Tillicoultry,2022,01,01,24.51
166,Troqueer,2022,01,01,98.78
167,Turriff,2022,01,01,14.79
168,Whitburn,2022,01,01,46.19
169,Winchburgh,2022,01,01,177.86
170,Allanfearn,2021,01,02,46.2775
171,Allers,2021,01,02,81.28
172,Alloa,2021,01,02,171.98
173,Annan,2021,01,02,163.42
174,Armadale,2021,01,02,13.43
175,Bathgate,2021,01,02,19.88
176,Biggar,2021,01,02,0
177,Blackburn,2021,01,02,20.85
178,Blackridge,2021,01,02,3.44
179,Blackwood,2021,01,02,376.18
180,Bothwellbank,2021,01,02,70.99
181,Carbarns,2021,01,02,57.2
182,Dalbeattie,2021,01,02,2.13
183,Daldowie,2021,01,02,1034.92
184,Dalmarnock,2021,01,02,NA
185,Dalmuir,2021,01,02,95.2733333333333
186,Dalscone,2021,01,02,44.86
187,Dunfermline,2021,01,02,28.46
188,Dunnswood,2021,01,02,61.95
189,East Calder,2021,01,02,17.22
190,Falkirk,2021,01,02,96.03
191,Fauldhouse,2021,01,02,35.28
192,Fort William,2021,01,02,416.18
193,Galashiels,2021,01,02,21.57
194,Hamilton,2021,01,02,51.89
195,Harthill,2021,01,02,23.05
196,Hatton,2021,01,02,43.6633333333333
197,Hawick,2021,01,02,106.47
198,Helensburgh,2021,01,02,24.63
199,Inverclyde,2021,01,02,42.61
200,Kirkwall,2021,01,02,0.886666666666667
201,Lanark,2021,01,02,65.27
202,Lerwick,2021,01,02,5.505
203,Lesmahagow,2021,01,02,37.24
204,Levenmouth,2021,01,02,37.0033333333333
205,Linlithgow,2021,01,02,17.45
206,Lockerbie,2021,01,02,7.37
207,Mauldslie,2021,01,02,239.13
208,Maybole,2021,01,02,10.08
209,Meadowhead,2021,01,02,59.79
210,Nairn,2021,01,02,14.32
211,New Cumnock,2021,01,02,12.15
212,Nigg,2021,01,02,42.95
213,Peebles,2021,01,02,26.6
214,Philipshill,2021,01,02,53.58
215,Seafield,2021,01,02,53.41
216,Shieldhall,2021,01,02,95.27
217,Shotts,2021,01,02,91.56
218,Skellyton,2021,01,02,219.76
219,Stirling,2021,01,02,27.67
220,Stonehouse,2021,01,02,8.08
221,Stornoway,2021,01,02,NA
222,Strathaven,2021,01,02,56.63
223,Swinstie,2021,01,02,61.22
224,Troqueer,2021,01,02,116.82
225,Whitburn,2021,01,02,61.56
226,Winchburgh,2021,01,02,9.03
227,Allanfearn,2022,01,02,57.045
228,Alloa,2022,01,02,63.155
229,Annan,2022,01,02,53.35
230,Ardoch,2022,01,02,61.86
231,Aviemore,2022,01,02,NA
232,Bathgate,2022,01,02,21.53
233,Blackridge,2022,01,02,32.2
234,Boness,2022,01,02,58.53
235,Bonnybridge,2022,01,02,88.75
236,Bowhouse,2022,01,02,71.585
237,Buckie,2022,01,02,NA
238,Carbarns,2022,01,02,126.773333333333
239,Dalbeattie,2022,01,02,NA
240,Daldowie,2022,01,02,92.45
241,Dalmarnock,2022,01,02,80.27
242,Dalmuir,2022,01,02,92.7025
243,Dalmuir - Auchinairn (6298),2022,01,02,329.41
244,Dunbar,2022,01,02,161.18
245,Dunblane,2022,01,02,53.92
246,Dunfermline,2022,01,02,87.6066666666667
247,Dunnswood,2022,01,02,41.78
248,Duns,2022,01,02,17.43
249,East Calder,2022,01,02,91.7166666666667
250,Ellon,2022,01,02,33.84
251,Erskine,2022,01,02,59.0333333333333
252,Eyemouth,2022,01,02,37.85
253,Falkirk,2022,01,02,141.75
254,Forfar,2022,01,02,104.4
255,Forres,2022,01,02,127.62
256,Fort William,2022,01,02,123.19
257,Galashiels,2022,01,02,25.075
258,Guardbridge,2022,01,02,67.51
259,Haddington,2022,01,02,41.78
260,Hamilton,2022,01,02,61.68
261,Hatton,2022,01,02,122.76
262,Hatton - Fintry East,2022,01,02,NA
263,Hatton - Fintry North,2022,01,02,27.42
