,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Ardoch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.33,5.91,4.095,23.81,8.78,10.525,3.47,3.055,1.49,NA,0.605,0.695,0.21,0.165,1.18,1.01,4.025,2.95,6.115,11.375,43.67,17.81,13.68,30.45,NA,NA,NA,NA,8.2,NA,NA,5.31,NA,63.13,NA,49.815,33.375,77.44,37.245,56.56,42.12,49.61,35.31,11.74,NA,24.17,77.065,61.86,50.98,32.8,51.325,74.65
Armadale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56,27.13,NA,6.35,13.43,15.67,51.71,16.63,34.9,56.55,13.745,2.34,23.84,9.625,6.885,1.51,5.175,0.765,NA,2.375,7.84,6.545,0.61,24.055,9.165,4.815,30.815,45.22,130.59,149.79,NA,93.91,212.135,NA,NA,NA,NA,299.46,459.92,251.54,NA,173.53,49.66,NA,62.24,148.39,71,77.895,92.26,104.355,52.42,126.51,NA,NA,NA,969.04,NA,NA,35.25,210.535,162.65
Aviemore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,4.875,11.14,NA,283.285,391.88,119.68,107.805,95.715,NA,32.49,57.24,133.925,85.87,NA,NA,NA,31.13,223.515,81.46,158.76,NA,2083.64,135.5,103.35,257.75,115.03,225.03,NA,NA,NA,NA,6.64,17.02,25.32,91.31
Banchory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.205,NA,0.76,1.155,0,0.24,0,0.29,0.785,3.895,0.53,5.53,13.9,12.49,30.13,6.84,5.735,19.855,8.9,153.72,63.875,317.785,49.25,NA,120.54,81.79,NA,63.005,NA,36.46,224.86,53.07,56.51,83.46,22.865,76.4,NA,NA,66.42,NA,38.08,NA,120.19,NA
Banff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0,0.22,0.36,0.1,0.19,0.126666666666667,0.86,0.83,0.07,0.703333333333333,17.205,20.8,18.96,22.59,24.095,5.41,NA,NA,73.36,297.56,189.34,57.44,148.53,NA,145.94,82.65,49.305,106.206666666667,NA,21.1033333333333,40.185,40.26,28.785,8.26,63.325,139.27,NA,35.94,NA,37.4066666666667,NA,48.16,20.91
Bathgate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.29,NA,NA,7.96,19.88,0,46.81,73.38,100.085,47.435,37.48,23.305,8.92,11.015,5.73,26.17,NA,1.415,NA,2.325,2.78,11.33,4.29,4.52,10.395,3.01,0.35,64.745,260.42,107.755,55.01,175.925,29.965,NA,NA,94.73,NA,105.42,103.31,134.84,NA,94.88,118.35,NA,76.315,55.94,52.54,118.61,96.46,117.57,NA,27.86,66.405,186.27,NA,50.52,21.53,56.87,30.91,75.13,83.12
Biggar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.42,0,0,30.77,18.4,2.44,0.9,0.99,1.97,68.96,0.47,0.94,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blackburn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.68,NA,NA,49.4066666666667,20.85,18.41,2.06,9.67,19.79,34.08,27.72,6.525,4.21,6.14,10.27,7.3,6.52,2.86,10.53,7.285,2.47,0.895,5.59,6.14,12.885,16.465,12.625,19.995,56.305,71.185,66.1,47.29,53.71,NA,16.48,NA,NA,327.325,95.4066666666667,NA,28.81,3.22,21.53,46.145,17.585,566.64,32.13,38.435,40.925,18.4,52.53,70.13,39.47,82.79,NA,49.17,NA,47.22,59.6,37.86,32.18
Blackridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12,0.85,NA,4.32,3.44,9.75,36.14,109.48,139.605,193.73,181.185,14.6,0.605,2.715,5.785,18.085,87.645,270.72,NA,5.94,11.45,23.725,17.58,28.11,11.06,10.74,15.065,21.99,41.42,772.565,3070.11,60.58,168.385,NA,NA,NA,NA,88.36,244.37,689.42,NA,NA,NA,NA,43.94,59.28,19.87,1.5,61.985,62.18,60.5,117.85,110.1,NA,NA,15.41,32.2,8.03,18.18,111.66,114.29
Blackwood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.03,376.18,NA,24.05,73.31,6.21,83.12,158.6,1.94,0.84,1.43,5.89,4.31,0,NA,NA,0.37,NA,0,NA,12.41,23.03,36.55,23.9,11.51,10.43,479.79,758.99,373.24,155.67,NA,NA,141.66,NA,323.59,NA,68.8,NA,NA,26.26,NA,38.48,NA,15.3,53.61,38.84,NA,NA,16.75,172.64,NA,NA,44.99,NA,NA,NA,NA,218.96
Blairgowrie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24,3.37,0.74,NA,59.43,40.38,15.16,3.2,NA,NA,0.49,0,1.34,0.61,NA,2.59,0.75,3.75,7.77,11.16,40.66,141.72,15.99,52.46,36.33,15.69,19.93,21.03,65.08,NA,65.26,136.74,NA,5.87,NA,723.84,301.65,147.64,62.87,NA,292.02,NA,18.73,29.65,NA,NA,63.12,NA,115.16,NA,NA,NA
Boness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.77,50.27,1.4,2.06,12.595,5.725,2.71,6.315,2.85,NA,0.435,0.225,1.455,1.195,1.195,3.535,2.625,0.095,23.685,60.99,61.44,200.15,38.525,38.58,51.93,NA,NA,NA,176.92,339.33,32.93,17.24,36.86,13.31,NA,22.025,172.95,28.145,23.91,42.655,43.91,NA,107.81,115.87,NA,NA,163.58,58.53,38.4,NA,34.81,54.89
Bonnybridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.505,51.815,48.555,7.695,15.34,21.82,33.335,6.275,2.025,NA,0.85,2.095,9.15,2.625,17.71,16.935,6.745,4.66,13.79,95.37,117.915,34.33,66.84,42.4,58.72,NA,NA,109.325,96.96,254.305,168.77,NA,192.75,131.36,NA,91.91,84.31,40.02,55.965,52.2,284.425,247.83,92.65,116.78,NA,NA,NA,88.75,66.15,37.87,122.18,NA
Bothwellbank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.31,70.99,44.71,35.67,1.86,13.97,30.42,19.28,11.67,5.34,9.47,3.77,3.98,3.77,3.53,NA,0.97,4.94,NA,1.59,3.78,4.12,3.96,8.95,5.67,12.07,69.99,267.17,28.11,81.65,NA,NA,NA,NA,451.2,442.94,302.2,166.21,NA,60.88,NA,54.06,71.1,32.74,43.43,32.43,45.29,NA,15.97,121.79,238,NA,182.94,NA,NA,NA,NA,68.49
Bowhouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.39,7.56,6.67,0.59,0.33,2.63,3.09,0.665,0.475,0.545,0,NA,NA,0.11,0,NA,0.375,0.415,1,3.65,12.475,36.935,18.76,12.87,44.67,NA,NA,NA,NA,NA,98.52,261.44,234.46,177.74,32.555,77.91,105.82,NA,78.35,157.975,143.59,107.86,68.81,50.6,74.56,34.25,75.68,NA,NA,122.78,71.585,31.23,48.64,NA,96.96
Buckie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.37,NA,15.29,20.565,59.7,47.3,25.195,24.475,NA,NA,NA,22.09,11.24,32.92,23.11,NA,NA,43.83,256.02,NA,188.455,71.835,39.25,NA,39.5,NA,23.28,17.31,NA,NA,30.11,NA,NA,NA,NA,90.95
Carbarns,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,5.4075,3.84333333333333,1.395,6.5525,20.6,19.3,64.4033333333333,28.505,58.46,76.5925,63.3233333333333,56.42,39.0566666666667,36.3566666666667,27.41,37.45,55.61,NA,NA,49.2,57.2,25.09,67.28,103.13,41.7,18.54,26.79,10.08,20.075,23.4,14.55,19.845,11.985,19.95,NA,4.67,2.78,3.27,2.86,2.385,5.22,10.725,9.885,19.515,68.59,64.9,135.75,100.035,101.33,142.445,84.725,39.085,154.495,252.46,1233.16,336.42,157.595,171.13,109.475,76.23,84.2,128.685,86.7666666666667,82.6866666666667,64.24,77.27,99.48,60.37,164.68,309.07,360.14,90.94,126.773333333333,94.1966666666667,76.3766666666667,100.93,131.88
Coldstream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.21,2.325,50.29,38.085,2.255,0.555,0.35,0,0,0,NA,0.2,0,0.435,0,0.325,0.44,0,1.69,1.45,97.14,51.09,35.32,50.265,51.89,91.605,116.96,NA,84,334.155,208.07,41.43,NA,42.215,19.72,NA,29.865,28.73,7.63,91.13,270.48,65.05,NA,15.13,453.04,NA,NA,NA,NA,11.56,NA,9.7,10.04
Cumnock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.42,53.98,19.91,7.22,11.56,17.84,25.31,2.7,1,NA,0.46,1.22,0.6,0,0.62,12.44,11.91,9.9,10.69,69.87,272.39,25.2,16.28,67.65,NA,NA,NA,NA,119.66,61.94,230.02,NA,96.36,NA,NA,53.13,142.05,573.18,NA,142.59,NA,28.52,115.31,23.83,NA,NA,210.82,NA,NA,35.58,73.32,NA
Cumnock - Netherwood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.578,9.62,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cupar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38,12.015,0.72,0.325,7.985,4.49,4.28,15.03,0.505,0.645,0.44,1.61,NA,0,0,1.515,0.07,0,2.505,0.235,7.2,33.145,64.46,NA,20.84,4.21,18.5,NA,58.96,129.18,NA,64.145,150.35,73.15,16.91,50.545,69.5,NA,40.665,60.92,39.485,52.195,81.59,68.79,93.26,20.7,59.77,NA,176.23,152.85,NA,56.84,26.31,NA,117.675
Dalbeattie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,2.6,23.39,6.29,14.77,2.86,0.7,NA,5.2,NA,0,1,0,0,NA,NA,0.44,2.13,NA,NA,NA,3.88,NA,3.53,31.25,0.67,4.2,36.74,0.87,0,0,NA,0,NA,0,0,0,0,0,6.04,NA,1.28,6.19,7.93,38.41,NA,25.91,22.79,469.97,452.39,173.29,NA,41.8,21.54,139.68,83.08,123.143333333333,191.46,120.93,NA,134.21,47.7,120.34,64.68,NA,102.77,395.85,NA,NA,NA,288.41,NA,72.65,131.91
Daldowie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355.85,1034.92,89.45,NA,68.79,36.55,103.92,16.22,32.26,19.28,13.9,14.1,10.04,5.94,17.74,NA,2.95,6.06,2.17,6.59,9.82,6.16,5.81,20.83,25.02,22.8,131.72,NA,117.7,70.44,88.34,42.23,59.71,110.01,76.85,NA,188.45,83.75,151.49,41.99,58.6566666666667,58.19,40.56,24.6175,13.91,NA,NA,NA,NA,NA,NA,NA,139.52,92.45,35.705,43.17,63.5075,225.81
Dalmarnock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.38,NA,NA,56.4,34.69,39.04,11.87,25.6,12.59,NA,4.17,10.76,NA,6.52,3.74,17.95,NA,NA,NA,26.8,19.805,33.455,84.305,106.1,179.01,84.79,120.76,NA,32.65,150.12,126.43,388.455,349.725,131.32,126.94,110.045,91.585,60.2,38.845,83.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.27,17.05,NA,11.95,6.81
Dalmuir,0.32,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0.93,6.43,4.98,8.67,1.46,11.49,22.96,63.08,17.67,36.12,2.73,13.95,27.15,32.48,21.96,30.19,23.89,13.52,NA,59.03,43.62,95.2733333333333,34.56,49.03,35.355,34.15,25.7466666666667,22.52,9.615,16.245,18.1466666666667,11.72,10.06,10.61,12.0833333333333,NA,3.415,3.03,22.93,6.65,12.75,22.31,21.765,13.84,42.09,NA,104.045,140.36,47.54,36.375,37.92,40.075,118.54,106.78,242.585,592.6,88.45,118.24,95.65,93.97,77.42,47.225,62.22,40.215,84.57,113.095,115.19,96.0933333333333,100.983333333333,135.1325,270.49,152.285,113.57,92.7025,66.7125,60.15,38.0833333333333,51.38
Dalmuir - Auchinairn (6298),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,1.375,0.29,0.175,0.135,0.52,NA,NA,12.08,17.975,0.545,11.585,112.895,60.96,111.2,8.665,19.95,30.035,4.685,171.705,155.985,242.295,45.1,66.25,46.73,NA,NA,NA,148.36,157.955,97.11,86.045,70.36,10.89,NA,66.59,97.62,NA,NA,288.56,329.41,NA,NA,NA,NA
Dalmuir - Auchinairn (6330),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0875,4.88,3.27,0.57,1.51,1.07,NA,NA,5.9,20.17,31.315,22.13,48.865,60.91,89.57,43.865,37.525,8.015,11.175,279.995,190.26,150.15,116.43,436.92,NA,NA,136.98,NA,NA,135.84,17.39,84.85,29.305,39.08,NA,5.82,88.155,NA,NA,54.48,NA,NA,NA,NA,NA
Dalmuir - Clydebank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.045,7.825,NA,1.345,0.09,0,NA,NA,42.38,3.465,3.05,45.065,144.425,51.7,32.34,38.5,NA,NA,11.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalmuir - Minerva St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalmuir - SECC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
