,2022-02,2021-14,2021-26,2021-01,2020-45,2021-36,2022-05,2021-13,2020-50,2020-29,2021-38,2020-33,2021-50,2021-25,2021-04,2021-45,2021-33,2020-38,2021-10,2022-06,2020-53,2021-22,2021-28,2020-41,2021-07,2021-40,2020-25,2020-37,2022-03,2021-15,2021-21,2020-48,2020-46,2021-37,2021-43,2020-26,2021-39,2020-32,2021-09,2021-51,2021-24,2021-03,2021-44,2021-30,2021-11,2020-52,2020-31,2020-42,2021-06,2021-47,2021-18,2020-22,2020-36,2021-49,2021-16,2021-20,2020-49,2020-47,2021-34,2021-42,2020-27,2020-35,2021-08,2021-27,2021-52,2021-02,2020-44,2021-31,2022-04,2021-12,2020-51,2020-28,2020-30,2020-43,2021-05,2021-46,2021-19,2020-23,2021-32,2020-39,2022-01,2021-48,2021-17,2021-23,2021-29,2020-40,2021-35,2021-41,2020-24,2020-34
Allanfearn,57.045,3.99333333333333,33.55,31.6033333333333,4.86,212.1675,22.485,0.666666666666667,1.135,,77.1925,0.14,38.6,9.6725,19.105,37.3866666666667,30.3625,0.465,20.29,68.52,,0.325,37.9966666666667,2.82,20.6175,29.26,0,0.9825,23.78,1.01,0.34,5.92666666666667,1.7,102.033333333333,82.0125,,40.09,0.17,4.43,79.25,3.055,26.1825,33.4666666666667,66.65,6.8125,,,2.4475,26.215,65.03,7.805,,1.225,43.975,2.86,0.28,1.5925,3.94,98.4875,33.4575,0,0.135,16.9,70.8525,,46.2775,19.6025,17.3275,52.57,12.4875,2.54,,,8.0125,20.0766666666667,47.605,4.3175,0,19.1933333333333,1.4075,59.875,86.435,1.345,0.96,28.96,0.715,174.863333333333,50.5225,0,0.245
Allers,,1.75,135.11,53.99,,481.84,,5.44,,,63.64,,164.19,40.72,25.59,171.41,,,2.57,113.62,,5.71,75.24,,29.76,,,,,6.59,2.1,,,138.57,38.3,,77.11,,5.14,,6.43,55.64,56.5,101.46,1.65,,,,6,186.05,3.81,,,154.11,,1.13,,,,58.38,,,27.01,120.57,436.54,81.28,,,,1.7,,,,,17.52,138.28,7.44,,,,NA,,5.18,4.03,47.41,,416.31,,,
Allers - St Leonards,,9.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.11,,,,,,,
Alloa,63.155,19.75,38.745,62.8433333333333,,286.6,59.505,18.51,,,57.51,,48.04,36.27,31.185,81.79,110.71,,19.1566666666667,409.09,,23.235,105.99,,37.4133333333333,98.29,,,33.8,10.6566666666667,14.5,,,109.175,196.05,,184.76,,10.8833333333333,NA,18.52,45.14,60.915,,19.2933333333333,3.26,,,48.47,64.12,14.15,,,76.87,,8.92,,,203.415,54.165,,,40.0933333333333,52.04,,171.98,,41.71,20.77,17.3766666666667,117.32,,,,43.725,60.58,19.645,,56.815,,155.885,111.33,5.23333333333333,28.15,38.645,,228.27,76.67,,
Alness,,,,,,,NA,,,,,,10.75,,,,,,,,,,,,,,,,56.42,,,,,,,,,,,,,,,,,,,,,133.82,,,,58.48,,,,,,,,,,,,,,,,,,,,,,757.205,,,,,,NA,,,,,,,,
Alva,,4.375,68.585,,,472.285,635.26,5.91,,,72.56,,140.105,40.565,,122.585,,,25.35,236.26,,95,42.93,,112.155,324.08,,,160.995,2.22,5.355,,,192.445,365.12,,187.96,,12.965,,42.62,,123.915,37.87,7.87,,,,,269.56,1.075,,,61.26,,4.16,,,,239.485,,,90.305,74.155,,,,,,6.8,,,,,,299.485,2.575,,,,197.13,,2.07,54.83,85.84,,217.995,,,
Annan,53.35,0,18.78,584.5,4.48,309.86,26.06,NA,0,,24.18,,24.99,5.08,51.55,48.97,34.36,0,12.36,40.36,,3.93,,0,0.76,84.81,,0,92.51,0.71,0,0.52,2.46,157.78,22.03,,38.35,,0,17.43,13.55,19.43,35.74,,5.47,,,1.34,17.31,153.69,1.8,0,0,38.45,,1.32,0,11.36,203.31,6.04,,0,5.31,411.08,,163.42,1.42,14,,0.33,,,,1.22,15,130.19,0.27,,41.8,0.29,35.41,78.96,0.62,NA,31.83,0,68.17,42.52,,0
Ardoch,61.86,3.055,11.375,,,NA,51.325,3.47,,,5.31,,11.74,6.115,,37.245,,,23.81,74.65,,1.01,17.81,,14.33,63.13,,,50.98,1.49,1.18,,,NA,33.375,,NA,,4.095,,2.95,,77.44,30.45,8.78,,,,,42.12,0.695,,,35.31,,0.165,,,,49.815,,,5.91,43.67,24.17,,,,32.8,10.525,,,,,,56.56,0.21,,,,77.065,49.61,0.605,4.025,13.68,,8.2,,,
Armadale,,5.175,130.59,6.35,,459.92,210.535,1.51,,,,,,45.22,51.71,77.895,,,23.84,162.65,,9.165,,,56.55,49.66,,,,0.765,24.055,,,251.54,148.39,,173.53,,2.34,,30.815,15.67,71,212.135,9.625,27.13,,,34.9,104.355,7.84,,,126.51,,0.61,,,,62.24,,,13.745,149.79,,13.43,,,35.25,6.885,3.56,,,,16.63,92.26,6.545,,,,969.04,52.42,2.375,4.815,93.91,,299.46,,,
Aviemore,NA,,,,,85.87,25.32,,,,,,225.03,11.14,,2083.64,32.49,,,91.31,,,391.88,,,31.13,,,6.64,,,,,NA,158.76,,NA,,,,4.875,,NA,107.805,,,,,,103.35,,,,115.03,,,,,57.24,81.46,,,,283.285,,,,95.715,17.02,,,,,,,135.5,,,,,,257.75,,0.49,119.68,,133.925,223.515,,
Banchory,,,5.53,,,317.785,120.19,,,,,,76.4,0.53,,224.86,8.9,,,,,0.29,12.49,,,81.79,,,38.08,0.205,0,,,49.25,,,120.54,,,NA,3.895,,36.46,6.84,,,,,,56.51,1.155,,,22.865,,0.24,,,153.72,63.005,,,,13.9,,,,5.735,,,,,,,,53.07,0,,19.855,,66.42,83.46,0.76,0.785,30.13,,63.875,,,
