Dumfries and Galloway,Sanquhar,609092,278212
Lothian,Seafield,675949,328607
Lothian,Seafield - Cockenzie
Lothian,Seafield - Craigmillar
Lothian,Seafield - Muirhouse
Lothian,Seafield - Restalrig
Lothian,Seafield - Tranent
Lothian,Seafield - Western General
Borders,Selkirk,629776.12,347445.71
Greater Glasgow and Clyde,Shieldhall,665879.92,253347.05
Greater Glasgow and Clyde,Shieldhall - Barrhead
Greater Glasgow and Clyde,Shieldhall - Gorbals
Greater Glasgow and Clyde,Shieldhall - Govanhill
Greater Glasgow and Clyde,Shieldhall - IMAX
Greater Glasgow and Clyde,Shieldhall - Pollockshields West
Greater Glasgow and Clyde,Shieldhall - Science Centre
Lanarkshire,Shotts,659440.47,286599.89
Lanarkshire,Skellyton,651935.01,277098.25
Fife,Springfield,711636.87,334855.07
Fife,St Andrews,715505.19,353285.2
Fife,St Andrews - University (2979)
Fife,St Andrews - University (4964)
Ayrshire and Arran,Stevenston,640301.09,227592.79
Ayrshire and Arran,Stevenston - Stevenston East
Ayrshire and Arran,Stevenston - Stevenston West
Forth Valley,Stirling,693499,280754.03
Forth Valley,Stirling - University
Lanarkshire,Stonehouse,647110.52,276362.72
Western Isles,Stornoway,930771.02,144486.28
Lanarkshire,Strathaven,644319.96,270636.69
Lanarkshire,Swinstie,657616.19,280623.66
Highland,Thurso,969517.72,313136.01
Forth Valley,Tillicoultry,696514.8,291662.15
Dumfries and Galloway,Troqueer,574547,297143
Grampian,Turriff,850300.69,371576.38
Greater Glasgow and Clyde,Uplawmoor,655184.93,243121.37
Lothian,Whitburn,665449.9,294862.68
Highland,Wick,950960.53,338211.02
Lothian,Winchburgh,674530.5,309216.45
