,Site,Year,Week,x
1,Allanfearn,2021,01,69420
2,Allers,2021,01,164611
3,Alloa,2021,01,111031.666666667
4,Annan,2021,01,1193429
5,Armadale,2021,01,33772
6,Bathgate,2021,01,12293
7,Biggar,2021,01,24495
8,Blackburn,2021,01,40228.6666666667
9,Blackridge,2021,01,2365
10,Blackwood,2021,01,120248
11,Bothwellbank,2021,01,50564
12,Carbarns,2021,01,98845
13,Dalbeattie,2021,01,944
14,Daldowie,2021,01,189362
15,Dalmuir,2021,01,93163.5
16,Dalscone,2021,01,NA
17,Dunfermline,2021,01,98810
18,Dunnswood,2021,01,265453
19,East Calder,2021,01,81314
20,Falkirk,2021,01,47482
21,Fauldhouse,2021,01,115165
22,Fort William,2021,01,336
23,Galashiels,2021,01,7025
24,Hamilton,2021,01,50476
25,Harthill,2021,01,26527
26,Hatton,2021,01,74751.3333333333
27,Hawick,2021,01,185436
28,Helensburgh,2021,01,30581
29,Inverclyde,2021,01,233525
30,Kirkwall,2021,01,670.333333333333
31,Lanark,2021,01,63779
32,Lerwick,2021,01,642
33,Levenmouth,2021,01,56674.75
34,Linlithgow,2021,01,64024
35,Lockerbie,2021,01,17850.5
36,Mauldslie,2021,01,57581
37,Maybole,2021,01,NA
38,Meadowhead,2021,01,111004
39,Nairn,2021,01,14404
40,New Cumnock,2021,01,205163
41,Nigg,2021,01,126058
42,Peebles,2021,01,9128
43,Philipshill,2021,01,81968
44,Seafield,2021,01,164158
45,Shieldhall,2021,01,121552.75
46,Shotts,2021,01,62115
47,Stirling,2021,01,18502
48,Stonehouse,2021,01,28746
49,Stornoway,2021,01,945
50,Strathaven,2021,01,24462
51,Swinstie,2021,01,62809
52,Troqueer,2021,01,27997
53,Whitburn,2021,01,60622
54,Winchburgh,2021,01,25703
55,Allanfearn,2022,01,104625.5
56,Allers,2022,01,NA
57,Alloa,2022,01,215815
58,Alva,2022,01,152478
59,Annan,2022,01,32704
60,Ardoch,2022,01,79569
61,Armadale,2022,01,1697777
62,Banchory,2022,01,155533
63,Banff,2022,01,116272
64,Bathgate,2022,01,42000
65,Blackburn,2022,01,71588
66,Blackridge,2022,01,14070
67,Blackwood,2022,01,40460
68,Blairgowrie,2022,01,106647
69,Boness,2022,01,215601
70,Bothwellbank,2022,01,380537
71,Bowhouse,2022,01,134210
72,Buckie,2022,01,50414
73,Carbarns,2022,01,155126
74,Cumnock,2022,01,226703
75,Cupar,2022,01,210151
76,Dalbeattie,2022,01,NA
77,Daldowie,2022,01,255290.333333333
78,Dalmuir,2022,01,187109
79,Dalmuir - Auchinairn (6298),2022,01,360521
80,Dalmuir - Auchinairn (6330),2022,01,72120.5
81,Denny,2022,01,124906
82,Dunblane,2022,01,233715.5
83,Dunfermline,2022,01,165446.333333333
84,Dunoon,2022,01,21886.5
85,East Calder,2022,01,170979.5
86,Erskine,2022,01,133392.666666667
87,Eyemouth,2022,01,128692.5
88,Falkirk,2022,01,115345
89,Fauldhouse,2022,01,64512
90,Forfar,2022,01,264925.5
91,Fort William,2022,01,33032
92,Galashiels,2022,01,49020
93,Girvan,2022,01,62360
94,Guardbridge,2022,01,21038
95,Haddington,2022,01,83775
96,Hamilton,2022,01,231330
97,Harthill,2022,01,54604
98,Hatton,2022,01,170324
99,Hatton - Fintry East,2022,01,478716
100,Hatton - Fintry North,2022,01,183065
101,Hatton - Fintry West,2022,01,NA
102,Hawick,2022,01,143258
103,Helensburgh,2022,01,133670
104,Huntly,2022,01,28140
105,Inverclyde,2022,01,112022
106,Inverclyde - Gourock,2022,01,199240
107,Inverurie,2022,01,239685
108,Ironmill Bay,2022,01,134441.5
109,Jedburgh,2022,01,21003
110,Kelso,2022,01,60569
111,Kinneil,2022,01,56923
112,Kirkcaldy,2022,01,286789.5
113,Kirkwall,2022,01,96945.5
114,Lanark,2022,01,51584
115,Langholm,2022,01,44742
116,Largs,2022,01,80784
117,Lerwick,2022,01,NA
118,Lesmahagow,2022,01,144060
119,Levenmouth,2022,01,139285
120,Linlithgow,2022,01,143493
121,Lockerbie,2022,01,NA
122,Lossiemouth,2022,01,154436
123,Mauldslie,2022,01,33218
124,Maybole,2022,01,177921
125,Meadowhead,2022,01,101948
126,Meadowhead - Kilmarnock HMP,2022,01,0
127,Montrose,2022,01,44742
128,Neilston,2022,01,182374.5
129,New Cumnock,2022,01,403745
130,Newbridge,2022,01,73943
131,Newburgh,2022,01,147125
132,Newport & Tayport,2022,01,87847
133,Newtown St Boswell,2022,01,101567
134,Nigg,2022,01,306389.5
135,Paisley,2022,01,106937.25
136,Paisley - Blackhall,2022,01,56340
137,Paisley - Brediland,2022,01,0
138,Peebles,2022,01,42658
139,Penicuik,2022,01,230185
140,Perth,2022,01,328296
141,Philipshill,2022,01,121420.5
142,Seafield,2022,01,227308.5
143,Seafield - Cockenzie,2022,01,536188
144,Seafield - Craigmillar,2022,01,150989.5
145,Seafield - Muirhouse,2022,01,300188
146,Seafield - Restalrig,2022,01,243617
147,Selkirk,2022,01,60977
148,Shieldhall,2022,01,48666.6666666667
149,Shieldhall - Barrhead,2022,01,147461
150,Shieldhall - Gorbals,2022,01,45915
151,Shieldhall - Pollockshields West,2022,01,24480.5
152,Shotts,2022,01,NA
153,Skellyton,2022,01,120166
154,Springfield,2022,01,119363
155,St Andrews,2022,01,77373
156,Stevenston,2022,01,80614
157,Stevenston - Stevenston East,2022,01,490004
158,Stevenston - Stevenston West,2022,01,20901
159,Stirling,2022,01,23503.3333333333
160,Stirling - University,2022,01,325708
161,Stonehouse,2022,01,48325
162,Strathaven,2022,01,86744
163,Swinstie,2022,01,NA
164,Thurso,2022,01,23435
165,Tillicoultry,2022,01,39813
166,Troqueer,2022,01,135258
167,Turriff,2022,01,21411
168,Whitburn,2022,01,59441
169,Winchburgh,2022,01,208895
170,Allanfearn,2021,02,77327.75
171,Allers,2021,02,160353
172,Alloa,2021,02,134828.666666667
173,Annan,2021,02,332249
174,Armadale,2021,02,37537
175,Bathgate,2021,02,13479
176,Biggar,2021,02,0
177,Blackburn,2021,02,21683
178,Blackridge,2021,02,3979
179,Blackwood,2021,02,406621
180,Bothwellbank,2021,02,67947
181,Carbarns,2021,02,106825
182,Dalbeattie,2021,02,1535
183,Daldowie,2021,02,541165
184,Dalmarnock,2021,02,NA
185,Dalmuir,2021,02,134663.333333333
186,Dalscone,2021,02,47144
187,Dunfermline,2021,02,64637
188,Dunnswood,2021,02,104315
189,East Calder,2021,02,28408
190,Falkirk,2021,02,130261
191,Fauldhouse,2021,02,41875
192,Fort William,2021,02,416885
193,Galashiels,2021,02,27588
194,Hamilton,2021,02,102951
195,Harthill,2021,02,37161
196,Hatton,2021,02,78130.3333333333
197,Hawick,2021,02,196615
198,Helensburgh,2021,02,7822
199,Inverclyde,2021,02,46543
200,Kirkwall,2021,02,847
201,Lanark,2021,02,55489
202,Lerwick,2021,02,10257
203,Lesmahagow,2021,02,23560
204,Levenmouth,2021,02,57069.6666666667
205,Linlithgow,2021,02,27134
206,Lockerbie,2021,02,7468
207,Mauldslie,2021,02,118803
208,Maybole,2021,02,6536
209,Meadowhead,2021,02,75375
210,Nairn,2021,02,32871
211,New Cumnock,2021,02,9265
212,Nigg,2021,02,88603
213,Peebles,2021,02,20568
214,Philipshill,2021,02,105054
215,Seafield,2021,02,102807
216,Shieldhall,2021,02,92058
217,Shotts,2021,02,71297
218,Skellyton,2021,02,152127
219,Stirling,2021,02,34342
220,Stonehouse,2021,02,5789
221,Stornoway,2021,02,NA
222,Strathaven,2021,02,25363
223,Swinstie,2021,02,66856
224,Troqueer,2021,02,207888
225,Whitburn,2021,02,64903
226,Winchburgh,2021,02,19745
227,Allanfearn,2022,02,119257
228,Alloa,2022,02,92997
229,Annan,2022,02,104050
230,Ardoch,2022,02,53734
231,Aviemore,2022,02,NA
232,Bathgate,2022,02,26622
233,Blackridge,2022,02,34327.5
234,Boness,2022,02,67022
235,Bonnybridge,2022,02,111253
236,Bowhouse,2022,02,110903
237,Buckie,2022,02,NA
238,Carbarns,2022,02,228658
239,Dalbeattie,2022,02,NA
240,Daldowie,2022,02,138935.5
241,Dalmarnock,2022,02,128622.75
242,Dalmuir,2022,02,123831.75
243,Dalmuir - Auchinairn (6298),2022,02,367425
244,Dunbar,2022,02,336547
245,Dunblane,2022,02,69789
246,Dunfermline,2022,02,244247.333333333
247,Dunnswood,2022,02,65673
248,Duns,2022,02,29558
249,East Calder,2022,02,158241.666666667
250,Ellon,2022,02,59641
251,Erskine,2022,02,75202
252,Eyemouth,2022,02,46319
253,Falkirk,2022,02,149495.666666667
254,Forfar,2022,02,157988
255,Forres,2022,02,196414
256,Fort William,2022,02,123400
257,Galashiels,2022,02,43729
258,Guardbridge,2022,02,81134
259,Haddington,2022,02,73477
260,Hamilton,2022,02,126637.5
261,Hatton,2022,02,223441.75
262,Hatton - Fintry East,2022,02,NA
263,Hatton - Fintry North,2022,02,42736
264,Hatton - Fintry West,2022,02,107744.5
265,Hawick,2022,02,120606
266,Inverclyde,2022,02,94129.5
267,Inverclyde - Gourock,2022,02,56903
268,Inverurie,2022,02,184399
269,Jedburgh,2022,02,154147.5
270,Kelso,2022,02,107315
271,Kirkcaldy,2022,02,231797.333333333
272,Kirkwall,2022,02,17891.5
273,Lanark,2022,02,242907
274,Largs,2022,02,66583
275,Lerwick,2022,02,NA
276,Levenmouth,2022,02,171839.666666667
277,Linlithgow,2022,02,74105
278,Loch Ryan,2022,02,23045.5
279,Lockerbie,2022,02,85886
280,Lossiemouth,2022,02,NA
281,Meadowhead,2022,02,61160
282,Meadowhead - Kilmarnock HMP,2022,02,10812
283,Montrose,2022,02,58214
284,Nairn,2022,02,51063
285,Neilston,2022,02,50332
286,Newbridge,2022,02,157063
287,Newburgh,2022,02,26856
288,Newtown St Boswell,2022,02,113631
289,Nigg,2022,02,258210.25
290,Oban,2022,02,30152
291,Paisley,2022,02,63848.25
292,Paisley - Blackhall,2022,02,59652.5
293,Paisley - Brediland,2022,02,23455
294,Peebles,2022,02,44923
295,Penicuik,2022,02,142384
296,Persley,2022,02,364291
297,Perth,2022,02,92126.3333333333
298,Peterhead,2022,02,96145.5
299,Philipshill,2022,02,195950.333333333
300,Seafield,2022,02,173123.75
301,Seafield - Cockenzie,2022,02,99976
302,Seafield - Muirhouse,2022,02,70162
303,Seafield - Restalrig,2022,02,83183
304,Shieldhall,2022,02,77277.5
305,Shieldhall - Barrhead,2022,02,126901
306,Shieldhall - Gorbals,2022,02,146546
307,Shotts,2022,02,83818
308,Springfield,2022,02,58834
309,St Andrews - University (2979),2022,02,8487
310,Stevenston,2022,02,45474.6666666667
311,Stevenston - Stevenston East,2022,02,17739
312,Stevenston - Stevenston West,2022,02,413963
313,Stirling,2022,02,85038
314,Stirling - University,2022,02,56150.5
315,Troqueer,2022,02,163879.5
316,Turriff,2022,02,29275
317,Winchburgh,2022,02,150892
318,Allanfearn,2021,03,36351.25
319,Allers,2021,03,60401
320,Alloa,2021,03,14117
321,Annan,2021,03,17339
322,Armadale,2021,03,20584
323,Bathgate,2021,03,0
324,Biggar,2021,03,0
325,Blackburn,2021,03,14462
326,Blackridge,2021,03,6648
327,Bothwellbank,2021,03,31869
328,Carbarns,2021,03,34941
329,Dalbeattie,2021,03,NA
330,Daldowie,2021,03,46938
331,Dalmuir,2021,03,41061.3333333333
332,Dalscone,2021,03,NA
333,Dunfermline,2021,03,18759
334,Dunnswood,2021,03,54660
335,East Calder,2021,03,25227
336,Falkirk,2021,03,16060
337,Fauldhouse,2021,03,27470
338,Fort William,2021,03,1018
339,Galashiels,2021,03,1886
340,Hamilton,2021,03,29083
341,Harthill,2021,03,436
342,Hatton,2021,03,50457.3333333333
343,Hawick,2021,03,55307
344,Helensburgh,2021,03,36142
345,Inverclyde,2021,03,68325
346,Kirkwall,2021,03,1558.33333333333
347,Lanark,2021,03,16013
348,Lerwick,2021,03,3582
349,Levenmouth,2021,03,15422
350,Linlithgow,2021,03,21614
351,Lockerbie,2021,03,3127.5
352,Mauldslie,2021,03,102175
353,Maybole,2021,03,13034
354,Meadowhead,2021,03,38837.6666666667
355,Nairn,2021,03,5079
356,New Cumnock,2021,03,17094
357,Nigg,2021,03,79810.5
358,Peebles,2021,03,4058
359,Philipshill,2021,03,56755
360,Seafield,2021,03,58557
361,Shieldhall,2021,03,53587.6666666667
362,Shotts,2021,03,7086
363,Stirling,2021,03,7932
364,Stonehouse,2021,03,17984
365,Stornoway,2021,03,0
366,Strathaven,2021,03,22228
367,Troqueer,2021,03,34365
368,Whitburn,2021,03,142094
369,Winchburgh,2021,03,615
370,Allanfearn,2022,03,52109.3333333333
371,Alloa,2022,03,57654
372,Alness,2022,03,73130
373,Alva,2022,03,153344.5
374,Annan,2022,03,213833
375,Ardoch,2022,03,55467.5
376,Aviemore,2022,03,14245
377,Banchory,2022,03,74842
378,Banff,2022,03,141015
379,Bathgate,2022,03,88486
380,Blackburn,2022,03,111935.5
381,Blackridge,2022,03,9495
382,Blairgowrie,2022,03,227332
383,Boness,2022,03,51399
384,Bonnybridge,2022,03,80559
385,Bowhouse,2022,03,53063
386,Buckie,2022,03,NA
387,Carbarns,2022,03,190412.666666667
388,Coldstream,2022,03,18310
389,Cupar,2022,03,97391
390,Dalbeattie,2022,03,342847
391,Daldowie,2022,03,78098
392,Dalmarnock,2022,03,24418
393,Dalmuir,2022,03,137144.75
394,Denny,2022,03,27836
395,Dunbar,2022,03,93618
396,Dunfermline,2022,03,180111.333333333
397,Dunoon,2022,03,24169
398,Duns,2022,03,37587
399,East Calder,2022,03,120898.666666667
400,Ellon,2022,03,51836
401,Erskine,2022,03,46435
402,Falkirk,2022,03,87945.6666666667
403,Fauldhouse,2022,03,68159
404,Forres,2022,03,100426.5
405,Fort William,2022,03,39776.5
406,Fraserburgh,2022,03,256643
407,Galashiels,2022,03,50277
408,Guardbridge,2022,03,69346
409,Hamilton,2022,03,91434.6666666667
410,Hatton,2022,03,117564.5
411,Hawick,2022,03,74067
412,Helensburgh,2022,03,49619
413,Inverclyde,2022,03,44154.3333333333
414,Inverurie,2022,03,53745
415,Jedburgh,2022,03,11109
416,Kelso,2022,03,79364
417,Kinneil,2022,03,248525
418,Kirkcaldy,2022,03,254860.666666667
419,Kirkwall,2022,03,14609
420,Lanark,2022,03,103239
421,Langholm,2022,03,131332
422,Lerwick,2022,03,NA
423,Levenmouth,2022,03,89468.5
424,Linlithgow,2022,03,46876
425,Loch Ryan,2022,03,39678
426,Lockerbie,2022,03,45967
427,Lossiemouth,2022,03,26509
428,Meadowhead,2022,03,65357.75
429,Meadowhead - Kilmarnock HMP,2022,03,1757
430,Montrose,2022,03,37538
431,Neilston,2022,03,6972
432,New Cumnock,2022,03,23666
433,Newburgh,2022,03,107589
434,Newtown St Boswell,2022,03,7836
435,Nigg,2022,03,129973
436,Oban,2022,03,11642
437,Paisley,2022,03,53225.75
438,Peebles,2022,03,67412
439,Perth,2022,03,57533
440,Peterhead,2022,03,51374
441,Philipshill,2022,03,124628
442,Sanquhar,2022,03,47116
443,Seafield,2022,03,171114.75
444,Seafield - Cockenzie,2022,03,94457
445,Seafield - Craigmillar,2022,03,104701
446,Seafield - Restalrig,2022,03,274750
447,Shieldhall,2022,03,96144.75
448,Shieldhall - Pollockshields West,2022,03,21460
449,Springfield,2022,03,51982
450,Stevenston,2022,03,34080.3333333333
451,Stirling,2022,03,61090.3333333333
452,Stonehouse,2022,03,NA
453,Troqueer,2022,03,67531
454,Whitburn,2022,03,33318
455,Winchburgh,2022,03,308109
456,Allanfearn,2021,04,38834.5
457,Allers,2021,04,70511
458,Alloa,2021,04,45315
459,Annan,2021,04,24242
460,Armadale,2021,04,236472
461,Bathgate,2021,04,61048
462,Biggar,2021,04,20087
463,Blackburn,2021,04,2450
464,Blackridge,2021,04,43456
465,Blackwood,2021,04,25518
466,Bothwellbank,2021,04,52351
467,Bowhouse,2021,04,32051
468,Carbarns,2021,04,101195
469,Cupar,2021,04,1645
470,Dalbeattie,2021,04,NA
471,Dalmarnock,2021,04,21582
472,Dalmuir,2021,04,77830
473,Dalscone,2021,04,NA
474,Dunfermline,2021,04,3645
475,East Calder,2021,04,143903
476,Falkirk,2021,04,29710
477,Fauldhouse,2021,04,5878
478,Fort William,2021,04,0
479,Fraserburgh,2021,04,47938
480,Galashiels,2021,04,68542
481,Guardbridge,2021,04,2202
482,Hamilton,2021,04,41554
483,Hatton,2021,04,66560
484,Hawick,2021,04,63795
485,Helensburgh,2021,04,15342
486,Inverclyde,2021,04,21154
487,Ironmill Bay,2021,04,8982
488,Kincardine,2021,04,16876
489,Kirkcaldy,2021,04,46997
490,Kirkwall,2021,04,1785
491,Lanark,2021,04,NA
492,Lerwick,2021,04,3303
493,Levenmouth,2021,04,55695
494,Linlithgow,2021,04,7741.5
495,Lockerbie,2021,04,17992.5
496,Mauldslie,2021,04,12821
497,Meadowhead,2021,04,43537
498,Nairn,2021,04,NA
499,Newburgh,2021,04,3500
500,Newport & Tayport,2021,04,2522
501,Nigg,2021,04,36578.5
502,Peebles,2021,04,0
503,Peterhead,2021,04,6188
504,Philipshill,2021,04,147037
505,Seafield,2021,04,62618
506,Shieldhall,2021,04,53915.3333333333
507,Skellyton,2021,04,396220
508,Springfield,2021,04,8790
509,St Andrews,2021,04,19254
510,Stirling,2021,04,4115
511,Stornoway,2021,04,1592
512,Strathaven,2021,04,7078
513,Swinstie,2021,04,10794
514,Troqueer,2021,04,10945
515,Whitburn,2021,04,168999
516,Winchburgh,2021,04,1324
517,Allanfearn,2022,04,111312
518,Alloa,2022,04,38998
519,Ardoch,2022,04,46204.5
520,Armadale,2022,04,77723
521,Aviemore,2022,04,31349
522,Banff,2022,04,NA
523,Bathgate,2022,04,47297
524,Blackburn,2022,04,187180
525,Blackridge,2022,04,25290
526,Bonnybridge,2022,04,51952
527,Bowhouse,2022,04,81463
528,Buckie,2022,04,NA
529,Carbarns,2022,04,178952
530,Cumnock,2022,04,66512
531,Cupar,2022,04,47978
532,Daldowie,2022,04,103972.5
533,Dalmarnock,2022,04,NA
534,Dalmuir,2022,04,126428.5
535,Dunbar,2022,04,57978
536,Dunfermline,2022,04,178674
537,Dunoon,2022,04,14706
538,Duns,2022,04,4938
539,East Calder,2022,04,145567.5
540,Erskine,2022,04,62360
541,Falkirk,2022,04,54924.6666666667
542,Forfar,2022,04,88431
