Health Area,Site Name,Date,Population Band,Population,Result Description - N1 Gene,Reported Value - N1 Gene (gc/l),Days Since Sampled
Dumfries and Galloway,Troqueer,11/12/2020,10k - 100k,24294,Positive (DNQ),5246,433 days
Dumfries and Galloway,Troqueer,15/12/2020,10k - 100k,24294,Positive (DNQ),1667,429 days
Dumfries and Galloway,Troqueer,07/01/2021,10k - 100k,24294,Positive,27997,406 days
Dumfries and Galloway,Troqueer,13/01/2021,10k - 100k,24294,Positive,207889,400 days
Dumfries and Galloway,Troqueer,22/01/2021,10k - 100k,24294,Positive,34366,391 days
Dumfries and Galloway,Troqueer,29/01/2021,10k - 100k,24294,Positive,10945,384 days
Dumfries and Galloway,Troqueer,08/02/2021,10k - 100k,24294,Positive,25175,374 days
Dumfries and Galloway,Troqueer,22/02/2021,10k - 100k,24294,Positive (DNQ),2558,360 days
Dumfries and Galloway,Troqueer,02/03/2021,10k - 100k,24294,Positive (DNQ),3246,352 days
Dumfries and Galloway,Troqueer,04/03/2021,10k - 100k,24294,Positive (DNQ),5210,350 days
Dumfries and Galloway,Troqueer,08/03/2021,10k - 100k,24294,Positive (DNQ),3821,346 days
Dumfries and Galloway,Troqueer,10/03/2021,10k - 100k,24294,Positive (DNQ),3754,344 days
Dumfries and Galloway,Troqueer,15/03/2021,10k - 100k,24294,Weak Positive,658,339 days
Dumfries and Galloway,Troqueer,17/03/2021,10k - 100k,24294,Positive (DNQ),6489,337 days
Dumfries and Galloway,Troqueer,23/03/2021,10k - 100k,24294,Positive (DNQ),3758,331 days
Dumfries and Galloway,Troqueer,25/03/2021,10k - 100k,24294,Weak Positive,658,329 days
Dumfries and Galloway,Troqueer,29/03/2021,10k - 100k,24294,Negative,0,325 days
Dumfries and Galloway,Troqueer,31/03/2021,10k - 100k,24294,Positive (DNQ),4997,323 days
Dumfries and Galloway,Troqueer,06/04/2021,10k - 100k,24294,Negative,0,317 days
Dumfries and Galloway,Troqueer,08/04/2021,10k - 100k,24294,Negative,0,315 days
Dumfries and Galloway,Troqueer,12/04/2021,10k - 100k,24294,Negative,0,311 days
Dumfries and Galloway,Troqueer,14/04/2021,10k - 100k,24294,Negative,0,309 days
Dumfries and Galloway,Troqueer,26/04/2021,10k - 100k,24294,Negative,0,297 days
Dumfries and Galloway,Troqueer,07/05/2021,10k - 100k,24294,Negative,0,286 days
Dumfries and Galloway,Troqueer,10/05/2021,10k - 100k,24294,Weak Positive,658,283 days
Dumfries and Galloway,Troqueer,12/05/2021,10k - 100k,24294,Negative,0,281 days
Dumfries and Galloway,Troqueer,17/05/2021,10k - 100k,24294,Weak Positive,658,276 days
Dumfries and Galloway,Troqueer,19/05/2021,10k - 100k,24294,Negative,0,274 days
Dumfries and Galloway,Troqueer,27/05/2021,10k - 100k,24294,Negative,0,266 days
Dumfries and Galloway,Troqueer,02/06/2021,10k - 100k,24294,Weak Positive,658,260 days
Dumfries and Galloway,Troqueer,03/06/2021,10k - 100k,24294,Positive (DNQ),2497,259 days
Dumfries and Galloway,Troqueer,07/06/2021,10k - 100k,24294,Weak Positive,658,255 days
Dumfries and Galloway,Troqueer,10/06/2021,10k - 100k,24294,Positive (DNQ),3235,252 days
Dumfries and Galloway,Troqueer,14/06/2021,10k - 100k,24294,Positive (DNQ),3259,248 days
Dumfries and Galloway,Troqueer,15/06/2021,10k - 100k,24294,Positive (DNQ),1516,247 days
Dumfries and Galloway,Troqueer,18/06/2021,10k - 100k,24294,Positive,42902,244 days
Dumfries and Galloway,Troqueer,22/06/2021,10k - 100k,24294,Positive,25167,240 days
Dumfries and Galloway,Troqueer,24/06/2021,10k - 100k,24294,Positive,19555,238 days
Dumfries and Galloway,Troqueer,01/07/2021,10k - 100k,24294,Positive,63444,231 days
Dumfries and Galloway,Troqueer,05/07/2021,10k - 100k,24294,Positive,47531,227 days
Dumfries and Galloway,Troqueer,07/07/2021,10k - 100k,24294,Positive,52715,225 days
Dumfries and Galloway,Troqueer,13/07/2021,10k - 100k,24294,Positive,25732,219 days
Dumfries and Galloway,Troqueer,19/07/2021,10k - 100k,24294,Positive,41926,213 days
Dumfries and Galloway,Troqueer,03/08/2021,10k - 100k,24294,Positive,36718,198 days
Dumfries and Galloway,Troqueer,05/08/2021,10k - 100k,24294,Positive,22144,196 days
Dumfries and Galloway,Troqueer,10/08/2021,10k - 100k,24294,Positive,15958,191 days
Dumfries and Galloway,Troqueer,11/08/2021,10k - 100k,24294,Positive,107305,190 days
Dumfries and Galloway,Troqueer,19/08/2021,10k - 100k,24294,Positive,350389,182 days
Dumfries and Galloway,Troqueer,24/08/2021,10k - 100k,24294,Positive,176296,177 days
Dumfries and Galloway,Troqueer,26/08/2021,10k - 100k,24294,Positive,119966,175 days
Dumfries and Galloway,Troqueer,01/09/2021,10k - 100k,24294,Positive,316468,169 days
Dumfries and Galloway,Troqueer,02/09/2021,10k - 100k,24294,Positive,147117,168 days
Dumfries and Galloway,Troqueer,07/09/2021,10k - 100k,24294,Positive,393696,163 days
Dumfries and Galloway,Troqueer,13/09/2021,10k - 100k,24294,Positive,421159,157 days
Dumfries and Galloway,Troqueer,14/09/2021,10k - 100k,24294,Positive,175686,156 days
Dumfries and Galloway,Troqueer,20/09/2021,10k - 100k,24294,Positive,66630,150 days
Dumfries and Galloway,Troqueer,21/09/2021,10k - 100k,24294,Positive,62622,149 days
Dumfries and Galloway,Troqueer,27/09/2021,10k - 100k,24294,Positive,204591,143 days
Dumfries and Galloway,Troqueer,06/10/2021,10k - 100k,24294,Positive,136638,134 days
Dumfries and Galloway,Troqueer,07/10/2021,10k - 100k,24294,Positive,128896,133 days
Dumfries and Galloway,Troqueer,13/10/2021,10k - 100k,24294,Positive,104610,127 days
Dumfries and Galloway,Troqueer,18/10/2021,10k - 100k,24294,Positive,93684,122 days
Dumfries and Galloway,Troqueer,20/10/2021,10k - 100k,24294,Positive,224633,120 days
Dumfries and Galloway,Troqueer,25/10/2021,10k - 100k,24294,Positive,224804,115 days
Dumfries and Galloway,Troqueer,28/10/2021,10k - 100k,24294,Positive,154503,112 days
Dumfries and Galloway,Troqueer,01/11/2021,10k - 100k,24294,Positive,214677,108 days
Dumfries and Galloway,Troqueer,08/11/2021,10k - 100k,24294,Positive,128778,101 days
Dumfries and Galloway,Troqueer,10/11/2021,10k - 100k,24294,Positive,112318,99 days
Dumfries and Galloway,Troqueer,15/11/2021,10k - 100k,24294,Positive,167516,94 days
Dumfries and Galloway,Troqueer,17/11/2021,10k - 100k,24294,Positive,45360,92 days
Dumfries and Galloway,Troqueer,22/11/2021,10k - 100k,24294,Positive,203617,87 days
Dumfries and Galloway,Troqueer,24/11/2021,10k - 100k,24294,Positive,117922,85 days
Dumfries and Galloway,Troqueer,30/11/2021,10k - 100k,24294,Positive,118241,79 days
Dumfries and Galloway,Troqueer,07/12/2021,10k - 100k,24294,Positive,26227,72 days
Dumfries and Galloway,Troqueer,10/12/2021,10k - 100k,24294,Positive,69492,69 days
Dumfries and Galloway,Troqueer,17/12/2021,10k - 100k,24294,Positive,256382,62 days
Dumfries and Galloway,Troqueer,04/01/2022,10k - 100k,24294,Positive,168265,44 days
Dumfries and Galloway,Troqueer,06/01/2022,10k - 100k,24294,Positive,102253,42 days
Dumfries and Galloway,Troqueer,10/01/2022,10k - 100k,24294,Positive,190660,38 days
Dumfries and Galloway,Troqueer,14/01/2022,10k - 100k,24294,Positive,137099,34 days
Dumfries and Galloway,Troqueer,18/01/2022,10k - 100k,24294,Positive,100322,30 days
Dumfries and Galloway,Troqueer,20/01/2022,10k - 100k,24294,Positive,34741,28 days
Dumfries and Galloway,Troqueer,28/01/2022,10k - 100k,24294,Positive,127405,20 days
Dumfries and Galloway,Troqueer,02/02/2022,10k - 100k,24294,Positive,102556,15 days
Dumfries and Galloway,Troqueer,04/02/2022,10k - 100k,24294,Positive,145942,13 days
Dumfries and Galloway,Troqueer,07/02/2022,10k - 100k,24294,Positive,33116,10 days
Dumfries and Galloway,Troqueer,09/02/2022,10k - 100k,24294,Positive,110973,8 days
Fife,Bowhouse,29/01/2021,4k - 10k,5209,Positive,32052,384 days
Fife,Bowhouse,04/02/2021,4k - 10k,5209,Positive,10342,378 days
Fife,Bowhouse,11/02/2021,4k - 10k,5209,Positive,16321,371 days
Fife,Bowhouse,12/02/2021,4k - 10k,5209,Positive (DNQ),4175,370 days
Fife,Bowhouse,16/02/2021,4k - 10k,5209,Weak Positive,658,366 days
Fife,Bowhouse,17/02/2021,4k - 10k,5209,Weak Positive,658,365 days
Fife,Bowhouse,23/02/2021,4k - 10k,5209,Weak Positive,658,359 days
Fife,Bowhouse,25/02/2021,4k - 10k,5209,Negative,0,357 days
Fife,Bowhouse,01/03/2021,4k - 10k,5209,Weak Positive,658,353 days
Fife,Bowhouse,02/03/2021,4k - 10k,5209,Positive (DNQ),4401,352 days
Fife,Bowhouse,09/03/2021,4k - 10k,5209,Positive (DNQ),5492,345 days
Fife,Bowhouse,10/03/2021,4k - 10k,5209,Positive (DNQ),2314,344 days
Fife,Bowhouse,17/03/2021,4k - 10k,5209,Positive (DNQ),1327,337 days
Fife,Bowhouse,18/03/2021,4k - 10k,5209,Weak Positive,658,336 days
Fife,Bowhouse,22/03/2021,4k - 10k,5209,Weak Positive,658,332 days
Fife,Bowhouse,23/03/2021,4k - 10k,5209,Weak Positive,658,331 days
Fife,Bowhouse,30/03/2021,4k - 10k,5209,Weak Positive,658,324 days
Fife,Bowhouse,01/04/2021,4k - 10k,5209,Weak Positive,658,322 days
Fife,Bowhouse,08/04/2021,4k - 10k,5209,Negative,0,315 days
Fife,Bowhouse,09/04/2021,4k - 10k,5209,Negative,0,314 days
Fife,Bowhouse,28/04/2021,4k - 10k,5209,Weak Positive,658,295 days
Fife,Bowhouse,30/04/2021,4k - 10k,5209,Negative,0,293 days
Fife,Bowhouse,04/05/2021,4k - 10k,5209,Negative,0,289 days
Fife,Bowhouse,06/05/2021,4k - 10k,5209,Negative,0,287 days
Fife,Bowhouse,19/05/2021,4k - 10k,5209,Weak Positive,658,274 days
Fife,Bowhouse,21/05/2021,4k - 10k,5209,Negative,0,272 days
Fife,Bowhouse,25/05/2021,4k - 10k,5209,Weak Positive,658,268 days
Fife,Bowhouse,27/05/2021,4k - 10k,5209,Weak Positive,658,266 days
Fife,Bowhouse,31/05/2021,4k - 10k,5209,Positive (DNQ),1549,262 days
Fife,Bowhouse,03/06/2021,4k - 10k,5209,Weak Positive,658,259 days
Fife,Bowhouse,07/06/2021,4k - 10k,5209,Positive (DNQ),8975,255 days
Fife,Bowhouse,10/06/2021,4k - 10k,5209,Positive (DNQ),1951,252 days
Fife,Bowhouse,14/06/2021,4k - 10k,5209,Positive,29099,248 days
Fife,Bowhouse,17/06/2021,4k - 10k,5209,Positive (DNQ),10378,245 days
Fife,Bowhouse,22/06/2021,4k - 10k,5209,Positive,84589,240 days
Fife,Bowhouse,24/06/2021,4k - 10k,5209,Positive,34819,238 days
Fife,Bowhouse,28/06/2021,4k - 10k,5209,Positive,23867,234 days
Fife,Bowhouse,30/06/2021,4k - 10k,5209,Positive,39580,232 days
Fife,Bowhouse,05/07/2021,4k - 10k,5209,Positive,20178,227 days
Fife,Bowhouse,09/07/2021,4k - 10k,5209,Positive,20672,223 days
Fife,Bowhouse,13/07/2021,4k - 10k,5209,Positive,56598,219 days
Fife,Bowhouse,16/07/2021,4k - 10k,5209,Positive,89756,216 days
Fife,Bowhouse,27/08/2021,4k - 10k,5209,Positive,219176,174 days
Fife,Bowhouse,30/08/2021,4k - 10k,5209,Positive,826366,171 days
Fife,Bowhouse,01/09/2021,4k - 10k,5209,Positive,111090,169 days
Fife,Bowhouse,07/09/2021,4k - 10k,5209,Positive,409775,163 days
Fife,Bowhouse,13/09/2021,4k - 10k,5209,Positive,314952,157 days
Fife,Bowhouse,20/09/2021,4k - 10k,5209,Positive,61145,150 days
Fife,Bowhouse,22/09/2021,4k - 10k,5209,Positive,48357,148 days
Fife,Bowhouse,27/09/2021,4k - 10k,5209,Positive,133037,143 days
Fife,Bowhouse,04/10/2021,4k - 10k,5209,Positive,190534,136 days
Fife,Bowhouse,19/10/2021,4k - 10k,5209,Positive,115135,121 days
Fife,Bowhouse,21/10/2021,4k - 10k,5209,Positive,78511,119 days
Fife,Bowhouse,27/10/2021,4k - 10k,5209,Positive,164499,113 days
Fife,Bowhouse,29/10/2021,4k - 10k,5209,Positive,216360,111 days
Fife,Bowhouse,03/11/2021,4k - 10k,5209,Positive,38251,106 days
Fife,Bowhouse,05/11/2021,4k - 10k,5209,Positive,317056,104 days
Fife,Bowhouse,10/11/2021,4k - 10k,5209,Positive,190656,99 days
Fife,Bowhouse,12/11/2021,4k - 10k,5209,Positive,116260,97 days
Fife,Bowhouse,17/11/2021,4k - 10k,5209,Positive,74342,92 days
Fife,Bowhouse,24/11/2021,4k - 10k,5209,Positive,76948,85 days
Fife,Bowhouse,01/12/2021,4k - 10k,5209,Positive,91000,78 days
Fife,Bowhouse,08/12/2021,4k - 10k,5209,Positive,65007,71 days
Fife,Bowhouse,10/12/2021,4k - 10k,5209,Positive,13936,69 days
Fife,Bowhouse,17/12/2021,4k - 10k,5209,Positive,106796,62 days
Fife,Bowhouse,04/01/2022,4k - 10k,5209,Positive,134210,44 days
Fife,Bowhouse,12/01/2022,4k - 10k,5209,Positive,103002,36 days
Fife,Bowhouse,14/01/2022,4k - 10k,5209,Positive,118806,34 days
Fife,Bowhouse,21/01/2022,4k - 10k,5209,Positive,53063,27 days
Fife,Bowhouse,27/01/2022,4k - 10k,5209,Positive,81464,21 days
Fife,Bowhouse,07/02/2022,4k - 10k,5209,Positive,144844,10 days
Fife,Cupar,29/01/2021,4k - 10k,9078,Positive (DNQ),1646,384 days
Fife,Cupar,04/02/2021,4k - 10k,9078,Positive (DNQ),3919,378 days
Fife,Cupar,05/02/2021,4k - 10k,9078,Positive (DNQ),7785,377 days
Fife,Cupar,11/02/2021,4k - 10k,9078,Weak Positive,658,371 days
Fife,Cupar,12/02/2021,4k - 10k,9078,Weak Positive,658,370 days
Fife,Cupar,16/02/2021,4k - 10k,9078,Negative,0,366 days
Fife,Cupar,17/02/2021,4k - 10k,9078,Weak Positive,658,365 days
Fife,Cupar,23/02/2021,4k - 10k,9078,Positive,20524,359 days
Fife,Cupar,25/02/2021,4k - 10k,9078,Weak Positive,658,357 days
Fife,Cupar,01/03/2021,4k - 10k,9078,Weak Positive,658,353 days
Fife,Cupar,02/03/2021,4k - 10k,9078,Positive,15682,352 days
Fife,Cupar,09/03/2021,4k - 10k,9078,Positive,14728,345 days
Fife,Cupar,10/03/2021,4k - 10k,9078,Weak Positive,658,344 days
Fife,Cupar,17/03/2021,4k - 10k,9078,Positive,34726,337 days
Fife,Cupar,18/03/2021,4k - 10k,9078,Positive,27712,336 days
Fife,Cupar,22/03/2021,4k - 10k,9078,Weak Positive,658,332 days
Fife,Cupar,23/03/2021,4k - 10k,9078,Weak Positive,658,331 days
Fife,Cupar,30/03/2021,4k - 10k,9078,Weak Positive,658,324 days
Fife,Cupar,01/04/2021,4k - 10k,9078,Weak Positive,658,322 days
Fife,Cupar,08/04/2021,4k - 10k,9078,Weak Positive,658,315 days
Fife,Cupar,09/04/2021,4k - 10k,9078,Weak Positive,658,314 days
Fife,Cupar,14/04/2021,4k - 10k,9078,Positive (DNQ),3962,309 days
Fife,Cupar,28/04/2021,4k - 10k,9078,Negative,0,295 days
Fife,Cupar,30/04/2021,4k - 10k,9078,Negative,0,293 days
Fife,Cupar,04/05/2021,4k - 10k,9078,Negative,0,289 days
Fife,Cupar,06/05/2021,4k - 10k,9078,Negative,0,287 days
Fife,Cupar,10/05/2021,4k - 10k,9078,Positive (DNQ),7124,283 days
Fife,Cupar,14/05/2021,4k - 10k,9078,Negative,0,279 days
Fife,Cupar,19/05/2021,4k - 10k,9078,Weak Positive,658,274 days
Fife,Cupar,21/05/2021,4k - 10k,9078,Negative,0,272 days
Fife,Cupar,25/05/2021,4k - 10k,9078,Negative,0,268 days
Fife,Cupar,27/05/2021,4k - 10k,9078,Negative,0,266 days
Fife,Cupar,31/05/2021,4k - 10k,9078,Positive (DNQ),3831,262 days
Fife,Cupar,03/06/2021,4k - 10k,9078,Negative,0,259 days
Fife,Cupar,07/06/2021,4k - 10k,9078,Weak Positive,658,255 days
Fife,Cupar,10/06/2021,4k - 10k,9078,Weak Positive,658,252 days
Fife,Cupar,14/06/2021,4k - 10k,9078,Positive,23564,248 days
Fife,Cupar,17/06/2021,4k - 10k,9078,Positive (DNQ),4786,245 days
Fife,Cupar,22/06/2021,4k - 10k,9078,Positive,103428,240 days
Fife,Cupar,24/06/2021,4k - 10k,9078,Positive,15042,238 days
Fife,Cupar,28/06/2021,4k - 10k,9078,Positive,118531,234 days
Fife,Cupar,13/07/2021,4k - 10k,9078,Positive,39699,219 days
Fife,Cupar,16/07/2021,4k - 10k,9078,Positive,75836,216 days
Fife,Cupar,19/07/2021,4k - 10k,9078,Positive,12456,213 days
Fife,Cupar,26/07/2021,4k - 10k,9078,Positive,34197,206 days
Fife,Cupar,12/08/2021,4k - 10k,9078,Positive,82023,189 days
Fife,Cupar,19/08/2021,4k - 10k,9078,Positive,229310,182 days
Fife,Cupar,30/08/2021,4k - 10k,9078,Positive,144725,171 days
Fife,Cupar,01/09/2021,4k - 10k,9078,Positive,96863,169 days
Fife,Cupar,07/09/2021,4k - 10k,9078,Positive,285446,163 days
Fife,Cupar,15/09/2021,4k - 10k,9078,Positive,130009,155 days
Fife,Cupar,22/09/2021,4k - 10k,9078,Positive,31082,148 days
Fife,Cupar,27/09/2021,4k - 10k,9078,Positive,104550,143 days
Fife,Cupar,29/09/2021,4k - 10k,9078,Positive,86126,141 days
Fife,Cupar,06/10/2021,4k - 10k,9078,Positive,66648,134 days
Fife,Cupar,19/10/2021,4k - 10k,9078,Positive,58624,121 days
Fife,Cupar,21/10/2021,4k - 10k,9078,Positive,74426,119 days
Fife,Cupar,27/10/2021,4k - 10k,9078,Positive,166744,113 days
Fife,Cupar,29/10/2021,4k - 10k,9078,Positive,40606,111 days
Fife,Cupar,03/11/2021,4k - 10k,9078,Positive,48641,106 days
Fife,Cupar,05/11/2021,4k - 10k,9078,Positive,83312,104 days
Fife,Cupar,10/11/2021,4k - 10k,9078,Positive,60111,99 days
Fife,Cupar,12/11/2021,4k - 10k,9078,Positive,125214,97 days
Fife,Cupar,17/11/2021,4k - 10k,9078,Positive,107175,92 days
Fife,Cupar,19/11/2021,4k - 10k,9078,Positive,189139,90 days
Fife,Cupar,24/11/2021,4k - 10k,9078,Positive,125869,85 days
Fife,Cupar,01/12/2021,4k - 10k,9078,Positive,131623,78 days
Fife,Cupar,10/12/2021,4k - 10k,9078,Positive,32120,69 days
Fife,Cupar,13/12/2021,4k - 10k,9078,Positive,92013,66 days
Fife,Cupar,17/12/2021,4k - 10k,9078,Positive,115020,62 days
Fife,Cupar,29/12/2021,4k - 10k,9078,Positive,287830,50 days
Fife,Cupar,04/01/2022,4k - 10k,9078,Positive,210152,44 days
Fife,Cupar,18/01/2022,4k - 10k,9078,Positive,97391,30 days
Fife,Cupar,27/01/2022,4k - 10k,9078,Positive,47978,21 days
Fife,Cupar,07/02/2022,4k - 10k,9078,Positive,161536,10 days
Fife,Cupar,09/02/2022,4k - 10k,9078,Positive,166828,8 days
Fife,Dunfermline,28/05/2020,10k - 100k,69986,Negative,0,630 days
Fife,Dunfermline,03/06/2020,10k - 100k,69986,Negative,0,624 days
Fife,Dunfermline,08/06/2020,10k - 100k,69986,Negative,0,619 days
Fife,Dunfermline,27/07/2020,10k - 100k,69986,Negative,0,570 days
Fife,Dunfermline,05/08/2020,10k - 100k,69986,Weak Positive,658,561 days
Fife,Dunfermline,10/08/2020,10k - 100k,69986,Positive,66048,556 days
Fife,Dunfermline,21/08/2020,10k - 100k,69986,Positive (DNQ),2718,545 days
Fife,Dunfermline,24/08/2020,10k - 100k,69986,Positive (DNQ),2987,542 days
Fife,Dunfermline,25/08/2020,10k - 100k,69986,Positive (DNQ),1725,541 days
Fife,Dunfermline,26/08/2020,10k - 100k,69986,Negative,0,540 days
Fife,Dunfermline,28/08/2020,10k - 100k,69986,Negative,0,538 days
Fife,Dunfermline,31/08/2020,10k - 100k,69986,Negative,0,535 days
Fife,Dunfermline,02/09/2020,10k - 100k,69986,Weak Positive,658,533 days
Fife,Dunfermline,04/09/2020,10k - 100k,69986,Negative,0,531 days
Fife,Dunfermline,06/09/2020,10k - 100k,69986,Weak Positive,658,529 days
Fife,Dunfermline,07/09/2020,10k - 100k,69986,Negative,0,528 days
Fife,Dunfermline,08/09/2020,10k - 100k,69986,Positive (DNQ),1454,527 days
Fife,Dunfermline,14/09/2020,10k - 100k,69986,Positive (DNQ),2955,521 days
Fife,Dunfermline,17/09/2020,10k - 100k,69986,Positive (DNQ),8497,518 days
Fife,Dunfermline,21/09/2020,10k - 100k,69986,Positive,13036,514 days
Fife,Dunfermline,02/10/2020,10k - 100k,69986,Positive (DNQ),6478,503 days
Fife,Dunfermline,06/10/2020,10k - 100k,69986,Positive,12208,499 days
Fife,Dunfermline,13/10/2020,10k - 100k,69986,Positive,25707,492 days
Fife,Dunfermline,19/10/2020,10k - 100k,69986,Positive,15083,486 days
Fife,Dunfermline,30/10/2020,10k - 100k,69986,Positive (DNQ),9640,475 days
Fife,Dunfermline,02/11/2020,10k - 100k,69986,Positive,28348,472 days
Fife,Dunfermline,12/11/2020,10k - 100k,69986,Positive,53159,462 days
Fife,Dunfermline,16/11/2020,10k - 100k,69986,Positive,12679,458 days
Fife,Dunfermline,30/11/2020,10k - 100k,69986,Positive,62342,444 days
Fife,Dunfermline,10/12/2020,10k - 100k,69986,Positive,24545,434 days
Fife,Dunfermline,16/12/2020,10k - 100k,69986,Positive,44878,428 days
Fife,Dunfermline,05/01/2021,10k - 100k,69986,Positive,98810,408 days
Fife,Dunfermline,11/01/2021,10k - 100k,69986,Positive,64637,402 days
Fife,Dunfermline,22/01/2021,10k - 100k,69986,Positive,18759,391 days
Fife,Dunfermline,27/01/2021,10k - 100k,69986,Positive (DNQ),3646,386 days
Fife,Dunfermline,03/02/2021,10k - 100k,69986,Positive,18697,379 days
Fife,Dunfermline,10/02/2021,10k - 100k,69986,Positive,13022,372 days
Fife,Dunfermline,18/02/2021,10k - 100k,69986,Positive,37042,364 days
Fife,Dunfermline,19/02/2021,10k - 100k,69986,Positive,19226,363 days
Fife,Dunfermline,24/02/2021,10k - 100k,69986,Positive,18588,358 days
Fife,Dunfermline,25/02/2021,10k - 100k,69986,Positive,23913,357 days
Fife,Dunfermline,02/03/2021,10k - 100k,69986,Positive,33032,352 days
Fife,Dunfermline,03/03/2021,10k - 100k,69986,Positive,37351,351 days
Fife,Dunfermline,09/03/2021,10k - 100k,69986,Positive,12100,345 days
Fife,Dunfermline,10/03/2021,10k - 100k,69986,Positive,33372,344 days
Fife,Dunfermline,17/03/2021,10k - 100k,69986,Positive (DNQ),6312,337 days
Fife,Dunfermline,19/03/2021,10k - 100k,69986,Positive,24815,335 days
Fife,Dunfermline,25/03/2021,10k - 100k,69986,Positive,28252,329 days
Fife,Dunfermline,26/03/2021,10k - 100k,69986,Positive (DNQ),3146,328 days
Fife,Dunfermline,31/03/2021,10k - 100k,69986,Positive (DNQ),2432,323 days
Fife,Dunfermline,01/04/2021,10k - 100k,69986,Positive,18539,322 days
Fife,Dunfermline,06/04/2021,10k - 100k,69986,Positive,13852,317 days
Fife,Dunfermline,09/04/2021,10k - 100k,69986,Positive,22420,314 days
Fife,Dunfermline,27/04/2021,10k - 100k,69986,Positive,12769,296 days
Fife,Dunfermline,30/04/2021,10k - 100k,69986,Positive,19934,293 days
Fife,Dunfermline,05/05/2021,10k - 100k,69986,Positive (DNQ),4317,288 days
Fife,Dunfermline,07/05/2021,10k - 100k,69986,Weak Positive,658,286 days
Fife,Dunfermline,10/05/2021,10k - 100k,69986,Positive,11993,283 days
Fife,Dunfermline,12/05/2021,10k - 100k,69986,Positive,18755,281 days
Fife,Dunfermline,17/05/2021,10k - 100k,69986,Positive (DNQ),4747,276 days
Fife,Dunfermline,20/05/2021,10k - 100k,69986,Positive (DNQ),6299,273 days
Fife,Dunfermline,25/05/2021,10k - 100k,69986,Positive,10432,268 days
Fife,Dunfermline,27/05/2021,10k - 100k,69986,Positive (DNQ),2541,266 days
Fife,Dunfermline,01/06/2021,10k - 100k,69986,Positive (DNQ),4695,261 days
Fife,Dunfermline,04/06/2021,10k - 100k,69986,Positive (DNQ),3703,258 days
Fife,Dunfermline,08/06/2021,10k - 100k,69986,Positive,12465,254 days
Fife,Dunfermline,11/06/2021,10k - 100k,69986,Positive,21812,251 days
Fife,Dunfermline,15/06/2021,10k - 100k,69986,Positive,27485,247 days
Fife,Dunfermline,18/06/2021,10k - 100k,69986,Positive,22661,244 days
Fife,Dunfermline,23/06/2021,10k - 100k,69986,Positive,44642,239 days
Fife,Dunfermline,25/06/2021,10k - 100k,69986,Positive,132325,237 days
Fife,Dunfermline,29/06/2021,10k - 100k,69986,Positive,225216,233 days
Fife,Dunfermline,01/07/2021,10k - 100k,69986,Positive,353655,231 days
Fife,Dunfermline,05/07/2021,10k - 100k,69986,Positive,213324,227 days
Fife,Dunfermline,13/07/2021,10k - 100k,69986,Positive,652417,219 days
Fife,Dunfermline,16/07/2021,10k - 100k,69986,Positive,241414,216 days
Fife,Dunfermline,20/07/2021,10k - 100k,69986,Positive,156653,212 days
Fife,Dunfermline,23/07/2021,10k - 100k,69986,Positive,326351,209 days
Fife,Dunfermline,27/07/2021,10k - 100k,69986,Positive,110024,205 days
Fife,Dunfermline,30/07/2021,10k - 100k,69986,Positive,200177,202 days
Fife,Dunfermline,02/08/2021,10k - 100k,69986,Positive,189833,199 days
Fife,Dunfermline,04/08/2021,10k - 100k,69986,Positive,138756,197 days
Fife,Dunfermline,10/08/2021,10k - 100k,69986,Positive,64315,191 days
Fife,Dunfermline,12/08/2021,10k - 100k,69986,Positive,43192,189 days
Fife,Dunfermline,19/08/2021,10k - 100k,69986,Positive,187852,182 days
Fife,Dunfermline,26/08/2021,10k - 100k,69986,Positive,273204,175 days
Fife,Dunfermline,27/08/2021,10k - 100k,69986,Positive,494185,174 days
Fife,Dunfermline,31/08/2021,10k - 100k,69986,Positive,294802,170 days
Fife,Dunfermline,02/09/2021,10k - 100k,69986,Positive,660343,168 days
Fife,Dunfermline,07/09/2021,10k - 100k,69986,Positive,3129546,163 days
Fife,Dunfermline,09/09/2021,10k - 100k,69986,Positive,752500,161 days
Fife,Dunfermline,15/09/2021,10k - 100k,69986,Positive,349239,155 days
Fife,Dunfermline,17/09/2021,10k - 100k,69986,Positive,592556,153 days
Fife,Dunfermline,21/09/2021,10k - 100k,69986,Positive,220542,149 days
Fife,Dunfermline,24/09/2021,10k - 100k,69986,Positive,141092,146 days
Fife,Dunfermline,28/09/2021,10k - 100k,69986,Positive,101932,142 days
Fife,Dunfermline,01/10/2021,10k - 100k,69986,Positive,92241,139 days
Fife,Dunfermline,06/10/2021,10k - 100k,69986,Positive,75472,134 days
Fife,Dunfermline,08/10/2021,10k - 100k,69986,Positive,116460,132 days
Fife,Dunfermline,11/10/2021,10k - 100k,69986,Positive,35909,129 days
Fife,Dunfermline,13/10/2021,10k - 100k,69986,Positive,146772,127 days
Fife,Dunfermline,14/10/2021,10k - 100k,69986,Positive,266025,126 days
Fife,Dunfermline,19/10/2021,10k - 100k,69986,Positive,83921,121 days
Fife,Dunfermline,22/10/2021,10k - 100k,69986,Positive,134249,118 days
Fife,Dunfermline,25/10/2021,10k - 100k,69986,Positive,140343,115 days
Fife,Dunfermline,29/10/2021,10k - 100k,69986,Positive,84545,111 days
