"","Site","Year","Month","Week","x"
"129","New Cumnock",2022,"01","01",564.986931367854
"130","Newbridge",2022,"01","01",71.0397639443764
"131","Newburgh",2022,"01","01",241.719246407761
"132","Newport & Tayport",2022,"01","01",93.811822977366
"133","Newtown St Boswell",2022,"01","01",109.040142951658
"134","Nigg",2022,"01","01",145.336060451536
"135","Paisley",2022,"01","01",102.854347968443
"136","Paisley - Blackhall",2022,"01","01",54.0392073874561
"137","Paisley - Brediland",2022,"01","01",0
"138","Peebles",2022,"01","01",52.0673449176784
"139","Penicuik",2022,"01","01",152.587815912716
"140","Perth",2022,"01","01",187.056889235559
"141","Philipshill",2022,"01","01",49.2723635346563
"142","Seafield",2022,"01","01",131.032002179725
"143","Seafield - Cockenzie",2022,"01","01",300.430973326901
"144","Seafield - Craigmillar",2022,"01","01",NA
"145","Seafield - Muirhouse",2022,"01","01",NA
"146","Seafield - Restalrig",2022,"01","01",NA
"147","Selkirk",2022,"01","01",40.5235992379035
"148","Shieldhall",2022,"01","01",40.7748906526512
"149","Shieldhall - Barrhead",2022,"01","01",105.819024268622
"150","Shieldhall - Gorbals",2022,"01","01",60.1505617463913
"151","Shieldhall - Pollockshields West",2022,"01","01",43.3738711840419
"152","Shotts",2022,"01","01",NA
"153","Skellyton",2022,"01","01",98.2465909731299
"154","Springfield",2022,"01","01",103.502021067693
"155","St Andrews",2022,"01","01",73.0756992613265
"156","Stevenston",2022,"01","01",104.339537969121
"157","Stevenston - Stevenston East",2022,"01","01",477.534834757916
"158","Stevesnton - Stevenston West",2022,"01","01",NA
"159","Stirling",2022,"01","01",20.0133939035014
"160","Stirling - University",2022,"01","01",349.071113032821
"161","Stonehouse",2022,"01","01",59.3029529796238
"162","Strathaven",2022,"01","01",102.659964383772
"163","Swinstie",2022,"01","01",NA
"164","Thurso",2022,"01","01",20.8023581154208
"165","Tillicoultry",2022,"01","01",24.5139320479531
"166","Troqueer",2022,"01","01",98.7807667870266
"167","Turriff",2022,"01","01",14.7862586765691
"168","Whitburn",2022,"01","01",46.191162556624
"169","Winchburgh",2022,"01","01",177.857804562477
"170","Allanfearn",2021,"01","02",46.2771466882054
"171","Allers",2021,"01","02",81.2784840944773
"172","Alloa",2021,"01","02",171.981371505426
"173","Annan",2021,"01","02",163.420229903016
"174","Armadale",2021,"01","02",13.4292482677025
"175","Bathgate",2021,"01","02",19.8786808626825
"176","Biggar",2021,"01","02",0
"177","Blackburn",2021,"01","02",20.8526919906599
"178","Blackridge",2021,"01","02",3.44236157341336
"179","Blackwood",2021,"01","02",376.179454854494
"180","Bothwellbank",2021,"01","02",70.9886271149835
"181","Carbarns",2021,"01","02",57.1962311114129
"182","Dalbeattie",2021,"01","02",2.12860781622315
"183","Daldowie",2021,"01","02",1034.92114455165
"184","Dalmarnock",2021,"01","02",NA
"185","Dalmuir",2021,"01","02",95.2741845264039
"186","Dalscone",2021,"01","02",44.8591588150866
"187","Dunfermline",2021,"01","02",28.4635908812975
"188","Dunnswood",2021,"01","02",61.9484907833409
"189","East Calder",2021,"01","02",17.219403423995
"190","Falkirk",2021,"01","02",96.0349596203767
"191","Fauldhouse",2021,"01","02",35.2815038640977
"192","Fort William",2021,"01","02",416.175213405661
"193","Galashiels",2021,"01","02",21.5665391585888
"194","Hamilton",2021,"01","02",51.8858449172208
"195","Harthill",2021,"01","02",23.0518457772649
"196","Hatton",2021,"01","02",43.71820370508
"197","Hawick",2021,"01","02",106.469022274968
"198","Helensburgh",2021,"01","02",24.6322505200631
"199","Inverclyde",2021,"01","02",42.6082886529488
"200","Kirkwall",2021,"01","02",0.887167553289132
"201","Lanark",2021,"01","02",65.2743876026088
"202","Lerwick",2021,"01","02",5.5028675106367
"203","Lesmahagow",2021,"01","02",37.2401080097385
"204","Levenmouth",2021,"01","02",37.0032962283294
"205","Linlithgow",2021,"01","02",17.44605655847
"206","Lockerbie",2021,"01","02",7.37208174462452
"207","Mauldslie",2021,"01","02",239.13215440335
"208","Maybole",2021,"01","02",10.0765784761945
"209","Meadowhead",2021,"01","02",59.7873628007051
"210","Nairn",2021,"01","02",14.3160124493662
"211","New Cumnock",2021,"01","02",12.1542039971987
"212","Nigg",2021,"01","02",42.9488846205842
"213","Peebles",2021,"01","02",26.5971103064245
"214","Philipshill",2021,"01","02",53.5845098093997
"215","Seafield",2021,"01","02",53.4060387457027
"216","Shieldhall",2021,"01","02",95.2704580806337
"217","Shotts",2021,"01","02",91.5646032370834
"218","Skellyton",2021,"01","02",219.761715135062
"219","Stirling",2021,"01","02",27.6674053981467
"220","Stonehouse",2021,"01","02",8.0838327982422
"221","Stornoway",2021,"01","02",NA
