,X2020.05.Read1,X2020.06.Read1,X2020.06.Read2,X2020.06.Read3,X2020.06.Read4,X2020.06.Read5,X2020.06.Read6,X2020.06.Read7,X2020.06.Read8,X2020.06.Read9,X2020.06.Read10,X2020.06.Read11,X2020.06.Read12,X2020.07.Read1,X2020.07.Read2,X2020.07.Read3,X2020.07.Read4,X2020.07.Read5,X2020.07.Read6,X2020.07.Read7,X2020.07.Read8,X2020.07.Read9,X2020.07.Read10,X2020.07.Read11,X2020.08.Read1,X2020.08.Read2,X2020.08.Read3,X2020.08.Read4,X2020.08.Read5,X2020.08.Read6,X2020.08.Read7,X2020.08.Read8,X2020.08.Read9,X2020.08.Read10,X2020.08.Read11,X2020.08.Read12,X2020.08.Read13,X2020.08.Read14,X2020.09.Read1,X2020.09.Read2,X2020.09.Read3,X2020.09.Read4,X2020.09.Read5,X2020.09.Read6,X2020.09.Read7,X2020.09.Read8,X2020.09.Read9,X2020.09.Read10,X2020.09.Read11,X2020.09.Read12,X2020.09.Read13,X2020.09.Read14,X2020.09.Read15,X2020.09.Read16,X2020.09.Read17,X2020.09.Read18,X2020.10.Read1,X2020.10.Read2,X2020.10.Read3,X2020.10.Read4,X2020.10.Read5,X2020.10.Read6,X2020.10.Read7,X2020.10.Read8,X2020.10.Read9,X2020.10.Read10,X2020.10.Read11,X2020.10.Read12,X2020.10.Read13,X2020.10.Read14,X2020.10.Read15,X2020.10.Read16,X2020.11.Read1,X2020.11.Read2,X2020.11.Read3,X2020.11.Read4,X2020.11.Read5,X2020.11.Read6,X2020.11.Read7,X2020.11.Read8,X2020.11.Read9,X2020.11.Read10,X2020.11.Read11,X2020.11.Read12,X2020.11.Read13,X2020.11.Read14,X2020.11.Read15,X2020.11.Read16,X2020.12.Read1,X2020.12.Read2,X2020.12.Read3,X2020.12.Read4,X2020.12.Read5,X2020.12.Read6,X2020.12.Read7,X2020.12.Read8,X2020.12.Read9,X2020.12.Read10,X2020.12.Read11,X2020.12.Read12,X2020.12.Read13,X2020.12.Read14,X2021.01.Read1,X2021.01.Read2,X2021.01.Read3,X2021.01.Read4,X2021.01.Read5,X2021.01.Read6,X2021.01.Read7,X2021.01.Read8,X2021.01.Read9,X2021.01.Read10,X2021.01.Read11,X2021.01.Read12,X2021.01.Read13,X2021.01.Read14,X2021.02.Read1,X2021.02.Read2,X2021.02.Read3,X2021.02.Read4,X2021.02.Read5,X2021.02.Read6,X2021.02.Read7,X2021.02.Read8,X2021.02.Read9,X2021.02.Read10,X2021.02.Read11,X2021.02.Read12,X2021.02.Read13,X2021.03.Read1,X2021.03.Read2,X2021.03.Read3,X2021.03.Read4,X2021.03.Read5,X2021.03.Read6,X2021.03.Read7,X2021.03.Read8,X2021.03.Read9,X2021.03.Read10,X2021.03.Read11,X2021.03.Read12,X2021.03.Read13,X2021.03.Read14,X2021.03.Read15,X2021.03.Read16,X2021.03.Read17,X2021.04.Read1,X2021.04.Read2,X2021.04.Read3,X2021.04.Read4,X2021.04.Read5,X2021.04.Read6,X2021.04.Read7,X2021.04.Read8,X2021.04.Read9,X2021.04.Read10,X2021.04.Read11,X2021.04.Read12,X2021.04.Read13,X2021.05.Read1,X2021.05.Read2,X2021.05.Read3,X2021.05.Read4,X2021.05.Read5,X2021.05.Read6,X2021.05.Read7,X2021.05.Read8,X2021.05.Read9,X2021.05.Read10,X2021.05.Read11,X2021.05.Read12,X2021.05.Read13,X2021.05.Read14,X2021.06.Read1,X2021.06.Read2,X2021.06.Read3,X2021.06.Read4,X2021.06.Read5,X2021.06.Read6,X2021.06.Read7,X2021.06.Read8,X2021.06.Read9,X2021.06.Read10,X2021.06.Read11,X2021.06.Read12,X2021.06.Read13,X2021.06.Read14,X2021.06.Read15,X2021.06.Read16,X2021.07.Read1,X2021.07.Read2,X2021.07.Read3,X2021.07.Read4,X2021.07.Read5,X2021.07.Read6,X2021.07.Read7,X2021.07.Read8,X2021.07.Read9,X2021.07.Read10,X2021.07.Read11,X2021.07.Read12,X2021.07.Read13,X2021.07.Read14,X2021.07.Read15,X2021.07.Read16,X2021.08.Read1,X2021.08.Read2,X2021.08.Read3,X2021.08.Read4,X2021.08.Read5,X2021.08.Read6,X2021.08.Read7,X2021.08.Read8,X2021.08.Read9,X2021.08.Read10,X2021.08.Read11,X2021.08.Read12,X2021.08.Read13,X2021.08.Read14,X2021.08.Read15,X2021.08.Read16,X2021.09.Read1,X2021.09.Read2,X2021.09.Read3,X2021.09.Read4,X2021.09.Read5,X2021.09.Read6,X2021.09.Read7,X2021.09.Read8,X2021.09.Read9,X2021.09.Read10,X2021.09.Read11,X2021.09.Read12,X2021.09.Read13,X2021.09.Read14,X2021.09.Read15,X2021.09.Read16,X2021.10.Read1,X2021.10.Read2,X2021.10.Read3,X2021.10.Read4,X2021.10.Read5,X2021.10.Read6,X2021.10.Read7,X2021.10.Read8,X2021.10.Read9,X2021.10.Read10,X2021.10.Read11,X2021.10.Read12,X2021.10.Read13,X2021.10.Read14,X2021.10.Read15,X2021.10.Read16,X2021.11.Read1,X2021.11.Read2,X2021.11.Read3,X2021.11.Read4,X2021.11.Read5,X2021.11.Read6,X2021.11.Read7,X2021.11.Read8,X2021.11.Read9,X2021.11.Read10,X2021.11.Read11,X2021.11.Read12,X2021.11.Read13,X2021.11.Read14,X2021.11.Read15,X2021.11.Read16,X2021.11.Read17,X2021.11.Read18,X2021.12.Read1,X2021.12.Read2,X2021.12.Read3,X2021.12.Read4,X2021.12.Read5,X2021.12.Read6,X2021.12.Read7,X2021.12.Read8,X2021.12.Read9,X2021.12.Read10,X2021.12.Read11,X2021.12.Read12,X2022.01.Read1,X2022.01.Read2,X2022.01.Read3,X2022.01.Read4,X2022.01.Read5,X2022.01.Read6,X2022.01.Read7,X2022.01.Read8
Denny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20737,47923,12307,29811,NA,NA,NA,NA,NA,NA,NA,NA,NA,32343,25571,12176,17874,12211,105078,87487,35034,38829,97324,NA,NA,NA,NA,NA,NA,NA,15453,350863,48251,7634,27844,683,NA,NA,NA,NA,NA,NA,NA,3905,5983,3746,6776,9499,51304,12836,323,NA,NA,NA,NA,NA,NA,3397,918.307516010291,837.558220432,2323.528436087,6079.86943939271,65869,28292,12071,33061,NA,NA,NA,NA,NA,NA,NA,78875,57080,183184,82213,77096,58686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66581,9067.47066917601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2926.00478156476,0,5963.18722816438,27235,134990,41241,88393,NA,NA,NA,NA,NA,NA,NA,NA,NA,249793,132228,113493,65804,28102,29713,14766,NA,NA,NA,NA,NA,NA,NA,NA,NA,65695,11181,7288.66318103732,48108,253911,63287,61109,227948,110523,NA,NA,NA,NA,NA,NA,NA,NA,NA,164660,185239,72219,NA,NA,NA,NA,NA,NA,NA,NA,NA,124906,NA,NA,NA,NA,NA,NA,NA
Dunbar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2385,18186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49375,27549,6696.45889212927,1657,897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2341,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,6695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39307,9721.66410051078,48780,126039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331132,457146,113747,37336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162048,351300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146913,61762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62963,29289,15344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86412,245758,NA,254931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211835,130688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336547,NA,NA,NA,NA,NA,NA,NA
Dunblane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,829,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4396,1986,2114,852,5433,NA,NA,NA,NA,NA,NA,NA,NA,5233,996,1358,1699,3697,485,94685,12087,11373,NA,NA,NA,NA,NA,2915,39711,14586,8102.2086783644,31661912,168645,37969,157310,NA,NA,NA,NA,NA,NA,NA,NA,347198,35510,335419,72818,50609,94404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49484,158322,59956,133970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191626,240959,106837,219956,168313,124579,175646,160135,NA,NA,NA,NA,NA,NA,NA,NA,185607,212257,113277,78634,366570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31986,81445,25145,76395,206148,253521,190754,427621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25193,199696,73924,NA,NA,NA,NA,NA,NA,NA,NA,NA,363767,103664,69789,NA,NA,NA,NA,NA
Dunfermline,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,623,66048,2718,2897,1725,0,0,0,NA,NA,NA,NA,NA,NA,379,0,585,0,1454,2955,8497,13036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5245.76662290054,12208,25707,15082,9640.11662140971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28348,53158,12680,62342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24544,44877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98810,64637,18759,3645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18697,13021,37041,19225,18587,23913,NA,NA,NA,NA,NA,NA,NA,33031,37351,12099,27325,6312.16041765481,24814,28251,3145,2432,NA,NA,NA,NA,NA,NA,NA,NA,18539,13851,22420,12768,19934,NA,NA,NA,NA,NA,NA,NA,NA,4317,740,11993,18754,4746,6299,10432,2541,NA,NA,NA,NA,NA,NA,4694,3703.16925371399,12464,21811,27485,22660,44642,132325,225215,NA,NA,NA,NA,NA,NA,NA,353655,213323,NA,652417,241413,156652,326350,110024,200176,NA,NA,NA,NA,NA,NA,NA,189833,138756,64314,43191,187851,273204,494184,294801,NA,NA,NA,NA,NA,NA,NA,NA,660342,3129546,752500,349238,592556,220542,141091,101931,NA,NA,NA,NA,NA,NA,NA,NA,92241,75471,116459,35908,146771,266025,83920,134249,140343,84544,NA,NA,NA,NA,NA,NA,112787,158798,132661,332453,583109,336766,403150,176911,127525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375256,NA,97887,138048,346388,388731,452435,316912,NA,NA,NA,139631,188530,168178,343028,107497,NA,NA,NA
Dunnswood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265453,104315,54660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148789,6823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69506,33518,29328,7369,3239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10522,19994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1150,4653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8219,20282,17425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209630,352126,133366,196190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,880179,1819957,222690,64212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13612,204741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104746,115451,141285,79654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65673,NA,NA,NA,NA,NA,NA,NA
Dunnswood - Carrickstone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,688,1858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5442,4742,30243,9066,881,3033,NA,NA,NA,NA,NA,NA,NA,1745,3155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dunoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23882,68893,75685,NA,NA,NA,NA,NA,NA,NA,NA,NA,21760,22013,NA,NA,NA,NA,NA,NA
Duns,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1426,2673,9348,1319,3207,NA,NA,NA,NA,NA,NA,NA,NA,501,1148,1134,750.528835869055,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,703,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1835,979,0,518,0,0,0,NA,NA,NA,NA,NA,NA,NA,432,521,735.269887002102,0,4334.22475913098,9568.49785004933,0,632.265308989521,34352,NA,NA,NA,NA,NA,NA,NA,26566,8231.23391565147,18694,18806,18946,30803,8660.59452685328,1676.90031495948,NA,NA,NA,NA,NA,NA,NA,NA,102886,11605,68224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12872,34054,8229.65576786307,65399,30440,10798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45337,19377,NA,63261,91252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146842,8596.34323929374,155741,124655,15229,59930,45983,59850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181257,83182,36564,NA,NA,NA,NA,NA,NA,NA,NA,NA,29558,NA,NA,NA,NA,NA,NA,NA
East Calder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195137,39219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81314,28408,25227,143903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42573,118691,49452,63070,28727,NA,NA,NA,NA,NA,NA,NA,NA,25362,51315,52689,76771,111623,49120,56471,78207,30961,NA,NA,NA,NA,NA,NA,NA,NA,77846,25313,32737,17773,1945,1643,NA,NA,NA,NA,NA,NA,NA,5000,2927,2327,3578,4689,1250,11242,15472,12845,NA,NA,NA,NA,NA,11408,24197,5347.41940672307,9558.64273815255,15509,38422,44252,33703,61357,NA,NA,NA,NA,NA,NA,NA,167836,162595,107365,79096,99818,132635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77699,33292,82650,522450,332526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265564,769658,221240,336120,214309,315460,506705,NA,NA,NA,NA,NA,NA,NA,NA,NA,403064,NA,335582,227439,111180,202953,168563,112551,NA,NA,NA,NA,NA,NA,NA,NA,167020,295440,293885,171492,90425,138592,130744,108733,61825,75011,NA,318658,NA,NA,NA,NA,NA,NA,NA,359177,53978,58095,683154,272453,332039,667415,NA,NA,NA,NA,NA,164819,177140,206956,94085,NA,NA,NA
Ellon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8241,2646,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,767,0,697,1161,0,3901,NA,NA,NA,NA,NA,NA,NA,NA,0,302.893124881753,0,0,0,1167.8812309978,1395.4425742231,16609,2346.45385709418,NA,NA,NA,NA,NA,NA,NA,20123,23231,21599,39419,20772,60113,67373,NA,NA,NA,NA,NA,NA,NA,NA,NA,51534,68891,287411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240151,NA,459370,152005,76734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46333,211943,111435,25640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107702,49111,354694,141749,119483,311525,205186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120761,71396,47387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erskine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20302,28474,73330,129009,78231,22080,70533,120013,126783,54287,93159,161510,NA,NA,NA,NA,NA,NA,163511,158026,90777,115853,220146,257828,112793,458950,255703,NA,NA,NA,158869,134157,107152,86610,36648,102348,NA,NA
Eyemouth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2712,883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4239,0,377,365,0,696,0,NA,NA,NA,NA,NA,NA,8410,0,0,17057,0,1587,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77373,4591,313156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128219,16306,17780,33284,90102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100818,38679,33882,351937,131356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46980,67618,93216,98763,149479,95408,22243,19342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23358,25282,37410,NA,NA,NA,NA,NA,NA,NA,NA,NA,180560,76825,46319,NA,NA,NA,NA,NA
