,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
,"May2020","June2020",,,,,"July2020",,,,,"Aug2020",,,,,"Sep2020",,,,,"Oct2020",,,,,"Nov2020",,,,,"Dec2020",,,,,"Jan2021",,,,"Feb2021",,,,"Mar2021",,,,,"Apr2021",,,,,"May2021",,,,,"Jun2021",,,,,"July2021",,,,,"Aug2021",,,,,"Sep2021",,,,,"Oct2021",,,,,"Nov2021",,,,,"Dec2021",,,,,"Jan2022",
,"X2020.05.22","X2020.06.23","X2020.06.24","X2020.06.25","X2020.06.26","X2020.06.27","X2020.07.27","X2020.07.28","X2020.07.29","X2020.07.30","X2020.07.31","X2020.08.32","X2020.08.33","X2020.08.34","X2020.08.35","X2020.08.36","X2020.09.36","X2020.09.37","X2020.09.38","X2020.09.39","X2020.09.40","X2020.10.40","X2020.10.41","X2020.10.42","X2020.10.43","X2020.10.44","X2020.11.45","X2020.11.46","X2020.11.47","X2020.11.48","X2020.11.49","X2020.12.49","X2020.12.50","X2020.12.51","X2020.12.52","X2020.12.53","X2021.01.01","X2021.01.02","X2021.01.03","X2021.01.04","X2021.02.05","X2021.02.06","X2021.02.07","X2021.02.08","X2021.03.09","X2021.03.10","X2021.03.11","X2021.03.12","X2021.03.13","X2021.04.13","X2021.04.14","X2021.04.15","X2021.04.16","X2021.04.17","X2021.05.18","X2021.05.19","X2021.05.20","X2021.05.21","X2021.05.22","X2021.06.22","X2021.06.23","X2021.06.24","X2021.06.25","X2021.06.26","X2021.07.26","X2021.07.27","X2021.07.28","X2021.07.29","X2021.07.30","X2021.08.31","X2021.08.32","X2021.08.33","X2021.08.34","X2021.08.35","X2021.09.35","X2021.09.36","X2021.09.37","X2021.09.38","X2021.09.39","X2021.10.39","X2021.10.40","X2021.10.41","X2021.10.42","X2021.10.43","X2021.11.44","X2021.11.45","X2021.11.46","X2021.11.47","X2021.11.48","X2021.12.48","X2021.12.49","X2021.12.50","X2021.12.51","X2021.12.52","X2022.01.01","X2022.01.02"
"Allanfearn","NA",0,0,0,"NA",0,"NA","NA","NA","NA","NA",0.172317547790776,0.141474000951368,0.243161782235328,0.134870363279513,0.220975216057237,1.56016401786716,0.983289003608238,0.463296082682007,1.40762584165505,0.61843433454897,1.00873739417862,2.81635630445298,2.449836921041,8.01380152989745,19.6025050000472,4.86084866042351,1.70122536383442,3.93915291510148,5.92883033012315,2.51648291138182,1.28782591792611,1.13491327282962,2.54212411319869,"NA","NA",31.6044438807922,46.2771466882054,26.1830307674959,19.1159938060422,20.0755947994991,26.2135981107391,20.6227107307796,16.899499952251,4.43129464235113,20.2908282426471,6.80984446898472,12.4857454579265,0.84957277041789,0.29761294223732,3.99521112123551,1.0073906539382,2.8608468531133,1.34504848467565,7.81070790693549,4.31673670341102,0.28047069693413,0.339574694260393,0.622165890044699,0.225711264603927,0.960749293233887,3.05795011740764,9.67066287452511,33.8101626964089,33.0270189606564,70.8519486159734,37.9974165658486,28.9608239173253,66.6481554774152,17.3348696450168,19.1922746532458,30.3710693990346,98.4874494284612,100.213825048926,212.190769418464,212.2053169941,102.032507940162,77.1919832427074,35.7171158472085,48.8418708849499,29.2627673810817,50.5234044771408,33.4633190601861,82.0134869273904,33.4687791957432,37.383988518718,47.6050774212304,65.0297724650411,92.036578489542,80.903905078706,43.9735329408834,38.5982634414422,79.2472554106271,"NA",59.8941497072324,47.6974607328869
"Allers","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",53.9882370524939,81.2784840944773,55.6374698023483,25.592075124154,17.5189936984554,5.99830139750524,29.7561450327089,27.0073731134486,5.14422586299947,2.57357246315077,1.64571119942419,1.70079811178123,"NA",5.43630394234594,1.75005463742309,6.59467809410659,"NA",5.17645654439367,3.80763982054429,7.43739151303199,1.13194272823204,2.09511410579235,5.71276731557477,"NA",4.02544305140953,6.43389939142393,40.7240234881936,"NA",135.114025350899,120.574832540456,75.2403349053363,47.4140443881294,101.458918668319,"NA","NA","NA","NA",416.310017355083,"NA",481.842203831236,138.568487541837,63.6426057662573,"NA",77.1111057477107,"NA","NA",58.3831924186824,38.2953809726513,56.4987356028531,171.407029590003,138.279789238229,186.04553539193,"NA","NA",154.110450578196,164.194435090057,"NA",436.537383919496,"NA","NA"
"Allers - St Leonards","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",9.94684296954914,0.262513366664788,"NA",15.1124689580227,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Alloa","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",117.32163532408,3.26498125323666,"NA",62.8415468775665,171.981371505426,45.140730896547,31.1848701914891,43.7230577503659,48.4708792401079,37.414443442444,40.0935607037931,10.8797293561637,19.1527002868717,19.289356203084,17.3768110699446,18.3834251442998,18.7652510765777,19.7515568031307,10.6555270097018,"NA",5.23031566377508,14.148708761422,19.6421034782979,8.92391916241433,14.5007129283085,8.71856976067917,37.7469657261022,28.1476267444554,18.5199246295232,36.2702932294628,26.5492282170475,50.9358252901004,52.0407799137056,105.993688018459,38.6437708023528,"NA",41.7137319049896,56.8162997579839,110.710591180656,203.412535800372,259.50444367546,197.041228042351,286.600514252199,109.17383855449,57.5119255685857,184.763077431529,"NA",98.2924676853684,76.6681592772931,54.1653714131437,196.052387147754,60.9141202036594,81.7919013681453,60.5802579618024,64.1184096898483,111.327227257662,"NA",76.8727096894043,48.0436653027671,"NA","NA",155.882898587074,136.470548220529
"Alness","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",757.204913052181,133.820158262578,"NA","NA",58.4772710567823,10.7488791720698,"NA","NA","NA","NA"
"Alva","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",112.157735612176,90.3027582546,12.9676942541287,25.3484786984582,7.87046283136318,6.80391687426338,5.91314504594831,"NA",4.37767423855223,2.22131670158251,"NA",2.06915571670474,1.07636985417574,2.57672946715485,4.16106587592746,5.35416461263613,25.0273439199409,164.97036581372,54.8271629365986,42.6199035198157,40.5664018446017,33.5277326332885,103.642812423935,74.1542076180155,42.9316345632367,85.8366087053101,37.8665323415491,"NA","NA","NA","NA",232.401017245912,203.593080941422,472.281857399713,192.44238871814,72.5582867519418,187.964746852603,"NA",324.084389820229,"NA",239.485853577147,365.121635967237,123.915300225575,122.583236013418,299.486029885966,269.562325005842,"NA","NA",61.2595950924499,140.107297607716,"NA","NA",197.129796672812,"NA"
"Annan",0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,"NA",0,0,0,0.290956758802326,0,"NA",0,1.34427798277468,1.21521301519774,1.41873920430787,4.47702529459943,2.45526289047631,11.3574358371503,0.522830227891067,"NA",0,0,"NA","NA","NA",584.503094396656,163.420229903016,19.43403256282,51.551074996722,14.9957079268979,17.3143996359084,0.755534302325582,5.31484480594404,0,12.3565869844727,5.4731274456213,0.328458165753913,"NA","NA",0,0.71315970637562,"NA",0.615694323289275,1.80058663820713,0.271727089295733,1.31730683391325,0,"NA",3.93141548714837,"NA",13.5498182638585,5.0846821659676,"NA",18.7825995181884,411.08247701618,"NA",31.8261964460558,"NA",14.0005620444542,41.8040529069767,34.3608570853678,203.306673067502,"NA",68.1689130651,309.857626874022,157.777603485696,24.1781035904431,38.3471163243842,"NA",84.8135899198448,42.5202190743915,6.03644368211948,22.0304056458841,35.7358197485812,48.9703382647886,130.190788290657,153.691245929457,78.9647677728326,"NA",38.4536272054256,24.9904346211112,17.4291002941599,"NA",35.4059483218442,"NA"
"Ardoch","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",14.3347822570754,5.91193938695766,4.09481126039768,23.8057884820893,8.7837209525854,10.5218681130923,3.79105339859893,3.14991252803364,3.05302070861207,1.4897191101039,"NA",0.603310051665934,0.69280346828946,0.211099194809722,0.167403236463657,1.17816651274587,0.831948471022923,1.19251025304469,4.02617018311901,2.9545276437649,6.11648616644703,2.26409025636478,20.4853198283792,43.6683907692352,17.8132524250453,13.6758939595908,30.4481910139184,"NA","NA","NA","NA",8.20090667054161,"NA","NA","NA",5.30877109595417,"NA","NA",63.129904252408,"NA",49.8108414141794,33.3737966341268,77.440696009604,37.2456387220246,56.5613494029739,42.1229730706115,49.6085453648005,"NA",35.3097196872285,11.7440814878681,"NA",24.1749672471127,77.0680622478058,"NA"
