"","Long","Lat","Health.Area","Site.Name"
"1",-4.28140354095588,55.4562191934189,"Ayrshire and Arran","Cumnock"
"2",-4.09669642705676,55.5130625683097,"Ayrshire and Arran","Muirkirk"
"3",-4.17781532667854,55.4003969414987,"Ayrshire and Arran","New Cumnock"
"4",-4.8592535874964,55.7633963436092,"Ayrshire and Arran","Fairlie"
"5",-4.88382394218081,55.8208147555392,"Ayrshire and Arran","Largs"
"6",-4.63758630212848,55.5879323781336,"Ayrshire and Arran","Meadowhead"
"7",-4.73979157201639,55.6256319344673,"Ayrshire and Arran","Stevenston"
"8",-4.84946002859352,55.2600042620361,"Ayrshire and Arran","Girvan"
"9",-4.66608252667129,55.3439368806738,"Ayrshire and Arran","Maybole"
"10",-2.226717751225,55.6642711806276,"Borders","Coldstream"
"11",-2.32458016654261,55.7715366776411,"Borders","Duns"
"12",-2.08012445501174,55.8619698476091,"Borders","Eyemouth"
"13",-2.77535918636304,55.6069593265817,"Borders","Galashiels"
"14",-2.77223125610452,55.4310286181503,"Borders","Hawick"
"15",-2.54303476730876,55.4952652800768,"Borders","Jedburgh"
"16",-2.42064379913774,55.604842083054,"Borders","Kelso"
"17",-2.66529074919015,55.5780581905803,"Borders","Newtown St Boswell"
"18",-3.1617011794559,55.6474639667491,"Borders","Peebles"
"19",-2.83473194586627,55.5588232441839,"Borders","Selkirk"
"20",-3.2617209843747,54.9738026551795,"Dumfries and Galloway","Annan"
"21",-3.82172736207723,54.9223049683906,"Dumfries and Galloway","Dalbeattie"
"22",-3.59671793344351,55.0884615989149,"Dumfries and Galloway","Dalscone"
"23",-2.99377025961401,55.1459447087774,"Dumfries and Galloway","Langholm"
"24",-5.07869120356409,54.9221422494004,"Dumfries and Galloway","Loch Ryan"
"25",-3.37237494154506,55.1196143867988,"Dumfries and Galloway","Lockerbie"
"26",-3.92275642373636,55.3606878798468,"Dumfries and Galloway","Sanquhar"
"27",-3.61168143926794,55.0547304189749,"Dumfries and Galloway","Troqueer"
"28",-3.17173238442625,56.2698632651294,"Fife","Bowhouse"
"29",-2.99134251948563,56.3219911050423,"Fife","Cupar"
