,Localities_names
370,Kirkhill
371,Kirkintilloch
372,Kirkliston
373,Kirkmuirhill and Blackwood
374,Kirknewton
375,Kirkwall
376,Kirriemuir
377,Kyle of Lochalsh
378,Ladybank
379,Lamlash
380,Lanark
381,Langbank
382,Langholm
383,Larbert
384,Largs
385,Larkhall
386,Lauder
387,Laurencekirk
388,Laurieston
389,Law
390,Lennoxtown
391,Lenzie
392,Lerwick
393,Leslie
394,Lesmahagow
395,Letham
396,Leuchars
397,Leven
398,Lhanbryde
399,Liff
400,Limekilns and Charlestown
401,Linlithgow
402,Linwood
403,Livingston
404,Loanhead
405,Loans
406,Locharbriggs
407,Lochgelly
408,Lochgilphead
409,Lochmaben
410,Lochwinnoch
411,Lockerbie
412,Logan
413,Longforgan
414,Longniddry
415,Longridge
416,Longside
417,Lossiemouth
418,Lower Largo and Lundin Links
419,Lumphanan
420,Luncarty
421,Macduff
422,Macmerry
423,Maddiston
424,Mallaig
425,Markinch
426,Maryburgh
427,Marywell
428,Mauchline
429,Maud
430,Maybole
431,Mayfield
432,Melrose
433,Menstrie
434,Methil
435,Methlick
436,Methven
437,Mid Calder
438,Millport
439,Milltimber
440,Milnathort
441,Milngavie
442,Milton
443,Milton and Kildary
444,Milton of Campsie
445,Milton of Leys
446,Mintlaw
447,Moffat
448,Moniaive
449,Monifieth
450,Monkton
451,Montrose
452,Moodiesburn
453,Morningside
454,Mossblown
455,Mosstodloch
456,Motherwell
457,Muir of Ord
458,Muirhead
459,Muirkirk
460,Murthly
461,Musselburgh
462,Muthill
463,Nairn
464,Neilston
465,Netherburn
466,Netherlee
467,Nethy Bridge
468,New Cumnock
469,New Deer
470,New Pitsligo
471,New Stevenston
472,Newarthill
473,Newbattle
474,Newbridge and Ratho Station
475,Newburgh (Aberdeenshire)
476,Newburgh (Fife)
477,Newcastleton
478,Newmachar
479,Newmains
480,Newmarket, Lacasdal and Bruach Mairi (Newmarket, Laxdale and Marybank)
481,Newmilns
482,Newport-on-Tay and Wormit
483,Newton Mearns
484,Newton Stewart
485,Newtonhill
486,Newtonmore
487,Newtown St Boswells
488,Newtyle
489,North Berwick
490,North Kessock
491,North Queensferry
492,Oakley
493,Oban
494,Ochiltree
495,Old Kilpatrick
