,2020-11-47,2021-06-23,2021-10-43,2021-11-47,2022-01-05,2021-04-16,2020-07-27,2021-07-30,2020-10-42,2020-06-27,2021-08-34,2021-12-50,2021-07-27,2020-11-49,2021-05-19,2021-01-03,2020-07-29,2021-08-33,2020-09-40,2020-08-36,2022-01-01,2021-02-07,2021-03-10,2020-12-53,2020-06-23,2020-11-46,2021-06-24,2020-09-37,2021-10-42,2021-11-44,2021-04-15,2020-09-39,2020-07-31,2020-10-43,2020-06-26,2020-08-32,2021-12-51,2021-07-26,2021-10-41,2020-11-48,2021-09-38,2021-01-02,2020-10-40,2020-06-25,2021-05-22,2021-08-32,2020-12-49,2022-01-02,2021-07-29,2021-09-35,2021-03-11,2020-12-52,2021-12-49,2020-11-45,2021-06-25,2020-09-36,2021-05-21,2021-08-31,2020-08-34,2021-11-45,2021-04-14,2022-02-06,2020-09-38,2020-07-30,2021-09-36,2021-03-12,2020-12-51,2020-10-44,2020-08-33,2021-06-22,2021-02-08,2021-12-52,2021-10-40,2022-02-05,2022-01-04,2021-11-46,2021-04-17,2021-03-09,2021-09-39,2021-01-01,2020-05-22,2020-10-41,2020-06-24,2021-08-35,2022-01-03,2021-07-28,2021-02-05,2021-05-18,2021-01-04,2021-12-48,2021-11-48,2021-06-26,2020-07-28,2021-10-39,2021-05-20,2020-08-35,2021-04-13,2021-02-06,1899-12-52,2021-09-37,2021-03-13,2020-12-50
Dalmuir - Auchinairn (6330),,38931,156283,75360,,6142,,57530,,,347715,122806,107116,,1809,,,439936.5,,,72120.5,,,,,,46764,,NA,28753.5,7777.5,,,,,,,148920,,,NA,,,,,15467,,,77708.5,301971,,,5452,,37054.5,,,16319.5,,116811,5548.5,,,,153206,,,,,11109,,,164342,,,35971.5,866.5,,,,,,,366933,,154929,,2170.5,,,,37776,,,,,,,,863129,,
Dalmuir - Clydebank,,6310.5,,,,,,,,,,,101221,,0,,,,,,,,,,,,4938.5,,,,15868,,,,,,,252281,,,,,,,,17392,,,70729.5,,,,,,84473,,,,,,4376.75,,,,,,,,,76376,,,,,,,2481.5,,,,,,,,,62144,,148.5,,,,368368,,,,,,,,,,
Dalmuir - Minerva St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalmuir - SECC,,,374955.5,8228,,,,,,,,,,,,,,,,,,,,,,,,,71885.8,81557.5,,,,,,,,,17793.2,,,,,,,,,,,,,,,,,,,,,655933.75,,,,,,,,,,,,,5108,,,325453.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalscone,27598,,,,,,,,5811,,,,,,,NA,,,,,,NA,1644,,,,,585,,,NA,1021,,,,,,,,6803,,47144,13612,,,,3442,,,,2642,,,,,,,,0,,NA,,579,,,8964,2592,2801,0,,NA,,,,,,0,1225,,NA,,11443,,,,,NA,,NA,,,,,,,0,,NA,,,NA,0
Denny,,1581,22239.5,144528.5,,,,58686,,,66581,128729,120132,,5261,,,,,,124906,34330,15025,,,,35974.5,,46953,38438,27942.5,,,,,,,78875,113493,,134990,,,,,,,,77096,2926,58644.5,,164660,,20181.5,,6579.5,NA,,27698.5,183158,28237,,,2981.5,61260.5,,,,2157.5,21059,,191010.5,13298,,158599,14263.5,28957,64817,,,,,9067,27836,82213,,4944,,,110523,33061,,,30401.5,,,,,27235,68076.5,
Dunbar,,39307,,254931,,,,37336,,,162048,130688,331132,,0,,,,,,,2385,27549,,,,9722,,15344,86412,0,,,,,,,,29289,,,,,,,,,336547,113747,,6696,,211835,,48780,,6695,,,245758,2341,77798,,,,1657,,,,NA,18186,,62963,,57978,NA,0,49375,61762,,,,,351300,93618,457146,,0,,,,126039,,,0,,,,,146913,897,
Dunblane,,27148.5,222602,309187.5,,,,94404,,,59956,136810,185464.5,,1528.5,,,158322,,,233715.5,,,,,,15835007,,162767,56715.5,1483,,,,,,,347198,,,150112.5,,,,11373,,,69789,50609,191626,,,25193,,103307,,53386,49484,,50770,3191,97138,,,173898,,,,,2915,,,185607,25340,,229834.5,5433,,160135,,,,,133970,,72818,,3114.5,,,,157310,,,2091,,,,,194134.5,414.5,
Dunfermline,12680,17137.5,112443.5,152218,232080,,,155100,25707,,383694,291055.666666667,213323,62342,15373.5,18759,,187851,,0,165446.333333333,28133,19712,,0,53158,25072.5,727,109084.5,112787,,13036,0,15082,,623,452435,353655,149568,,180816.5,64637,5246,,,53752.5,,244247.333333333,241501,660342,15563,,236571.5,28348,88483.5,321.333333333333,6486.5,164294.5,2718,207970.666666667,18135.5,270376,5726,,1941023,15698,44877,9640,66048,4198.5,21250,316912,95965,209194.5,178674,441008.333333333,16351,35191,101931,98810,0,12208,0,294801,180111.333333333,446915,18697,2528.5,3645,NA,,225215,,92241,5522.5,1155.5,18539,13021,,470897,2432,24544
Dunnswood,,20282,204741,79654,,,,196190,,,,19173,352126,,,54660,,,,,,,33518,,,,,,13612,104746,19994,,,,,,,209630,,,64212,104315,,,,20359,,65673,133366,880179,29328,,NA,,17425,,4653,,,115451,10522,248418,,,1819957,7369,,,,8219,6823,,,,,141285,,69506,,265453,,,,,,,148789,,,,,,,,1150,,,,,222690,3239,
Dunnswood - Carrickstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19654.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2450,,,,,,,,,5092,,,,848.666666666667,
Dunoon,,,,,,,,,,,,72289,,,,,,,,,21886.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23882,,,,,,,,,9880,,,,,,,,,,,,41248.5,14706,,,,,,,,,,24169,,,,,,30694,,,,,,,,,,,
Duns,,367.5,77256.5,52916.5,,,,5169,,,11605,59873,13462.5,,259,,,102886,,,,6010.5,942.5,,,,6951,,19377,77719,0,,,,,,,26566,,,30440,,,,,,,29558,24874.5,12872,0,,181257,,316,,0,,,140198,0,108078,,,21142,0,,,,476.5,2263,,45337,26862,4938,37579.5,0,824.5,10798,,,,,68224,37587,18806,,1407,,,,34352,,NA,0,,351.5,1426,,65399,NA,
East Calder,,14772,140557,75011,149022,,,132635,,,,477803.5,165215.5,,2952.5,25227,,302550,,,170979.5,49452,52002,,,,12534,,157066.5,252115,25255,,,,,,332039,,281510.5,,214309,28408,,,12845,33292,,158241.666666667,89457,265564,94197,39219,157083.333333333,,41337,,13357,77699,,133503,51579.5,184245,,,495449,52795.5,195137,,,11408,45898.5,667415,403064,228248.5,145567.5,100434,1794,25362,411082.5,81314,,,,332526,120898.666666667,107365,42573,3963.5,143903,NA,318658,47530,,,2969.5,,,118691,,336120,54584,
Ellon,,0,,258355.5,,,,63743,,,,47387,22415,,929,,,68891,,,,,,,,,584,,68537.5,78406.5,8241,,,,,,,20123,,,114369.5,,,,,,,59641,20772,240151,,,96078.5,,9002,,3901,51534,,248221.5,,,,,459370,,,,,151.5,,,211943,,,119483,1483,,,,,,,287411,51836,39419,,383.5,,,,2346,,46333,0,,,,,,,
Erskine,,,,91409.6666666667,82121,,,,,,,196922.333333333,,,,,,,,,133392.666666667,,,,,,,,,40702,,,,,,,458950,,,,,,,,,,,75202,,,,,121552,,,,,,,76440,,34536,,,,,,,,,,255703,,88388.5,62360,95273,,,,,,,,,46435,,,,,163511,161510,,,,,,,,,,,
Eyemouth,,0,241646.5,20792.5,,,,,,,,37410,,,8528.5,,,,,,128692.5,,,,,,,,36280.5,57299,182.5,,,,,,,,,,,,,,,4591,,46319,,128219,,,24320,,,,0,77373,,95989.5,188.5,64514.5,,,17043,1356,,,,0,,,100818,,,122443.5,348,,,,,,,313156,,,,4205,,,,,,,793.5,,4239,,,61693,883,
Fairlie,,1098,3987,186401.5,,,,506.5,,,12133,33808,1873.5,,0,,,3775,,,,21820,7131.5,,,,212.5,,6993,26622,0,,,,,,,,,,,,,,,0,,,10355,14464.5,1379,,,,1474.5,,212,5181,,14737.5,0,,,,19363.5,0,,,,266,3481,,11,8673,,3263,211.5,1269,4366,,,,,,,3846,,3427,,,,3104,,,0,,0,,,84398,614,
Falkirk,11608,19289.5,156911,84448,116332,,,41372.5,30605,,108530,229483.666666667,132357,,6285.5,16060,,56211.5,,,115345,77856,35725.5,,0,,17207.5,2085,58345.5,47269.6666666667,9078.5,6494,,32240,,,287635,224932,110540,,87481,130261,,,,62854,25709,149495.666666667,55171,373476,12810,,107679.666666667,,26087.5,1903,6424,18805.5,0,55905,9884.5,77785.5,,,323595,30097.5,17292,2506,,6178.5,48650,,91884.5,28389,54924.6666666667,101776.5,3493,6831,168797,47482,,41042,0,274352,87945.6666666667,112497,72551,1254,29710,365167,,78302,,147653,15607,0,,212565,,184638.5,27029.5,2889
Fauldhouse,,19377,342656,330298,,,,102750,,,540477,147889,524843,,1995,27470,,178445.5,,,64512,8097,13147.5,4447,,,73529,,68518,57840.5,350,,,,,,,214983,,,280564,41875,,,385,,,,251179,1179788,27905,5267,54679,,164624.5,,1172.5,16177,,78540,NA,215520,,,694857,4473,25551,,,60718,43970,,,118389,,122072,3083.5,107888.5,,115165,,,,NA,68159,,23382.5,4748,5878,,,285003,,54011,0,,3620,,,387858,,
Forfar,,52049,168587,290306,163530,,,26204,,,84464,66148,83035.5,,1333,,,29257.5,,,264925.5,,,,,,44831,,216765,40041.5,11430,,,,,,96149,34692,,,54596,,,,499,7348.5,,157988,98126.5,124593,8923,,68822,,23996.5,,2877.5,31453,,93772.5,3225.5,,,,319396,11146,,,,7588,,,50095,109936,88431,200282,882.5,,,,,,,117845,,190381,,729,,,93793,27566,,,2526,,,,,237266,26137,
Forfar - Central,,,,,,4185.33333333333,,,,,,,,,1032.66666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,277.5,,,,,,,,,,,,,,
Forres,,3927,,234000,,,,,,,59636,243175.5,92130,,614.5,,,18904,,,,,,,,,31014.5,,249840.5,,1159,,,,,,,184422,169763.5,,,,,,,23609,,196414,,34801,,,40395,,3036,,16531.5,73207.6666666667,,,,91474,,,,,,,,7889.5,,,53158,,,254353.5,0,,,,,,,,100426.5,,,0,,159569,,195888,,75941,1976.5,,,,,15415,,
Fort William,0,28924,55631,27536.5,39469,0,,94539,16112,,195740.5,,,,501,1018,,,,,33032,0,919.5,,,,10048,0,30069,64953.5,0,58658,,,,626,70678,60334,95650.5,,69569,416885,132153,,,95832.5,2130,123400,65124,,1366,,36460.5,1503,39788,560,12859.5,114785.5,0,53156,0,NA,,,759466.5,1615.5,,164110,0,39183,,,28627,,38966.5,58028,417.5,13117.5,93619,336,,,,130366,39776.5,94007,954,192.5,0,,18660,26082,,98675,0,689,0,5581,,123028,0,1847
Fraserburgh,,221,472972.5,114703,,22071,,271528,,,118549,37287,165407,,247,,,80651,,,,47533,55071.3333333333,,,,4200.5,,147267.5,289803.5,1534,,,,,,,174681,144476,,256698,,,,446,,,,185845,389664,19894.3333333333,,39897.5,,18155.5,,182,,,180573.5,1091,212677.5,,,350798.5,12250.3333333333,,,,0,50718.5,597421,80130,86263,29615,95408,2970.66666666667,62736.6666666667,163805,,,,,646405,256643,302608,34937.6666666667,0,47938,72929,,41077,,,0,,0,19307,,235433,17370,
Galashiels,2621,2436,216518,505333,,,,23892,3927,0,425367,68354,24645,,0,1886,,312430,,,49020,801,1088,,0,23879,8766,0,72844,46153.5,1221,743,,3431,,,37400,,39633.5,25862,66468,27588,,,,46982,1195,43729,38377,197061,1162,,13111.5,21303,55898,0,1127,22846,0,40901.5,,161610,0,,94555,3766,2214,2273,,0,0,274020,24597,95523,,189813,338,926,31000,7025,,3991,,,50277,,1381,0,68542,,,3505,,,335,0,,,,29333,486,0
Galashiels ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57757,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girvan,,3816,49714,38972,,,,111650,,,,60902,NA,,NA,,,0,,,62360,2898,2198,,,,8416,,3934,25241,3558,,,,,,57930,,NA,,58743,,,,,,,,130916,,399,,119519,,2479,,0,,,28045,4836,24454,,,367662,0,,,,2259,1382,195349,NA,43745,,50265,3038,0,160044,,,,,,,,,0,,,,45338,,,0,,,,,339667,1250,
Grantown on Spey,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Guardbridge,,1554,81461,91160,32350,,,21238,,,75487,114117.5,,,0,,,,,,21038,1974.5,927,,,,4366.5,,26560,101166,0,,,,,,,,,,325216.5,,,,1357,,,81134,,223510,0,,21302,,2540,,0,66983,,58453,1123.5,51265,,,259002,771,,,,1092,887,,97005,92103,,352906.5,0,11648,17893,,,,,170266,69346,,0,114,2202,,,9326,,,0,,12726,0,,107561,3233,
Haddington,,,,1081724,,,,,,,,NA,,,,,,,,,83775,,,,,,,,,120176,,,,,,,,,,,,,,,,,,73477,,,,,123779.5,,,,,,,49537,,251809,,,,,,,,,,,,,,174755,,,,,,,,,,,,,,119630,,,,,,,,,,,,
Hamilton,45564.6666666667,21692,241254,306975,260538,,,274085.5,285166,,454507.5,298334.666666667,183373,41982,23063,29083,,307787,41927,,231330,50942,38668.5,60740,,84584.6666666667,39221,,141905.5,159089,20309.5,17191,,114042,,,510565,365802,178372.5,38774.5,337000,102951,,,38031,161841,51834,126637.5,227396,724836,16626,,126243.5,207349,35312,1870,16543.5,183778,954,102882,17392,147315,12714,,2474556,39418.5,33453,,,17316,58110,824949,93631.5,179453,141425,171667.5,49006,16405,453847.5,50476,,,,1335330,91434.6666666667,220849,78899,21037.5,41554,125432,,58634,,,14182,698,37767,28703,,779925,22191,74247
Harthill,,0,262691,NA,,,,1090666,,,,971671,168586,,797,436,,,,,54604,26544,25457,,,,109664,,139810,92778,1367,,,,,,239482,,,,,37161,,,,,,,185202,,2096,,167777,,16546,,3208,,,NA,NA,,,,NA,14112,,,,0,1695,,257455,,,570925,1905,46298,,26527,,,,NA,,234345,7342,604,,,,140820,,12595,311,,NA,143407,,,,
Hatton,13486,68302,165917.333333333,184709.333333333,150832,4470,,72292.6666666667,,,188996.333333333,180057.75,484636.333333333,,7536.66666666667,50457.3333333333,,116583,20627,,170324,8218.66666666667,10128.3333333333,51249,1175,20969,43429.6666666667,1351,94015,46650.5,10884,11912,,22225,,,274004,289190,170536.333333333,,176818.333333333,78130.3333333333,,,35270,43375,29775,223441.75,91669.3333333333,566474,15270.6666666667,,89774.25,58928,156071.333333333,1870,12309.5,44053.3333333333,10714,112744,18437,221581.333333333,3366,,343036,17749,,41811,,28743,8743.66666666667,368882,167922.666666667,232166,137240.666666667,146818,,15140,171588,74751.3333333333,1752,9348,,438350,117564.5,185456,58695,5671,66560,125162,133121.5,143535,,200016,8759.33333333333,8360,26543,16027.3333333333,,337814.5,17318.5,22938
Hatton - Fintry East,,9481,401033,NA,,858,,20087,,,13075,51441,1190290,,916,,,149503,,,478716,,,,,,341282,,363099.5,28052,,,,,,,,44103857,,,,,,,,9682,,NA,36283.5,,,,51338,,231782,,1136.5,26020,,78497,,NA,,,1395889,,,,,2449.5,,,NA,,42516,45196,0,,,,,,,NA,,135510,,3196,,,,942360,,,0,,,,,1424406,,
Hatton - Fintry North,,35251.5,45658,38342,,15846,,400315,,,322374.5,43627,496778,,0,,,26576.5,,,183065,,,,,,105639.5,,178470.5,66616.5,,,,,,,,544050,,,,,,,,98556,,42736,87141,,,,58456,,364435,,31354.5,204857,,32988,,,,,1631776,,,,,22880.5,,,33878,128464,NA,136639,989,,,,,,,322518,,460736.5,,0,,,,,,,0,,,,,,,
hatton - Fintry West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325412,,,,,,,,,,,,346153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatton - Fintry West,,638259,80161,NA,,8517.25,,41649,,,89672,1138524.5,245469,,1418.5,,,1385,,,NA,,,,,,16749,,131371,7347,,,,,,,,502918,,,,,,,,9562,,107744.5,129318,107269,,,22277,,119202.5,,1141.5,162730,,26241,,,,,,,,,,18241.5,,,205112,,64166,131223,0,,,,,,,334062,,1203845.5,,5786.5,,,,,,,0,,,,,,,
Hawick,12892,,36091,66385,,,,91694,754,0,155165,,961455,,4787,55307,,28097,11577,,143258,6871,1296,51798,,11284,2845,5498,0,72898,0,12933,,8703,,,563428,,110832.5,30986,22251,196615,,,,11563,10720,120606,55408,123645,446,,68833,1068,90782,6326,398,30827,0,301695,877,149677,0,,28458,1041,14559,5541,,,0,,6454,27407,93351,213626,NA,354,131256,185436,,7474,0,,74067,,5439,0,63795,98648,,36586,,,2573,3893,,690,,37390,2124,46942
Helensburgh,6237,3424,50074,40481,77317,,,22123,60947,,3923,48959,8427,,1966,36142,,3482,,,133670,85921,13762,3872,,2374,0,,42304,67104.5,26832,2403,,36441,,,172661,,,7772,207269,7822,0,,,9231,12884,,40713,,24424,,106599,91754,7004,0,3009,15142,0,94414.5,49627,122199.5,,,977285,28812,,3763,,7290,56401,105312,141026,55980,,84826,1176,44852,209144,30581,,1987.5,0,0,49619,0,8180,3263,15342,,,3253,,,678,0,,230990,,73612,27059,
Huntly,,0,220093.5,175064,,,,13049.5,,,292395.5,180475,3812,,,,,12060.5,,,28140,,,,,,836,,186798,41389,,,,,,,,19469,,,,,,,,12462.5,,,28940,253592,,,11625.5,,14136.5,,,98062,,42559.5,,,,,35337.5,,,,,301,,791460,234860,22097,26139,91790,,,269050,,,,,,,10079,,,,,6948,16611,,,,,,,,,,
Inverclyde,,12814.5,53780.5,68238,46378,3519,,82074,,,106049,130700.333333333,100606.333333333,,14852,68325,,92972.5,,,112022,8979,2514.5,97610,,,6175,,43118.5,62141.25,3618.5,,,,,,,129859,61090.5,,77358,46543,,,10574,27378,,94129.5,48628,253459,10574,31766,68415.5,,36714.5,,5142,,,34723,7188.5,45366.5,,,384751,5058,18141,,,16858,13268,313095,28963.6666666667,58291,45206.3333333333,75780.25,7651,16407,142612,233525,,,,200950,44154.3333333333,58184.5,15852,1860.5,21154,66608,145200,57719,,,6540.66666666667,,4314,17942,,179222.5,3124,
Inverclyde - Gourock,,488456,11732.5,87763.5,,372138,,76820.5,,,255345.5,25111.5,160473,,351277,,,122370,,,199240,,,,,,67622.5,,21055,42449,96874,,,,,,,278205,,,,,,,,44428,,56903,28520.5,195962,,,38504,,120899,,,189061,,78428,35099.5,,,,117133,,,,,144433,,,29421,,,20993.5,47136.5,,,,,,,130221,,76945,,11408.5,,,,306343,,,,,,,,154482,,
Inverurie,,1043,442545,315814,,,,78960.5,,,,145362,290641,,32087.5,,,,,,239685,,,,,,11302.5,,415775,108778,9178.5,,,,,,,,,,,,,,,32306,,184399,109973,570794,,,33250,,11722,,5480,,,86812.5,,,,,792806.5,,,,,10530,,,448251,NA,107369,252431,211,,,,,,,,53745,NA,,8360.5,,,169833,28795,,,4441,,,,,218584,,
Ironmill Bay,,4003.5,68085.5,65073,,,,89532,,,,63250.5,11781.5,,29643,,,,,,134441.5,,22674,,,,32813.5,,15668,101454.5,4474,,,,,,,474128,,,,,,,,,,,73775,77367,12949.5,,98402.5,,48870.5,,7046,8307,,112608.5,2600,37794,,,147980.5,9407.5,,,,28050,5984.5,,,95011,,100727.5,1472,20971,,,,,,,,58452.5,6896,480.5,8982,,71447,80219,,42402,737,,,1189,,43107,61046.5,
Jedburgh,,,,12217.5,,,,,,,,,,,,,,,,,21003,,,,,,,,,269497,,,,,,,,,,,,,,,,,,154147.5,,,,,43959.5,,,,,,,89040,,,,,,,,,,,,,,27377.5,22216,26223,,,,,,,,,11109,,,,,,,,,,,,,,,,,
Kelso,,1469.5,64736.5,40533.5,,,,17405,,,,220036,25773,,2488.5,,,0,,,60569,,,,,,143,,8226.5,41057.5,157,,,,,,,73750,,,31629,,,,,,,107315,11992,80130,,,40836,,12497,,0,,,15796.5,0,93943,,,101466.5,161.5,,,,0,,,4901,50414,71134,132141,0,,5573,,,,,15351,79364,,,552.5,,,,15495,,,2295.5,,0,,,44665,0,
Kincardine,,NA,,,,,,,,,,,41041,,0,,,,,,,63553,27167,,,,NA,,,,16779.5,,,,,,,6293,,,,,,,,,,,,,148242.5,,,,NA,,6484.5,,,,11908,,,,,4408.5,,,,17129,36793.5,,,,,,454,11937,,,,,,,,,318594,594,16876,,,5822,,,921.5,,,231346,,,2345,
Kinneil,,,,274271.5,148327,,,,,,,402984.666666667,,,,,,,,,56923,,,,,,,,,157443,,,,,,,,,,,,,,,,,,,,,,,119223,,,,,,,168514.333333333,,64082,,,,,,,,,,,,215437,153534,255166.666666667,,,,,,,,,248525,,,,,NA,,,,,,,,,,,,
Kirkcaldy,,68596,141464,250881.5,NA,,,161368,,,,285955.333333333,287425,,30309,,,,,,286789.5,31453,9037,,,,76697,,100228,121465.333333333,15209,,,,,,291605,258867,255697,,264382,,,,,157089,,231797.333333333,204382.5,701213,55854.5,,183763,,171459.5,,12932,70003,,240263.666666667,26624,156437.5,,,1170966,33246,,,,48594,53203.5,,226509,151105,147506,335447,11527.5,18226,317908,,,,,211211,254860.666666667,155592,12091,25199,46997,,,228325,,90879,23599,,55115.5,16041,,311418.5,,
Kirkwall,0,3218.5,18938,39331.5,34888,0,,18027,0,,20943,4584,11517.5,0,350,1558.33333333333,,66937.5,0,,96945.5,126.666666666667,0,,,0,2858.5,0,19860,17320.5,322.666666666667,517,,0,,,,4933,12850,0,20056.5,847,,0,0,5910,0,17891.5,11457,22317,0,,8040,0,19553,0,158.5,19067,36871,38246.5,0,81113,0,,73920,0,0,986,6066,0,1160,,17800,50838,,116950.5,0,252.666666666667,16365,670.333333333333,,,0,,14609,58392,0,0,1785,15416,,13224,,,0,4418,,0,,,237.333333333333,230.666666666667
Lanark,,6425,,,38984,,,108909,,,,NA,11460,,NA,16013,,136108,,,51584,38818,58277,,,,41809,,NA,19334,,,,,,,,,,,NA,55489,,,,,,242907,23777,,3126,,NA,,51084,,2822,,,48636,22343,67423,,,791669,5706,,,,40004,184799,167773,17298,,,68979,651,64385,,63779,,,,234979,103239,42849,18103,0,NA,NA,,27687,,,1195,,10910,74165,,NA,,
Langholm,,0,27518,38117.5,,,,114540,,,25454,9890,28147,,,,,NA,,,44742,,,,,,0,,36057.5,36766.5,,,,,,,,225862,,,412849,,,,,17213.5,,,NA,NA,,,5571,,3155.5,,0,32147,,13730,,97396,,,1636393,,,,,0,,,4846,52783,27000,4862.5,0,,,,,,,,131332,38535,,0,,,,125287,,,0,,,,,464692,,
Largs,,0,27908,47783.5,,,,18216,,,,55971,8355,,906,,,,,,80784,25638.5,23750.5,,,,11646.5,,12640,14052,22213,,,,,,,,,,80725,,,,,,,66583,15526.5,36489,992,,39608,,20690,,0,,,46799,28759.5,,,,102751.5,NA,,,,346,6036,,13855,0,NA,19402,1831,34466.5,,,,,,,,16822,,1112,,72619,67718,33814.5,,,0,,,18892,,114929.5,1809,
Lerwick,486,543,0,86054,NA,0,,15315,5219,,3066,8393.5,4385,,3348.5,3582,,0,0,,NA,NA,0,,,0,3481.5,0,1180.5,NA,0,0,,,,,,,2476,0,10482,10257,,,4110,2833,0,NA,20202,,0,,NA,0,NA,0,NA,3205.5,0,1240,0,45248.5,,,13461.5,0,0,28534,,201,0,6697,0,NA,,15342,0,0,7365,642,,0,0,2894,NA,7880,0,NA,3303,NA,NA,4534,,,0,0,,0,,41917,0,0
Lesmahagow,,0,,,,,,51969,,,,76005,85544,,1315,,,19242,,,144060,501371,19713.5,,,,6998,,NA,104721,,,,,,,,,,,,23560,,,,,,,47302,,3485,,0,,0,,1958,,,43179,0,19637,,,127113,NA,,,,0,622995,187619,5670,,,188771,5829,50697,,,,,,508016,,197298,60888,480,,,126510,6813,,,0,,0,24175,,154126,2351,
Levenmouth,36313.3333333333,8199.5,,121582,98510,,,,41971.6666666667,0,,230410.666666667,108549,115157,3245.5,15422,,,18481,0,139285,8027,11435.5,99853,0,22886.5,10691,759.333333333333,,56390.25,5711,6446.2,,42732.25,,0,364916,229368,103552.333333333,57886.5,,57069.6666666667,3977,0,,,51927.6666666667,171839.666666667,137794.5,,15594.5,,124136.666666667,33245,27306.5,0,2085.5,,376.25,109219.5,18621.5,156453,1364,,,21646,20919.3333333333,49358.5,0,10352.5,14925.5,NA,,18276,39867,172907.75,4916,11451,,56674.75,0,2281.33333333333,0,,89468.5,102123,30549,5571,55695,50840,NA,80114,,,9344.5,1616.5,14915,16305,,,,18589.25
Linlithgow,,28703,36859.5,233114.5,,,,60145.5,,,,161438.5,128414,,1702.5,21614,,37191,,,143493,2708,7720.5,,,,6520,,235984,196731,2263,,,,,,715235,80632,,,323506,27134,,,429,81914,,74105,94085,139321,3860.5,13809,244575.5,,22937.5,,739,,,,1737.5,221769,,,412222,4182,12650,,,2101,1309.5,,168375,89473,,118290.5,434.5,649,,64024,,,,182539,46876,288059,5576.5,265.5,7741.5,,387211,35775,,238065,22833,,NA,8655.5,,434850.5,16042,
Loch Ryan,,551.5,12837,91934.5,,,,24511,,,76294.5,15001.5,38468,,,,,18224,,,,,,,,,781,,,8999,,,,,,,,,,,25195,,,,,15310,,23045.5,24446,306961,,,2576,,2503,,,13265,,NA,,9164,,,138410.5,,,,,0,,,31416,13984.5,30605,11338,730,,,,,,,130772,39678,4753,,,,,,,,,,,,,,78660,,
Lockerbie,1836.5,532,113863,43542,,,,,5219.75,,237934.5,58903,98097.5,,0,3127.5,,190775.5,543,,NA,0,1094.5,,,109707.5,339,4604.5,27591.5,3927,189.5,253.75,,3249,,,267439,35228,71892.6666666667,20368.5,84111,7468,871,,,55010,222.5,85886,34714,203033.5,514,,12476.5,2979,0,0,0,69836.5,0,49254.5,0,26633.5,151.25,,494480,0,2173,3595,,0,0,,2012.5,43662.5,115649,116706.5,0,0,100939,17850.5,,0,,,45967,6773,1047.5,0,17992.5,NA,,,,,0,0,,1521.5,,276876,0,1350
Lossiemouth,,0,NA,NA,,10252.3333333333,,90025,,,79799.6666666667,NA,65948.6666666667,,10913.3333333333,,,83684.6666666667,,,154436,4128,2801,,,,2280.66666666667,,NA,40378,11192.3333333333,,,,,,,,122253.5,,69181,,,,0,37243.3333333333,,NA,69689,316039.5,1284,,NA,,3880.5,,3344,51696,,NA,9939,151905,,,135212,6798,,,,2515.5,15532,,108357,71411,NA,NA,9319.66666666667,4947,,,,,,256676,26509,70381.5,NA,20325,,,NA,6192,,,6479.66666666667,,4776,9993.5,,197271,12132.5,
Mauldslie,,10347,,,,,,122225,,,324400,75454,90578,,13612,102175,,,,,33218,72378,14402,,,,96411,,133213,88347,,,,,,,912198,,,,,118803,,,,,,,188219,,7695,,,,48573,,8646,,,200547,18240,NA,,,,20132,,,,2155,17976,,86799,,,97619,8033,35917,,57581,,,,940753,,,108092,4809,12821,,,20158,,,14924,,16854,16401,,,,
Maybole,,5454,,237482,,,,,,,,,46072,,1246,13034,,,,,177921,523,0,,,,28477,,,,418,,,,,,335410,,,,108128,6536,,,,,,,10520,,25856,,137081,,4654,,0,,,217192,0,246078,,,386705,0,,,,0,0,,5148,185725,,,0,440,,NA,,,,411579,,46217,2116,0,,,,85800,,,409,,,20933,,564251,1033,
