,2021-02-15,2021-12-14,2021-11-02,2022-01-17,2021-08-26,2021-01-07,2021-03-30,2020-12-06,2020-08-12,2021-06-23,2021-03-02,2020-10-14,2021-08-18,1899-12-31,2021-09-17,2021-02-09,2020-09-30,2020-06-04,2021-03-25,2020-07-06,2021-12-01,2021-06-08,2020-08-03,2022-01-05,2022-02-04,2021-03-08,2021-06-29,2021-06-10,2021-01-15,2021-09-24,2021-04-16,2021-08-12,2021-02-03,2020-07-27,2021-01-21,2022-01-31,2021-04-08,2021-07-09,2021-07-30,2020-06-10,2020-09-24,2021-05-31,2021-09-08,2021-12-13,2022-01-10,2021-11-05,2020-09-09,2021-02-12,2020-12-01,2021-10-21,2021-04-06,2021-05-12,2021-07-07,2021-09-30,2021-08-02,2020-11-23,2022-01-27,2021-11-18,2020-12-14,2021-05-24,2021-06-03,2021-04-30,2020-08-31,2020-08-08,2021-11-21,2021-07-27,2021-09-14,2021-03-01,2020-11-03,2021-06-19,2021-11-16,2020-10-21,2020-07-03,2021-03-20,2021-12-04,2021-02-22,2021-10-07,2021-09-01,2022-01-19,2020-11-30,2020-12-08,2021-05-19,2020-09-21,2020-10-05,2020-08-26,2020-11-11,2020-09-18,2021-08-09,2020-12-29,2020-06-15,2022-01-13,2021-02-11,2021-12-10,2020-12-02,2021-02-28,2021-07-20,2021-09-13,2021-10-19,2020-11-04,2021-03-06,2021-03-29,2021-06-04,2022-01-20,2020-10-28,2021-05-23,2021-06-14,2021-09-20,2021-10-13,2021-04-12,2021-01-11,2021-05-06,2021-08-16,2021-12-28,2021-03-23,2021-07-12,2021-12-07,2021-11-15,2020-10-22,2020-08-05,2021-11-09,2021-06-30,2020-08-19,2021-04-21,2021-02-27,2021-04-02,2021-10-25,2021-03-10,2020-11-27,2021-08-06,2020-06-23,2020-07-15,2020-09-17,2021-03-31,2021-12-15,2021-11-03,2021-08-27,2020-12-07,2021-01-06,2021-10-08,2020-08-13,2021-07-23,2021-03-05,2021-09-29,2021-01-18,2022-02-09,2021-06-24,2020-06-03,2021-09-10,2020-10-13,2021-06-09,2021-03-24,2021-11-12,2020-07-07,2021-10-14,2022-02-07,2021-09-27,2021-08-11,2022-01-06,2021-04-15,2020-11-09,2020-12-31,2021-07-08,2021-04-09,2020-06-28,2021-01-20,2020-09-25,2020-10-01,2020-08-22,2021-10-01,2021-02-24,2021-09-07,2021-04-22,2020-09-06,2021-04-07,2021-07-06,2021-10-20,2021-03-15,2021-05-13,2021-08-03,2020-06-26,2020-07-10,2021-11-22,2020-12-17,2021-05-27,2021-12-09,2022-01-24,2021-06-21,2021-07-26,2021-09-15,2021-06-18,2020-11-02,2020-10-16,2020-06-06,2021-11-11,2020-10-26,2021-07-16,2021-02-23,2022-01-18,2021-01-08,2021-10-06,2020-09-01,2020-12-09,2021-01-27,2020-09-22,2020-08-25,2020-10-06,2021-10-29,2020-11-12,2020-06-16,2021-08-23,2021-02-10,2022-01-12,2020-12-03,2020-08-17,2021-11-07,2021-05-10,2021-07-05,2021-03-16,2020-11-18,2020-09-28,2020-07-13,2020-09-11,2021-07-19,2020-10-29,2022-01-21,2021-07-29,2021-09-23,2021-05-05,2021-02-04,2021-06-17,2020-06-09,2022-02-03,2021-01-12,2020-10-19,2020-07-20,2021-05-28,2021-12-06,2021-03-22,2021-07-13,2020-10-23,2020-07-01,2020-12-18,2021-04-26,2021-09-03,2021-02-19,2021-10-05,2020-05-28,2020-09-02,2021-02-20,2021-03-11,2021-05-17,2020-08-28,2020-09-16,2021-07-02,2020-06-22,2020-07-14,2020-11-26,2021-12-16,2021-04-28,2021-02-17,2021-08-24,2020-12-04,2021-01-05,2020-08-10,2021-12-20,2021-03-04,2021-09-28,2021-06-25,2021-01-19,2022-02-08,2021-07-22,2020-10-12,2020-11-06,2020-06-02,2021-08-31,2021-05-21,2021-11-24,2020-12-11,2020-07-08,2021-04-14,2020-12-30,2021-02-01,2021-08-10,2021-10-15,2022-01-07,2021-01-17,2021-03-18,2020-10-02,2020-08-21,2020-11-16,2021-01-23,2021-02-25,2021-09-06,2020-09-07,2021-04-23,2021-01-29,2021-03-12,2021-07-01,2021-10-27,2021-05-14,2021-08-04,2020-11-25,2020-07-17,2020-09-15,2020-10-31,2021-05-26,2021-11-23,2021-12-08,2021-06-01,2020-12-16,2022-01-25,2021-09-16,2021-02-08,2021-03-03,2021-08-19,2021-06-22,2020-10-15,2021-11-29,2021-11-10,2021-03-26,2020-10-27,2021-06-28,2021-05-03,2021-06-11,2022-01-04,2021-03-09,2021-02-02,2021-08-13,2021-01-14,2021-10-28,2021-01-26,2020-09-23,2020-08-24,2020-10-07,2020-11-13,2020-06-17,2021-11-04,2021-09-09,2020-09-08,2021-08-20,2022-01-11,2020-08-14,2021-03-17,2021-05-11,2020-12-21,2021-04-05,2020-09-29,2020-11-19,2021-10-22,2020-06-24,2020-09-10,2020-11-20,2021-06-02,2020-12-15,2021-05-25,2021-11-19,2022-01-26,2020-08-09,2021-06-16,2021-01-13,2021-02-05,2021-05-04,2022-02-02,2021-10-11,2022-01-03,2021-09-22,2021-07-28,2020-06-08,2021-04-10,2021-11-17,2022-01-28,2020-06-30,2020-08-07,2020-10-20,2021-07-10,2021-02-18,2021-04-27,2021-10-04,2021-09-02,2020-05-29,2021-02-21,2021-12-19,2020-09-03,2021-01-25,2020-11-10,2021-05-18,2020-09-20,2021-12-17,2021-01-04,2021-11-01,2021-04-29,2022-01-14,2021-08-25,2021-02-16,2020-08-11,2021-10-18,2021-07-21,2021-04-19,2020-07-28,2021-03-07,2020-06-01,2021-11-25,2021-06-07,2021-08-30,2021-05-20,2020-12-10,2021-09-21,2021-04-13,2022-02-01,2021-12-29,2021-06-15,2021-05-07,2021-10-12,2021-08-17,2021-02-06,2021-11-30,2021-01-22,2021-03-19,2020-11-17,2020-08-20,2021-11-08,2021-02-26,2020-08-18,2020-09-04,2021-04-20,2021-10-26,2021-04-01,2020-11-24,2021-08-05,2020-10-30,2020-09-14,2020-10-09,2020-06-19
Allanfearn,15.4,,,13.45,,,1.37,,,4.61,,3.29,28.38,,109.41,,0.48,0,,,80.9,,,,42.33,9.31,29.93,0.51,38.91,66.33,,,17.65,,,,,74.1,80.53,0,,0.62,94.82,10.2,47.7,1.18,0.19,,1.51,35.94,6.24,2.09,48.28,,26.52,0,,,2.61,,,,0.22,,,106.8,100.58,,9.71,,,2.85,,,,37.74,,203.01,34.11,2.51,0,0.28,0,3.96,0,1.25,0.4,,,0,,,9.87,1.02,,25.92,96.11,25.41,2.1,,NA,0.3,,0,,1.19,41.89,49,1.13,47.5,,13.1,,16.56,43.78,83.11,66.38,,,,,0,,5.55,0.3,29.05,17.07,,12.23,,,,0.33,67,31.27,150.02,0.5,35.94,27.31,,31.82,4.43,42.95,50.75,106.92,,,88.84,1.72,0,13.08,42.81,,33.34,30.12,,15.74,48.4,,1.12,,,3.85,,9.04,1.65,,,48.84,7.84,460.77,,,1.89,81.51,27.1,11.59,10.38,15.78,,,67.67,,,6.24,,2.31,39.44,,2.44,4.83,3.7,,,5.67,40.01,16.47,,,21.5,0.76,0,,2.12,0,2.36,119.08,,,71.58,30.97,NA,,0.3,,0.78,79.52,1.45,3.15,0.49,,0.32,,,NA,,,,,,0,21.02,26.6,0.78,,0.65,76.68,4.41,30.2,21.17,,,,NA,32.62,38.97,,0.98,,,0.49,0,0.13,33.03,,,,,0.55,6.8,61.89,1.33,23.45,0,79.25,,28.48,16.95,21.64,,29.49,1.08,2.8,0,100.21,0,,4.04,,,,,9.7,85.17,,,,1.01,0.4,2.34,,,204.24,1.08,2.86,20.8,35.16,,97.23,4.02,14.78,15.83,,0.62,,0,62.39,,0.38,2.47,52.57,,21.46,,,14.82,,91.97,33.84,15.9,2.19,37.69,0.3,2.37,71.35,19.62,16.33,32.14,,,17.41,1.86,0.54,2.14,2.73,,,,2.34,64.35,,0.28,1.66,,,,0.88,,,,,,0,,0.37,,NA,,3.14,72.1,26.25,,7.86,,NA,126.13,39.83,0,,28.83,,0,0.17,7.25,,,2.14,,221.37,,,,,,,0.35,,,35.42,67.95,,66.39,110.46,27.65,,45.38,28.61,,,,0,,,,,,74.42,0.89,18.73,,5.45,15.31,34.58,15.62,,,23.3,12.55,6.33,,35.51,,0.28,2.94,,82.69,,1.95,,70.55,0.71,,0
Allers,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03,,,,,,,,,1.75,120.57,101.46,,,5.71,,164.19,,,,,,,,,,,,,,,,,,5.18,,,,,,5.14,,,,,,,,27.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.43,,,,,3.81,,,,,,138.28,,,,,,,,,,,,,,,,,,,,,,,,47.41,,,,,,,481.84,,,1.7,,,,,,,,6.59,,,,,,,,,,77.11,,,,,,,,,7.44,,,,186.05,,,,,,,,,,,,,,75.24,,,53.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.64,,,,,,,,,,154.11,,,,,,,,,,,,,2.57,,,,135.11,,,,,,,,,,,,,,40.72,55.64,113.62,,,,,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,138.57,6,,,,,,,,,,,,NA,,17.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.28,,,,,,,,,,,,,,,,,,,,,,,,25.59,,,,,,56.5,,,,29.76,,58.38,,,,,,,,416.31,,,,,,436.54,,,,,,,,1.65,,,171.41,,,,,38.3,5.44,,,,,,
Allers - St Leonards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,7.14,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloa,,,63.08,,,46.61,,,,,7.33,,89.16,,,,,,34.63,,,,,,,10.84,,21.12,,,,,14.94,,21.54,,7.71,,,,,8.72,201.48,,,,,,,64.79,NA,,,184.76,,,20.77,89.83,,14.5,,,,,,,127.07,13.51,,,31.33,,,,,33.61,,197.04,,,,,,,,,,77.59,,,82.91,,,,,,,,,,19.7,,34.55,,,11.54,57.51,75.25,11.07,65.22,21.44,132.26,,8.57,105.99,,,,,105.91,26.55,,,,,,27.92,,40.53,,,,17.06,,,,,117.7,,,,,,,,51.7,,,,,,,,,,,36.04,158.5,12.53,,,49.52,,,32.38,,,,,49.31,,,,,54.56,,6.63,,42.89,,,,,,76.87,,,,,,,,,57.67,,,37.36,33.05,,,,,13.02,,,,,,,271.2,43.62,,,,,,,8.59,,,,,,,,,,,,25.5,,46.81,361.41,,,,,8.93,,,,,6.2,,17.85,,,,,,,,,50.94,,,,48.04,,5.72,,,24.22,,NA,,,,,409.09,40.4,,,,,12.88,,,,,,72.51,,116.95,,,,,,,,,371.72,,,,,,,20.43,,,,,,NA,49.82,,,65.54,,91.28,53.32,11.81,,20.84,,,,,,,,,153.27,18.71,,,,260.9,,,,,,,58.75,,,,43.4,,42.66,18.86,3.26,31.79,,,,,,,37.75,169.1,,,,,,89.31,,6.86,,37.81,,,,,,,,,,,,88.67,8.65,98.29,,,,,,49.35,,4.96,,,,,0.85,,135.63,,,43.54,36.89,,,,,78.42,35.18,259.5,,,,8.37,72.2,,,,,,,111.33,81.5,,,,,,,,,131.2,18.77,,,,,,
Alness,,,,56.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1362.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.48,,,,,,,,,,,,,,,,,,,,,12.59,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,152.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alva,,224.92,140.95,,,,4.67,,,,6.96,,,,,,,,,,,,,197.13,,5.41,,34.28,,,,,,,,,,,,,,25.03,,,,,,,,216.89,5.17,,,187.96,,,,482.86,,,164.97,1.05,,,,,204.02,18.97,,,116.11,,,,,77.89,,203.59,,,,6.97,,,,,,,,,,,,,,,,,,,,,211.4,,,18.61,72.56,,3.03,,0.72,,,4.77,42.93,61.26,,,,113.37,33.53,,,,,,,,,,,,7.15,,,,,,,,,,,,,29.5,,150.7,,,,,,,,,,,,,,37.02,3.58,,,,,,,,793.87,,,,111.29,,7.59,,,,,,,,,,,50.35,,,,,,131.8,,,102.72,110.59,,,,,,,,,,,,,,,,,,,,8.15,,,,,149.84,,,25.39,,,,66.63,,,,,,7.84,,8.83,,,,,,,165.4,,,,,,,,,103.64,,,,55.29,,,,,,,,,,,,236.26,,,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,2.87,225.42,,,,,180.87,,,,51.63,,,,,,,,,,45.29,,,,387.92,,,,,,,106.88,,,,,,,3.55,,,,,,,,,,,,,,,,,,1.43,,,,,,,,,,,,,,58.91,3.09,324.08,,,,,,,,,,,,,,,,,,262.08,21.84,,,,,313.7,75.38,232.4,,,,1.41,635.26,,,,,,,,,,,,,,,,,342.32,,,,,,,
Annan,,,,,203.31,584.5,,,,,0,,,,,,,,,,,,,,,12.36,,NA,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,0,3.93,,,,,,,,4.48,,,,,,,NA,,68.17,,,,,,,,,,,,,,,38.45,,,,157.78,,,,NA,,,,,,,27.23,0.71,,,,,0.33,,,130.19,,,,,0,,,,22.03,,,,,,,,,,,0,,,,,,,,40.36,,,,1.34,,,,,,,38.35,,,,,,,,,,,,,,,309.86,,,,,6.04,5.47,,14,,,153.69,,,,,,,,,,,,,,,5.31,,,84.81,0,,,,,0,,,,,17.31,,,,,0.27,411.08,,,0,,,31.83,,92.51,,,1.8,,,,,,,,,,,,,,,0.62,,,,0,,,,1.32,,,,,,0.52,,,,,,,,17.43,,,,,,,,,,,,,,,,,,41.8,85.9,,,,,,,,,,0,,51.55,,18.78,,,,,,0,,,,,,,,,,,,5.08,,,,,1.42,,,,35.41,,,,,,,0.29,0,,,,,,,,,,,,,,,,,,,11.36,,,,,,,,163.42,15,,26.06,,,,,,,,,,,1.22,,,,,,,0.76,,,,2.46,,,24.99,,35.74,,53.35,,,,,,,,,,,,,,,24.18,,,,13.55,,14.43,34.36,,78.96,19.43,,,,48.97,,,,,,,,,,,,
Ardoch,,,,,,,,,,9.7,,,,,NA,,,,,,,3.76,,,,,2.26,,,,,,,,,44.2,,,,,,0.83,,,,48.86,,,,24.95,2.33,0.42,,NA,,,,,,2.2,,,,,,34.68,,,,,,,,,,,,NA,,,,0,,,,,,,,,,,,,,,,,,,3.79,,58.61,,,,5.31,,1.08,,,,,17.01,17.81,,56.73,,,,,,,,3.15,,,,,,,,,,,,,,,,13.68,4.47,,,74.65,2.53,,,,,,7.87,,,,,,,,,,22.14,,,,,,,,,,,,,65.2,74.68,,,,,,42.12,,0.16,9.88,34.15,,,NA,NA,,,,,,,4.2,43.35,,,,,,,,,17.47,,,,,,,,,0,,,,,,,,,,26.22,,0,,,,,,,,,60.74,4.04,,,,,0.3,,8.68,,,,,14.65,0.33,,,,,,,11.74,0.91,,,,,,,3.72,,,,,,,,,8.2,,,,,,,,,,81.68,,6.78,,,,,7.62,NA,,,,32.97,20.49,,,,,,,,,,,1.19,,,,,,,,,49.61,,,,,,4.29,72.45,,,,,,,,,,,,,NA,,,,,,,,3.78,,,,,,,,,,56.39,31.45,,,,,1.39,,,,,,,,,,,,,,19.98,,63.13,,,,,,,,,,,,106.02,,61.86,,,,,,,,,,,,,,,,1.9,58.45,24.17,2.95,,,,,,,10.78,,,66.62,,,,,49.28,,,,,,,
Armadale,NA,,72.63,,,,,,,71.01,2.28,,,,,,,,7.39,,,,,969.04,221.1,,,,,,,,,,15.67,,,,,,,10.68,459.92,,,,,,,,6.76,,,,,,35.25,103.23,3.56,,,,,,,73.33,280.32,,,,81.29,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,31.7,,,0.93,,,,,,,126.51,,,,67.61,,,,,1.77,,,,,,,,,,,,,,,,131.82,,,,,,,,,5.25,6.38,,,,,,,,,,,,,,,,,,173.53,,,,,3.59,149.79,101.96,,,,,,,,42.06,,,19.43,,,,,,,88.18,,,11.97,,6.35,,,,,,,,,,,,,,,,,6.17,,,,,,,,,,350.94,,4.28,,,,,,,,,,,,,,,,376.32,56.55,49.66,,,,27.4,,,,,,,,,1.86,,,,,,,,,,,162.65,,,,,222.6,0.61,,,,,,16.63,,,,,11.22,,,,,15.52,,,,,20.28,142.47,,,,,,,,6.05,80.53,,,,,222.76,34.9,2.4,,,,,,,,118.71,,,,,,,,192.27,,,,,,,69.37,,,,,,8.03,6.92,27.13,,,,,,,,7.65,,,,,,29.93,13.43,,11.4,,,,,,,,,,,,,,,2.89,,,,,,,51.71,,,,,,,,,,,,22.52,,,,,,128.18,4.38,,NA,,,0.6,199.97,,,,,,,52.42,,,,,,,,,,104.51,1.25,,,,,,
Aviemore,,NA,NA,,,,,,,,,,,,,,,,,,257.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,61.19,,17.02,NA,,,,,,,,,,,,,135.5,,,,,,,194.83,,,,,,,,,,,,,,,,,,,,,,,,,6.64,,,,,,,,,,,,391.88,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,120.15,,,,,,,,,0.49,,,,191.84,,,,,,,,,,,,,,,,,50.93,,,,288.36,100.94,,,,,,,,,115.03,,11.14,,,,,,,2083.64,,,,NA,,,,,,,,,,,,,,NA,,,,,278.21,,,,,,,,,100.46,,,,7.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.03,,,57.24,,,,,,,,,91.31,,,,,,,103.35,,,,,,,,,,,,,,,,,,,,,,158.76,,130.24,,,,,,,,,,,NA,,,NA,,,,,,,,,,,,,,,,,,,,,,NA,120.81,,,,,,,,,,,,,,,,,,,,,1.82,,,,25.32,,,,115.15,,,,,,,,,,,31.13,73.02,,,,,,,,,,,,,,,,,61.98,119.21,,,,,,,,,,,,,,,,255.19,32.49,,,,,,,,,,,,,,,,,,,
