Allanfearn,2020-06-23,0
Allanfearn,2020-06-24,0
Allanfearn,2020-06-25,0
Allanfearn,2020-06-27,0
Allanfearn,2020-08-32,435
Allanfearn,2020-08-33,434
Allanfearn,2020-08-34,698
Allanfearn,2020-08-35,353.5
Allanfearn,2020-08-36,1124
Allanfearn,2020-09-36,4377.66666666667
Allanfearn,2020-09-37,2845.25
Allanfearn,2020-09-38,1113.75
Allanfearn,2020-09-39,4193.75
Allanfearn,2020-09-40,1863
Allanfearn,2020-10-40,1982
Allanfearn,2020-10-41,4006
Allanfearn,2020-10-42,4605
Allanfearn,2020-10-43,10806.75
Allanfearn,2020-10-44,30269.75
Allanfearn,2020-11-45,8493
Allanfearn,2020-11-46,3858.66666666667
Allanfearn,2020-11-47,7832.33333333333
Allanfearn,2020-11-48,10664
Allanfearn,2020-11-49,5324
Allanfearn,2020-12-49,2663.66666666667
Allanfearn,2020-12-50,1607.5
Allanfearn,2020-12-51,3919.5
Allanfearn,2021-01-01,69420
Allanfearn,2021-01-02,77327.75
Allanfearn,2021-01-03,36351.25
Allanfearn,2021-01-04,38834.5
Allanfearn,2021-02-05,36219.3333333333
Allanfearn,2021-02-06,58960
Allanfearn,2021-02-07,40512.25
Allanfearn,2021-02-08,32657.25
Allanfearn,2021-03-09,10975
Allanfearn,2021-03-10,37300.25
Allanfearn,2021-03-11,16571
Allanfearn,2021-03-12,31165.5
Allanfearn,2021-03-13,1676
Allanfearn,2021-04-13,597
Allanfearn,2021-04-14,9093.66666666667
Allanfearn,2021-04-15,2681.5
Allanfearn,2021-04-16,8421
Allanfearn,2021-04-17,2919
Allanfearn,2021-05-18,16607
Allanfearn,2021-05-19,8482.75
Allanfearn,2021-05-20,588.25
Allanfearn,2021-05-21,601.333333333333
Allanfearn,2021-05-22,1387
Allanfearn,2021-06-22,531.666666666667
Allanfearn,2021-06-23,2384
Allanfearn,2021-06-24,8624.75
Allanfearn,2021-06-25,23548.5
Allanfearn,2021-06-26,89813
Allanfearn,2021-07-26,98432
Allanfearn,2021-07-27,156193.25
Allanfearn,2021-07-28,94041.3333333333
Allanfearn,2021-07-29,87872.5
Allanfearn,2021-07-30,129899
Allanfearn,2021-08-31,43437.5
Allanfearn,2021-08-32,43954.6666666667
Allanfearn,2021-08-33,77068.75
Allanfearn,2021-08-34,290007.75
Allanfearn,2021-08-35,318495
Allanfearn,2021-09-35,677516
Allanfearn,2021-09-36,552046.5
Allanfearn,2021-09-37,314049
Allanfearn,2021-09-38,188965.5
Allanfearn,2021-09-39,86854.5
Allanfearn,2021-10-39,117328
Allanfearn,2021-10-40,72200.6666666667
Allanfearn,2021-10-41,96598.5
Allanfearn,2021-10-42,60537.25
Allanfearn,2021-10-43,156805.25
Allanfearn,2021-11-44,45648
Allanfearn,2021-11-45,58777.3333333333
Allanfearn,2021-11-46,78481
Allanfearn,2021-11-47,165955
Allanfearn,2021-11-48,194730
Allanfearn,2021-12-48,144194
Allanfearn,2021-12-49,88745.75
Allanfearn,2021-12-50,73765.5
Allanfearn,2021-12-51,191008
Allanfearn,2022-01-01,104625.5
Allanfearn,2022-01-02,119257
Allanfearn,2022-01-03,52109.3333333333
Allanfearn,2022-01-04,111312
Allanfearn,2022-02-05,54960
Allanfearn,2022-02-06,139249.5
Allers,2021-01-01,164611
Allers,2021-01-02,160353
Allers,2021-01-03,60401
Allers,2021-01-04,70511
Allers,2021-02-05,44506
Allers,2021-02-06,12350
Allers,2021-02-07,60768
Allers,2021-02-08,46774
Allers,2021-03-09,15091
Allers,2021-03-10,2164
Allers,2021-03-11,3334
Allers,2021-03-12,3694
Allers,2021-04-13,8910
Allers,2021-04-14,3857
Allers,2021-04-15,15269
Allers,2021-04-17,12276
Allers,2021-05-18,7443
Allers,2021-05-19,10590
Allers,2021-05-20,2386
Allers,2021-05-21,4087
Allers,2021-05-22,12959
Allers,2021-06-23,9470
Allers,2021-06-24,14018
Allers,2021-06-25,77538
Allers,2021-07-26,317623
Allers,2021-07-27,274111
Allers,2021-07-28,172052
Allers,2021-07-29,108883
Allers,2021-07-30,182675
Allers,2021-08-35,960625
Allers,2021-09-36,1081826
Allers,2021-09-37,299940
Allers,2021-09-38,138315
Allers,2021-10-39,77248
Allers,2021-10-42,123163
Allers,2021-10-43,41069
Allers,2021-11-44,57559
Allers,2021-11-45,310774
Allers,2021-11-46,237807
Allers,2021-11-47,374575
Allers,2021-12-49,243833
Allers,2021-12-50,249906
Allers,2021-12-52,449283
Allers,2022-01-01,NA
