,Health_Board,Site,Date_collected,Date_analysed,SW_sample_number,N1_description,N1_Reported_value-gc_per_L,N1_Repl_1-gc_per_L,N1_Repl_2-gc_per_L,N1_Repl_3-gc_per_L,Calculated_mean,Standard_Deviation,Flow-L_per_day,Ammonia-mg_per_L,pH_value,Modelled_flow-L_per_day,Million_gene_copies_per_person_per_day,Analysis_lab
1,Ayrshire and Arran,Cumnock,2021-02-19,2021-02-22,14725793,Positive,   85619,   85736.76,   85501.84,NA,   85619.30,    166.12, 19094400, 14.84,NA,  9733698,  119.42,SEPA
2,Ayrshire and Arran,Cumnock,2021-02-23,2021-02-25,14725796,Positive,   75691,   77788.09,   73594.68,NA,   75691.39,   2965.19,  9763200, 11.31,NA, 11381460,   53.98,SEPA
3,Ayrshire and Arran,Cumnock,2021-03-01,2021-03-03,14725799,Positive,   42624,   41922.98,   43325.61,NA,   42624.30,    991.81,  6393600, 16.37,NA,  9199052,   19.91,SEPA
4,Ayrshire and Arran,Cumnock,2021-03-08,2021-03-10,14739085,Positive,   12468,   13332.41,   11605.09,NA,   12468.75,   1221.40,NA, 21.18,NA,  7931065,    7.22,SEPA
5,Ayrshire and Arran,Cumnock,2021-03-15,2021-03-16,14757657,Positive,   13535,   15599.32,   11471.97,NA,   13535.65,   2918.48,NA, 10.80,NA, 11687861,   11.56,SEPA
6,Ayrshire and Arran,Cumnock,2021-03-22,2021-03-23,14769351,Positive,   30013,   31819.96,   28207.37,NA,   30013.66,   2554.49,NA, 20.26,NA,  8136458,   17.84,SEPA
7,Ayrshire and Arran,Cumnock,2021-03-30,2021-03-31,14786930,Positive (DNQ),    9513,    8168.34,   10858.62,NA,    9513.48,   1902.32,NA,  1.50,NA, 36419230,   25.31,SEPA
8,Ayrshire and Arran,Cumnock,2021-04-06,2021-04-08,14820435,Positive (DNQ),    7508,    7826.74,    7190.61,NA,    7508.68,    449.81,  4924800, 16.05,NA,  9304204,    2.70,SEPA
9,Ayrshire and Arran,Cumnock,2021-04-12,2021-04-13,14840977,Positive (DNQ),    2989,    2890.33,    3089.06,NA,    2989.70,    140.52,  4579200, 43.31,NA,  5253789,    1.00,SEPA
10,Ayrshire and Arran,Cumnock,2021-04-28,2021-04-29,14878147,Weak Positive,     902,    1804.42,       0.00,NA,     902.21,   1275.92,NA, 26.05,NA,  7040175,    0.46,SEPA
11,Ayrshire and Arran,Cumnock,2021-05-07,2021-05-10,14900055,Weak Positive,     842,     874.18,     811.16,NA,     842.67,     44.56, 19872000, 22.59,NA,  7642167,    1.22,SEPA
12,Ayrshire and Arran,Cumnock,2021-05-10,2021-05-12,14914138,Positive (DNQ),    1580,       0.00,    3160.03,NA,    1580.01,   2234.48,  5184000, 23.53,NA,  7464879,    0.60,SEPA
13,Ayrshire and Arran,Cumnock,2021-05-19,2021-05-20,14949931,Negative,       0,NA,NA,NA,NA,NA,  4579200, 21.55,NA,  7852378,    0.00,SEPA
14,Ayrshire and Arran,Cumnock,2021-05-26,2021-05-28,14974464,Weak Positive,    1377,    1489.06,    1265.63,NA,    1377.35,    157.99,  6134400, 18.67,NA,  8528471,    0.62,SEPA
15,Ayrshire and Arran,Cumnock,2021-06-02,2021-06-03,14990250,Positive,   43794,   46057.86,   41531.59,NA,   43794.73,   3200.56,  3888000, 30.23,NA,  6462098,   12.44,SEPA
16,Ayrshire and Arran,Cumnock,2021-06-09,2021-06-11,15013742,Positive,   24304,   23557.60,   25052.26,NA,   24304.93,   1056.88,NA, 28.32,NA,  6709539,   11.91,SEPA
17,Ayrshire and Arran,Cumnock,2021-06-16,2021-06-17,15042125,Positive,   17045,   13343.45,   20747.48,NA,   17045.46,   5235.44,NA, 21.10,NA,  7948363,    9.90,SEPA
18,Ayrshire and Arran,Cumnock,2021-06-22,2021-06-23,15068300,Positive,   22342,   22742.08,   21942.07,NA,   22342.07,    565.69,NA, 29.54,NA,  6548575,   10.69,SEPA
19,Ayrshire and Arran,Cumnock,2021-06-29,2021-06-30,15080416,Positive,  145126,  131150.07,  159102.48,NA,  145126.27,  19765.34,NA, 29.21,NA,  6591067,   69.87,SEPA
20,Ayrshire and Arran,Cumnock,2021-07-06,2021-07-07,15106310,Positive,  440415,  411014.90,  469816.29,NA,  440415.60,  41578.86,  8467200, 26.21,NA,  7015400,  272.39,SEPA - Low Volume
21,Ayrshire and Arran,Cumnock,2021-07-13,2021-07-14,15143445,Positive,  107927,  113261.96,  102593.92,NA,  107927.94,   7543.44,  3196800, 30.37,NA,  6444930,   25.20,SEPA - Low Volume
22,Ayrshire and Arran,Cumnock,2021-07-20,2021-07-21,15173352,Positive,   75879,   61996.27,   89762.46,NA,   75879.37,  19633.66,  2937600, 29.64,NA,  6535846,   16.28,SEPA - Low Volume
23,Ayrshire and Arran,Cumnock,2021-07-26,2021-07-28,15188379,Positive,  161820,  125955.31,  197686.03,NA,  161820.67,  50721.28,NA, 37.33,NA,  5723014,   67.65,SEPA - Low Volume
24,Ayrshire and Arran,Cumnock,2021-08-30,2021-08-31,15316429,Positive,  254938,  266226.02,  243651.48,NA,  254938.75,  15962.61,NA, 30.53,NA,  6425463,  119.66,SEPA - Low Volume
25,Ayrshire and Arran,Cumnock,2021-09-06,2021-09-07,15337530,Positive,  143341,  145827.02,  140855.72,NA,  143341.37,   3515.24,NA, 35.24,NA,  5916037,   61.94,SEPA - Low Volume
26,Ayrshire and Arran,Cumnock,2021-09-15,2021-09-16,15355714,Positive,  446588,  471053.36,  422122.77,NA,  446588.06,  34599.15,NA, 25.98,NA,  7051090,  230.02,SEPA - Low Volume
27,Ayrshire and Arran,Cumnock,2021-09-29,2021-09-30,15415049,Positive,   94953,   94958.26,   94949.40,NA,   94953.83,      6.26,NA,  8.00,NA, 13892252,   96.36,SEPA - Low Volume
28,Ayrshire and Arran,Cumnock,2021-10-18,2021-10-19,15487378,Positive,   71331,   71435.54,   71227.35,NA,   71331.45,    147.22,NA, 13.69,NA, 10196382,   53.13,SEPA - Low Volume
29,Ayrshire and Arran,Cumnock,2021-10-27,2021-10-29,15505625,Positive,  200253,  212136.18,  188371.43,NA,  200253.80,  16804.21,NA, 14.90,NA,  9711112,  142.05,SEPA - Low Volume
30,Ayrshire and Arran,Cumnock,2021-11-05,2021-11-08,15541210,Positive,  781473,  816820.23,  746125.95,NA,  781473.09,  49988.40,NA, 14.06,NA, 10041024,  573.18,SEPA - Low Volume
31,Ayrshire and Arran,Cumnock,2021-11-18,2021-11-19,15589633,Positive,  199297,  212820.58,  185774.01,NA,  199297.29,  19124.81,NA, 14.68,NA,  9794637,  142.59,SEPA - Low Volume
32,Ayrshire and Arran,Cumnock,2021-11-30,2021-12-06,15635636,Positive,   42678,   37908.93,   47449.02,NA,   42678.98,   6745.87,NA, 16.53,NA,  9147682,   28.52,SEPA - Low Volume
33,Ayrshire and Arran,Cumnock,2021-12-07,2021-12-08,15651955,Positive,  117505,   85772.22,  149238.76,NA,  117505.49,  44877.62,NA,  8.48,NA, 13433934,  115.31,SEPA - Low Volume
34,Ayrshire and Arran,Cumnock,2021-12-14,2021-12-16,15670369,Positive,   30909,   33481.62,   28336.90,NA,   30909.26,   3637.86,NA, 12.89,NA, 10556060,   23.83,SEPA - Low Volume
35,Ayrshire and Arran,Cumnock,2022-01-04,2022-01-05,15762841,Positive,  226703,  223053.21,  230353.00,NA,  226703.11,   5161.73,NA,  9.31,NA, 12730779,  210.82,SEPA - Low Volume
36,Ayrshire and Arran,Cumnock,2022-01-24,2022-01-25,15787963,Positive,   66512,   72553.46,   60472.36,NA,   66512.91,   8542.63,NA, 24.33,NA,  7322561,   35.58,SEPA - Low Volume
37,Ayrshire and Arran,Cumnock,2022-02-03,2022-02-04,15820658,Positive,   64678,   73267.72,   56089.99,NA,   64678.86,  12146.49,NA,  6.60,NA, 15519331,   73.32,SEPA - Low Volume
38,Ayrshire and Arran,Fairlie,2021-02-18,2021-02-19,14700442,Positive,   21820,   19144.19,   24496.36,NA,   21820.28,   3784.56,   190080,  3.33,NA,  3281964,    2.70,SEPA
39,Ayrshire and Arran,Fairlie,2021-02-24,2021-02-25,14700448,Positive (DNQ),    5230,    5230.93,NA,NA,    5230.93,NA,   185760,  2.02,NA,  4376447,    0.63,SEPA
40,Ayrshire and Arran,Fairlie,2021-02-25,2021-02-26,NA,Positive (DNQ),    1732,     916.69,    2547.62,NA,    1732.16,   1153.24,NA,  3.43,NA,  3226530,    3.64,SEPA
41,Ayrshire and Arran,Fairlie,2021-03-03,2021-03-04,NA,Weak Positive,    1228,     944.23,    1513.13,NA,    1228.68,    402.27,NA,  7.38,NA,  2075645,    1.66,SEPA
42,Ayrshire and Arran,Fairlie,2021-03-04,2021-03-05,14716412,Weak Positive,    1310,    1237.35,    1383.89,NA,    1310.62,    103.62,   134784,  7.43,NA,  2067592,    0.12,SEPA
43,Ayrshire and Arran,Fairlie,2021-03-09,2021-03-10,14736760,Positive (DNQ),    6807,    5108.67,    8506.06,NA,    6807.37,   2402.32,   171072,  8.38,NA,  1929211,    0.76,SEPA
44,Ayrshire and Arran,Fairlie,2021-03-10,2021-03-11,14727435,Positive (DNQ),    7456,    8237.18,    6675.95,NA,    7456.56,   1103.95,   190944,  4.85,NA,  2643126,    0.93,SEPA
45,Ayrshire and Arran,Fairlie,2021-03-16,2021-03-17,14748897,Positive (DNQ),    1807,    1750.74,    1864.07,NA,    1807.41,     80.14,NA,  5.07,NA,  2576473,    3.03,SEPA
46,Ayrshire and Arran,Fairlie,2021-03-17,2021-03-18,14755499,Weak Positive,     951,    1179.03,     722.31,NA,     950.67,    322.95,NA,  6.04,NA,  2329449,    1.44,SEPA
47,Ayrshire and Arran,Fairlie,2021-03-25,2021-03-26,14765084,Negative,       0,NA,NA,NA,NA,NA,NA,  7.28,NA,  2092013,    0.00,SEPA
48,Ayrshire and Arran,Fairlie,2021-03-26,2021-03-29,14769363,Negative,       0,NA,NA,NA,NA,NA,NA,  7.87,NA,  2000228,    0.00,SEPA
49,Ayrshire and Arran,Fairlie,2021-03-31,2021-04-06,14791130,Weak Positive,     614,NA,     614.32,NA,     614.32,NA,NA,  6.57,NA,  2219333,    0.89,SEPA
50,Ayrshire and Arran,Fairlie,2021-04-01,2021-04-06,14796489,Negative,       0,NA,NA,NA,NA,NA,NA,  7.41,NA,  2070803,    0.00,SEPA
51,Ayrshire and Arran,Fairlie,2021-04-09,2021-04-13,14814625,Negative,       0,NA,NA,NA,NA,NA,NA, 36.21,NA,   830715,    0.00,SEPA
52,Ayrshire and Arran,Fairlie,2021-04-14,2021-04-15,14843229,Negative,       0,NA,NA,NA,NA,NA,NA, 11.99,NA,  1569675,    0.00,SEPA
53,Ayrshire and Arran,Fairlie,2021-04-15,2021-04-16,14837704,Negative,       0,NA,NA,NA,NA,NA,NA,  9.62,NA,  1781867,    0.00,SEPA
54,Ayrshire and Arran,Fairlie,2021-04-27,2021-04-29,14869780,Negative,       0,NA,NA,NA,NA,NA,NA,  9.84,NA,  1758821,    0.00,SEPA
55,Ayrshire and Arran,Fairlie,2021-04-28,2021-04-29,14878168,Weak Positive,     423,     847.99,       0.00,NA,     424.00,    599.62,NA, 10.80,NA,  1667038,    0.46,SEPA
56,Ayrshire and Arran,Fairlie,2021-05-06,2021-05-07,14894493,Positive (DNQ),    6060,    6799.75,    5322.12,NA,    6060.94,   1044.84,NA,  9.37,NA,  1809086,    7.14,SEPA
57,Ayrshire and Arran,Fairlie,2021-05-07,2021-05-11,14900064,Weak Positive,     794,    1589.12,       0.00,NA,     794.56,   1123.67,NA,  8.35,NA,  1933198,    1.00,SEPA
58,Ayrshire and Arran,Fairlie,2021-05-12,2021-05-13,14908992,Negative,       0,NA,NA,NA,NA,NA,NA,  7.95,NA,  1988615,    0.00,SEPA
59,Ayrshire and Arran,Fairlie,2021-05-14,2021-05-17,14914153,Negative,       0,NA,NA,NA,NA,NA,NA, 11.77,NA,  1586500,    0.00,SEPA
60,Ayrshire and Arran,Fairlie,2021-05-18,2021-05-19,14936617,Negative,       0,NA,NA,NA,NA,NA,NA, 10.55,NA,  1689668,    0.00,SEPA
61,Ayrshire and Arran,Fairlie,2021-05-19,2021-05-20,14941170,Negative,       0,NA,NA,NA,NA,NA,NA, 10.53,NA,  1691515,    0.00,SEPA
62,Ayrshire and Arran,Fairlie,2021-05-25,2021-05-26,14961211,Negative,       0,NA,NA,NA,NA,NA,NA,  9.70,NA,  1773391,    0.00,SEPA
63,Ayrshire and Arran,Fairlie,2021-05-26,2021-05-28,14974482,Weak Positive,     424,       0.00,     849.87,NA,     424.93,    600.95,NA, 11.13,NA,  1638399,    0.45,SEPA
64,Ayrshire and Arran,Fairlie,2021-06-03,2021-06-04,14986486,Weak Positive,     532,    1063.38,       0.00,NA,     531.69,    751.92,NA, 10.12,NA,  1730637,    0.60,SEPA
65,Ayrshire and Arran,Fairlie,2021-06-04,2021-06-07,14981484,Negative,       0,NA,NA,NA,NA,NA,NA,  9.67,NA,  1776557,    0.00,SEPA
66,Ayrshire and Arran,Fairlie,2021-06-09,2021-06-10,15013760,Weak Positive,     852,     932.13,     771.30,NA,     851.71,    113.72,NA, 10.12,NA,  1730637,    0.96,SEPA
67,Ayrshire and Arran,Fairlie,2021-06-10,2021-06-11,15017650,Positive (DNQ),    1344,    1120.38,    1567.69,NA,    1344.03,    316.30,NA,  7.72,NA,  2022513,    1.77,SEPA
68,Ayrshire and Arran,Fairlie,2021-06-15,2021-06-17,15032225,Weak Positive,     425,     850.51,       0.00,NA,     425.25,    601.40,NA,  8.96,NA,  1856293,    0.51,SEPA
69,Ayrshire and Arran,Fairlie,2021-06-16,2021-06-17,15038250,Negative,       0,NA,NA,NA,NA,NA,NA,  6.14,NA,  2307530,    0.00,SEPA
70,Ayrshire and Arran,Fairlie,2021-06-23,2021-06-24,15061227,Weak Positive,    1068,    2135.96,       0.00,NA,    1067.98,   1510.35,NA, 10.77,NA,  1669710,    1.16,SEPA
71,Ayrshire and Arran,Fairlie,2021-06-24,2021-06-25,15065521,Positive (DNQ),    1881,    1274.15,    2488.36,NA,    1881.25,    858.58,NA,  9.72,NA,  1771290,    2.17,SEPA
72,Ayrshire and Arran,Fairlie,2021-06-29,2021-06-30,15090342,Positive (DNQ),    3104,    2874.78,    3332.94,NA,    3103.86,    323.97,NA, 11.67,NA,  1594313,    3.22,SEPA
73,Ayrshire and Arran,Fairlie,2021-07-07,2021-07-08,15111560,Weak Positive,    2251,    4502.17,       0.00,NA,    2251.08,   3183.51,NA,  9.12,NA,  1837473,    2.69,SEPA - Low Volume
74,Ayrshire and Arran,Fairlie,2021-07-08,2021-07-09,15123049,Weak Positive,    1496,       0.00,    2991.33,NA,    1495.66,   2115.19,NA,  9.97,NA,  1745581,    1.70,SEPA - Low Volume
75,Ayrshire and Arran,Fairlie,2021-07-13,2021-07-14,15143454,Weak Positive,    3846,       0.00,    7692.69,NA,    3846.34,   5439.55,NA,  6.63,NA,  2207748,    5.53,SEPA - Low Volume
76,Ayrshire and Arran,Fairlie,2021-07-21,2021-07-26,15168190,Positive,   10355,   14896.17,    5815.32,NA,   10355.74,   6421.13,NA, 13.74,NA,  1451259,    9.79,SEPA - Low Volume
77,Ayrshire and Arran,Fairlie,2021-07-28,2021-07-29,15194111,Weak Positive,    1013,    2025.19,       0.00,NA,    1012.59,   1432.02,NA, 11.67,NA,  1594313,    1.05,SEPA - Low Volume
78,Ayrshire and Arran,Fairlie,2021-07-29,2021-07-30,15196170,Negative,       0,NA,NA,NA,NA,NA,NA,  9.45,NA,  1800252,    0.00,SEPA - Low Volume
79,Ayrshire and Arran,Fairlie,2021-08-03,2021-08-04,15205488,Positive (DNQ),    8714,   10419.15,    7008.14,NA,    8713.65,   2411.95,NA, 15.02,NA,  1378712,    7.83,SEPA - Low Volume
80,Ayrshire and Arran,Fairlie,2021-08-04,2021-08-05,15211116,Weak Positive,    1648,    3251.33,      44.15,NA,    1647.74,   2267.82,NA, 12.94,NA,  1502257,    1.61,SEPA - Low Volume
81,Ayrshire and Arran,Fairlie,2021-08-10,2021-08-11,15232908,Negative,       0,NA,NA,NA,NA,NA,NA,  5.59,NA,  2435636,    0.00,SEPA - Low Volume
82,Ayrshire and Arran,Fairlie,2021-08-11,2021-08-12,15242348,Negative,       0,NA,NA,NA,NA,NA,NA,  7.75,NA,  2018001,    0.00,SEPA - Low Volume
83,Ayrshire and Arran,Fairlie,2021-08-18,2021-08-19,15253187,Weak Positive,    4392,       0.00,    8783.64,NA,    4391.82,   6210.97,NA, 11.88,NA,  1578026,    4.51,SEPA - Low Volume
84,Ayrshire and Arran,Fairlie,2021-08-19,2021-08-20,15267336,Weak Positive,    3158,       0.00,    6315.30,NA,    3157.65,   4465.59,NA,  9.92,NA,  1750641,    3.60,SEPA - Low Volume
85,Ayrshire and Arran,Fairlie,2021-08-25,2021-08-26,15282376,Positive (DNQ),    7122,    4976.77,    9267.22,NA,    7122.00,   3033.81,NA,  5.86,NA,  2370380,   11.00,SEPA - Low Volume
86,Ayrshire and Arran,Fairlie,2021-08-26,2021-08-30,15288293,Positive,   17144,   16166.64,   18121.43,NA,   17144.03,   1382.25,NA,  7.18,NA,  2108739,   23.55,SEPA - Low Volume
87,Ayrshire and Arran,Fairlie,2021-09-01,2021-09-02,15302262,Weak Positive,    2072,       0.00,    4144.93,NA,    2072.46,   2930.91,NA, 12.98,NA,  1499590,    2.02,SEPA - Low Volume
88,Ayrshire and Arran,Fairlie,2021-09-02,2021-09-03,NA,Positive,   26857,   21555.91,   32159.06,NA,   26857.48,   7497.56,NA, 10.52,NA,  1692441,   29.61,SEPA - Low Volume
89,Ayrshire and Arran,Fairlie,2021-09-08,2021-09-09,15335031,Positive (DNQ),    7741,    4314.37,   11167.00,NA,    7740.68,   4845.54,NA, 10.08,NA,  1734588,    8.75,SEPA - Low Volume
90,Ayrshire and Arran,Fairlie,2021-09-09,2021-09-10,15337539,Positive,   30986,   34626.67,   27346.67,NA,   30986.67,   5147.74,NA,  5.05,NA,  2582343,   52.13,SEPA - Low Volume
91,Ayrshire and Arran,Fairlie,2021-09-16,2021-09-17,15360440,Positive,   84398,   62514.98,  106281.72,NA,   84398.35,  30947.76,NA,  8.05,NA,  1974355,  108.56,SEPA - Low Volume
92,Ayrshire and Arran,Fairlie,2021-09-30,2021-10-01,15415064,Weak Positive,    4366,    3724.51,    5007.32,NA,    4365.91,    907.08,NA,  3.45,NA,  3215748,    9.15,SEPA - Low Volume
93,Ayrshire and Arran,Fairlie,2021-10-06,2021-10-07,15441540,Weak Positive,      11,       0.00,      22.16,NA,      11.08,     15.67,NA,  4.83,NA,  2649422,    0.02,SEPA - Low Volume
94,Ayrshire and Arran,Fairlie,2021-10-21,2021-10-22,15482119,Positive (DNQ),    6888,    5537.28,    8237.89,NA,    6887.58,   1909.63,NA,  4.63,NA,  2714721,   12.18,SEPA - Low Volume
95,Ayrshire and Arran,Fairlie,2021-10-22,2021-10-25,15477039,Positive (DNQ),    7098,    8042.18,    6153.48,NA,    7097.83,   1335.51,NA,  5.21,NA,  2536383,   11.73,SEPA - Low Volume
96,Ayrshire and Arran,Fairlie,2021-10-29,2021-11-01,15516573,Weak Positive,    3987,       0.00,    7974.68,NA,    3987.34,   5638.95,NA,  2.67,NA,  3727055,    9.68,SEPA - Low Volume
97,Ayrshire and Arran,Fairlie,2021-11-03,2021-11-04,15538439,Positive,   43963,   43037.61,   44890.33,NA,   43963.97,   1310.07,NA,  4.37,NA,  2806570,   80.38,SEPA - Low Volume
98,Ayrshire and Arran,Fairlie,2021-11-04,2021-11-08,15541228,Positive (DNQ),    9281,    8014.09,   10548.37,NA,    9281.23,   1792.01,NA,  7.78,NA,  2013518,   12.17,SEPA - Low Volume
99,Ayrshire and Arran,Fairlie,2021-11-11,2021-11-12,15562320,Positive,   14045,   13730.35,   14359.85,NA,   14045.10,    445.12,NA,  6.66,NA,  2202017,   20.15,SEPA - Low Volume
100,Ayrshire and Arran,Fairlie,2021-11-12,2021-11-15,15566700,Positive,   15430,   12395.00,   18466.00,NA,   15430.50,   4292.85,NA,  4.58,NA,  2731744,   27.46,SEPA - Low Volume
101,Ayrshire and Arran,Fairlie,2021-11-18,2021-11-19,15589657,Weak Positive,    3263,       0.00,    6526.45,NA,    3263.23,   4614.90,NA,  2.09,NA,  4291447,    9.12,SEPA - Low Volume
102,Ayrshire and Arran,Fairlie,2021-11-24,2021-11-26,15608786,Positive,  129795,  132274.99,  127315.93,NA,  129795.46,   3506.58,NA,  8.25,NA,  1946655,  164.60,SEPA - Low Volume
103,Ayrshire and Arran,Fairlie,2021-11-25,2021-11-26,15613997,Positive,  243008,  207307.75,  278710.19,NA,  243008.97,  50489.15,NA,  7.44,NA,  2065991,  327.07,SEPA - Low Volume
104,Ayrshire and Arran,Fairlie,2021-12-14,2021-12-15,15670387,Positive,   27550,   37087.56,   18013.46,NA,   27550.51,  13487.42,NA,  3.77,NA,  3055649,   54.84,SEPA - Low Volume
105,Ayrshire and Arran,Fairlie,2021-12-15,2021-12-16,15674504,Positive,   40066,   27106.52,   53026.90,NA,   40066.71,  18328.48,NA,  4.84,NA,  2646269,   69.07,SEPA - Low Volume
106,Ayrshire and Arran,Fairlie,2022-02-04,2022-02-07,15820676,Positive (DNQ),    8673,   11504.81,    5841.42,NA,    8673.11,   4004.62,NA,  7.88,NA,  1998766,   11.29,SEPA - Low Volume
107,Ayrshire and Arran,Girvan,2021-02-19,2021-02-22,14725829,Analysis Failed,NA,NA,NA,NA,NA,NA, 16647552,  3.12,NA, 14349413,NA,SEPA
108,Ayrshire and Arran,Girvan,2021-02-19,2021-02-23,14725829,Positive (DNQ),    2898,NA,    2898.00,NA,    2898.00,NA, 16647552,  3.12,NA, 14349413,    6.25,SEPA
109,Ayrshire and Arran,Girvan,2021-02-23,2021-02-25,14725832,Positive (DNQ),    1382,    1182.19,    1581.91,NA,    1382.05,    282.65, 13808448,  3.37,NA, 13726545,    2.47,SEPA
110,Ayrshire and Arran,Girvan,2021-03-01,2021-03-03,14725835,Negative,       0,NA,NA,NA,NA,NA, 11303712,  4.52,NA, 11591782,    0.00,SEPA
111,Ayrshire and Arran,Girvan,2021-03-08,2021-03-10,14739097,Positive (DNQ),    2198,    3077.87,    1318.70,NA,    2198.28,   1243.93,  9505728,  7.85,NA,  8435847,    2.71,SEPA
112,Ayrshire and Arran,Girvan,2021-03-15,2021-03-16,14748903,Weak Positive,     399,     797.10,       0.00,NA,     398.55,    563.63,NA,  5.62,NA, 10225557,    0.53,SEPA
113,Ayrshire and Arran,Girvan,2021-03-22,2021-03-23,14779434,Negative,       0,NA,NA,NA,NA,NA,NA,  7.30,NA,  8796123,    0.00,SEPA
114,Ayrshire and Arran,Girvan,2021-03-30,2021-04-01,14791133,Weak Positive,    1250,     977.06,    1524.04,NA,    1250.55,    386.78,NA,  6.81,NA,  9155130,    1.48,SEPA
115,Ayrshire and Arran,Girvan,2021-04-06,2021-04-08,14814634,Positive (DNQ),    4836,    5783.81,    3889.78,NA,    4836.80,   1339.28,NA,  9.47,NA,  7572124,    4.74,SEPA
116,Ayrshire and Arran,Girvan,2021-04-12,2021-04-13,14834330,Positive (DNQ),    3558,    1641.03,    5475.20,NA,    3558.12,   2711.16,NA,  9.64,NA,  7494954,    3.45,SEPA
117,Ayrshire and Arran,Girvan,2021-04-28,2021-04-29,14872832,Positive (DNQ),    3038,    2720.50,    3356.25,NA,    3038.38,    449.55,NA, 12.57,NA,  6432960,    2.53,SEPA
118,Ayrshire and Arran,Girvan,2021-05-07,2021-05-10,14890667,Negative,       0,NA,NA,NA,NA,NA,NA, 11.90,NA,  6639060,    0.00,SEPA
119,Ayrshire and Arran,Girvan,2021-05-10,2021-05-12,14918000,Analysis Failed,NA,NA,NA,NA,NA,NA,NA, 10.75,NA,  7039124,NA,SEPA
120,Ayrshire and Arran,Girvan,2021-05-19,2021-05-20,14946782,Negative,       0,NA,NA,NA,NA,NA,NA, 15.04,NA,  5801682,    0.00,SEPA
121,Ayrshire and Arran,Girvan,2021-05-26,2021-05-28,14974500,Negative,       0,NA,NA,NA,NA,NA,NA, 10.67,NA,  7069462,    0.00,SEPA
122,Ayrshire and Arran,Girvan,2021-06-02,2021-06-03,14986498,Positive (DNQ),    2259,    1740.04,    2779.38,NA,    2259.71,    734.92,NA, 14.28,NA,  5977495,    1.75,SEPA
123,Ayrshire and Arran,Girvan,2021-06-09,2021-06-11,15017665,Positive (DNQ),    3816,    4722.25,    2909.98,NA,    3816.11,   1281.47,NA, 12.72,NA,  6389175,    3.16,SEPA
124,Ayrshire and Arran,Girvan,2021-06-16,2021-06-17,15038262,Positive (DNQ),    8416,    6664.59,   10166.69,NA,    8415.64,   2476.36,NA, 15.45,NA,  5712536,    6.23,SEPA
125,Ayrshire and Arran,Girvan,2021-06-22,2021-06-23,15070120,Positive (DNQ),    2479,    2885.79,    2072.07,NA,    2478.93,    575.39,NA, 13.24,NA,  6243476,    2.00,SEPA
126,Ayrshire and Arran,Girvan,2021-06-30,2021-07-01,15092679,Positive,   45338,   41892.00,   48785.85,NA,   45338.92,   4874.69,NA, 16.72,NA,  5458544,   32.05,SEPA
127,Ayrshire and Arran,Girvan,2021-07-09,2021-07-12,15111572,Analysis Failed,NA,NA,NA,NA,NA,NA,NA, 14.03,NA,  6038588,NA,SEPA - Low Volume
128,Ayrshire and Arran,Girvan,2021-07-20,2021-07-21,15168199,Positive,  130916,   95255.56,  166577.83,NA,  130916.69,  50432.46,NA, 19.44,NA,  5004829,   84.86,SEPA - Low Volume
129,Ayrshire and Arran,Girvan,2021-07-27,2021-07-28,15191757,Positive,  111650,  126431.80,   96869.36,NA,  111650.58,  20903.80,NA, 18.96,NA,  5077390,   73.42,SEPA - Low Volume
130,Ayrshire and Arran,Girvan,2021-08-16,2021-08-17,15267345,Negative,       0,NA,NA,NA,NA,NA,NA,NA,NA,NA,    0.00,SEPA - Low Volume
131,Ayrshire and Arran,Girvan,2021-09-08,2021-09-09,NA,Positive,  367662,  381716.82,  353608.92,NA,  367662.87,  19875.29,NA,NA,NA,NA,  646.78,SEPA - Low Volume
132,Ayrshire and Arran,Girvan,2021-09-13,2021-09-14,15357845,Positive,  339667,  327399.33,  351934.69,NA,  339667.01,  17349.12,NA, 14.49,NA,  5927465,  260.76,SEPA - Low Volume
133,Ayrshire and Arran,Girvan,2021-09-20,2021-09-21,15389239,Positive,   58743,   63847.35,   53639.10,NA,   58743.22,   7218.33,NA, 12.91,NA,  6334867,   48.20,SEPA - Low Volume
134,Ayrshire and Arran,Girvan,2021-09-27,2021-09-29,15410795,Positive,  160044,  144499.12,  175589.25,NA,  160044.18,  21984.04,NA, 18.45,NA,  5157727,  106.91,SEPA - Low Volume
135,Ayrshire and Arran,Girvan,2021-10-06,2021-10-07,15434356,Analysis Failed,NA,NA,NA,NA,NA,NA,NA,  9.54,NA,  7540086,NA,SEPA - Low Volume
136,Ayrshire and Arran,Girvan,2021-10-12,2021-10-13,15468456,Analysis Failed,NA,NA,NA,NA,NA,NA,NA, 14.21,NA,  5994430,NA,SEPA - Low Volume
137,Ayrshire and Arran,Girvan,2021-10-21,2021-10-22,15491715,Weak Positive,    3934,    2924.37,    4943.16,NA,    3933.76,   1427.50,NA,  6.74,NA,  9209752,    4.69,SEPA - Low Volume
138,Ayrshire and Arran,Girvan,2021-10-27,2021-10-28,15509935,Positive,   49714,   36598.85,   62830.31,NA,   49714.58,  18548.44,NA,  4.73,NA, 11292632,   72.71,SEPA - Low Volume
139,Ayrshire and Arran,Girvan,2021-11-01,2021-11-02,15543578,Positive,   25241,   20150.91,   30332.39,NA,   25241.65,   7199.40,NA,  3.47,NA, 13497386,   44.13,SEPA - Low Volume
