Cumnock,2021-02-19,Positive
Cumnock,2021-02-23,Positive
Cumnock,2021-03-01,Positive
Cumnock,2021-03-08,Positive
Cumnock,2021-03-15,Positive
Cumnock,2021-03-22,Positive
Cumnock,2021-03-30,Positive (DNQ)
Cumnock,2021-04-06,Positive (DNQ)
Cumnock,2021-04-12,Positive (DNQ)
Cumnock,2021-04-28,Weak Positive
Cumnock,2021-05-07,Weak Positive
Cumnock,2021-05-10,Positive (DNQ)
Cumnock,2021-05-19,Negative
Cumnock,2021-05-26,Weak Positive
Cumnock,2021-06-02,Positive
Cumnock,2021-06-09,Positive
Cumnock,2021-06-16,Positive
Cumnock,2021-06-22,Positive
Cumnock,2021-06-29,Positive
Cumnock,2021-07-06,Positive
Cumnock,2021-07-13,Positive
Cumnock,2021-07-20,Positive
Cumnock,2021-07-26,Positive
Cumnock,2021-08-30,Positive
Cumnock,2021-09-06,Positive
Cumnock,2021-09-15,Positive
Cumnock,2021-09-29,Positive
Cumnock,2021-10-18,Positive
Cumnock,2021-10-27,Positive
Cumnock,2021-11-05,Positive
Cumnock,2021-11-18,Positive
Cumnock,2021-11-30,Positive
Cumnock,2021-12-07,Positive
Cumnock,2021-12-14,Positive
Cumnock,2022-01-04,Positive
Fairlie,2021-02-18,Positive
Fairlie,2021-02-24,Positive (DNQ)
Fairlie,2021-02-25,Positive (DNQ)
Fairlie,2021-03-03,Weak Positive
Fairlie,2021-03-04,Weak Positive
Fairlie,2021-03-09,Positive (DNQ)
Fairlie,2021-03-10,Positive (DNQ)
Fairlie,2021-03-16,Positive (DNQ)
Fairlie,2021-03-17,Weak Positive
Fairlie,2021-03-25,Negative
Fairlie,2021-03-26,Negative
Fairlie,2021-03-31,Weak Positive
Fairlie,2021-04-01,Negative
Fairlie,2021-04-09,Negative
Fairlie,2021-04-14,Negative
Fairlie,2021-04-15,Negative
Fairlie,2021-04-27,Negative
Fairlie,2021-04-28,Weak Positive
Fairlie,2021-05-06,Positive (DNQ)
Fairlie,2021-05-07,Weak Positive
Fairlie,2021-05-12,Negative
Fairlie,2021-05-14,Negative
Fairlie,2021-05-18,Negative
Fairlie,2021-05-19,Negative
Fairlie,2021-05-25,Negative
Fairlie,2021-05-26,Weak Positive
Fairlie,2021-06-03,Weak Positive
Fairlie,2021-06-04,Negative
Fairlie,2021-06-09,Weak Positive
Fairlie,2021-06-10,Positive (DNQ)
Fairlie,2021-06-15,Weak Positive
Fairlie,2021-06-16,Negative
Fairlie,2021-06-23,Weak Positive
Fairlie,2021-06-24,Positive (DNQ)
Fairlie,2021-06-29,Positive (DNQ)
Fairlie,2021-07-07,Weak Positive
Fairlie,2021-07-08,Weak Positive
Fairlie,2021-07-13,Weak Positive
Fairlie,2021-07-21,Positive
Fairlie,2021-07-28,Weak Positive
Fairlie,2021-07-29,Negative
Fairlie,2021-08-03,Positive (DNQ)
Fairlie,2021-08-04,Weak Positive
Fairlie,2021-08-10,Negative
Fairlie,2021-08-11,Negative
Fairlie,2021-08-18,Weak Positive
Fairlie,2021-08-19,Weak Positive
Fairlie,2021-08-25,Positive (DNQ)
Fairlie,2021-08-26,Positive
Fairlie,2021-09-01,Weak Positive
Fairlie,2021-09-02,Positive
Fairlie,2021-09-08,Positive (DNQ)
Fairlie,2021-09-09,Positive
Fairlie,2021-09-16,Positive
Fairlie,2021-09-30,Weak Positive
Fairlie,2021-10-06,Weak Positive
Fairlie,2021-10-21,Positive (DNQ)
Fairlie,2021-10-22,Positive (DNQ)
Fairlie,2021-10-29,Weak Positive
Fairlie,2021-11-03,Positive
Fairlie,2021-11-04,Positive (DNQ)
Fairlie,2021-11-11,Positive
Fairlie,2021-11-12,Positive
Fairlie,2021-11-18,Weak Positive
Fairlie,2021-11-24,Positive
Fairlie,2021-11-25,Positive
Fairlie,2021-12-14,Positive
Fairlie,2021-12-15,Positive
Girvan,2021-02-19,Analysis Failed
Girvan,2021-02-19,Positive (DNQ)
Girvan,2021-02-23,Positive (DNQ)
Girvan,2021-03-01,Negative
